datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,271.1,272.95,271.15,271.8,41486
2018-01-01 09:45:00+05:30,271.8,271.8,270.75,271.1,32498
2018-01-01 10:00:00+05:30,271.15,271.85,270.7,271.25,51005
2018-01-01 10:15:00+05:30,271.25,271.4,270.75,271.15,15440
2018-01-01 10:30:00+05:30,271.15,271.3,270.85,271.0,17923
2018-01-01 10:45:00+05:30,271.0,271.45,271.0,271.25,16796
2018-01-01 11:00:00+05:30,271.25,271.65,271.0,271.45,31935
2018-01-01 11:15:00+05:30,271.45,271.45,270.8,271.1,14880
2018-01-01 11:30:00+05:30,271.1,271.35,270.9,271.3,4562
2018-01-01 11:45:00+05:30,271.3,271.3,271.0,271.2,6965
2018-01-01 12:00:00+05:30,271.2,271.3,270.8,271.1,5113
2018-01-01 12:15:00+05:30,271.1,271.2,270.85,271.0,2356
2018-01-01 12:30:00+05:30,271.0,271.3,270.9,271.0,4675
2018-01-01 12:45:00+05:30,271.3,271.35,271.1,271.15,3728
2018-01-01 13:00:00+05:30,271.3,271.45,271.0,271.2,16229
2018-01-01 13:15:00+05:30,271.2,271.35,270.8,271.0,7277
2018-01-01 13:30:00+05:30,271.0,271.05,270.7,270.8,8109
2018-01-01 13:45:00+05:30,270.8,270.95,270.05,270.3,17983
2018-01-01 14:00:00+05:30,270.3,270.65,270.25,270.3,5082
2018-01-01 14:15:00+05:30,270.3,270.95,270.3,270.95,5847
2018-01-01 14:30:00+05:30,270.95,271.3,270.85,271.15,11483
2018-01-01 14:45:00+05:30,271.3,271.45,270.95,271.2,26369
2018-01-01 15:00:00+05:30,271.1,271.15,269.1,269.15,75130
2018-01-01 15:15:00+05:30,269.35,269.35,264.4,268.35,481477
2018-01-01 15:30:00+05:30,268.4,271.0,268.1,270.5,503654
2018-01-02 09:30:00+05:30,270.0,270.3,268.2,269.5,68675
2018-01-02 09:45:00+05:30,269.45,269.5,267.25,267.8,44542
2018-01-02 10:00:00+05:30,268.1,268.5,266.75,267.8,25758
2018-01-02 10:15:00+05:30,267.8,267.85,266.05,266.75,31357
2018-01-02 10:30:00+05:30,266.65,267.9,266.6,267.8,12815
2018-01-02 10:45:00+05:30,267.8,268.35,267.45,268.0,27419
2018-01-02 11:00:00+05:30,268.0,268.2,267.45,267.8,14373
2018-01-02 11:15:00+05:30,267.85,268.0,267.1,267.6,13321
2018-01-02 11:30:00+05:30,267.6,267.8,267.0,267.25,10057
2018-01-02 11:45:00+05:30,267.3,267.85,266.4,266.6,64113
2018-01-02 12:00:00+05:30,266.6,266.75,266.4,266.65,25096
2018-01-02 12:15:00+05:30,266.65,266.8,266.5,266.75,8906
2018-01-02 12:30:00+05:30,266.75,267.05,266.6,266.9,22582
2018-01-02 12:45:00+05:30,266.9,267.1,266.15,266.2,29669
2018-01-02 13:00:00+05:30,266.2,266.4,265.7,266.1,26929
2018-01-02 13:15:00+05:30,266.1,266.4,265.65,266.0,15238
2018-01-02 13:30:00+05:30,266.0,266.2,265.65,265.9,29790
2018-01-02 13:45:00+05:30,265.9,266.4,265.2,266.4,38026
2018-01-02 14:00:00+05:30,266.45,266.55,265.15,265.15,36529
2018-01-02 14:15:00+05:30,265.2,265.9,265.1,265.5,25374
2018-01-02 14:30:00+05:30,265.65,266.1,265.5,265.6,23888
2018-01-02 14:45:00+05:30,265.6,265.75,265.2,265.4,30667
2018-01-02 15:00:00+05:30,265.4,267.1,265.25,267.1,73200
2018-01-02 15:15:00+05:30,267.2,268.75,267.2,268.7,149447
2018-01-02 15:30:00+05:30,268.75,269.0,267.0,267.3,131104
2018-01-03 09:30:00+05:30,268.4,269.95,267.45,269.95,75029
2018-01-03 09:45:00+05:30,269.95,269.95,267.7,268.65,63486
2018-01-03 10:00:00+05:30,268.65,269.3,268.55,269.0,42595
2018-01-03 10:15:00+05:30,269.0,269.6,268.05,269.1,91348
2018-01-03 10:30:00+05:30,269.1,269.6,269.0,269.15,22703
2018-01-03 10:45:00+05:30,269.15,269.35,269.0,269.05,12570
2018-01-03 11:00:00+05:30,269.05,269.45,268.65,269.3,11102
2018-01-03 11:15:00+05:30,269.3,269.5,269.05,269.2,8505
2018-01-03 11:30:00+05:30,269.2,269.55,269.05,269.5,8223
2018-01-03 11:45:00+05:30,269.5,269.9,269.5,269.8,30680
2018-01-03 12:00:00+05:30,269.75,270.95,269.75,270.7,241607
2018-01-03 12:15:00+05:30,270.7,270.9,270.3,270.9,102637
2018-01-03 12:30:00+05:30,270.9,271.25,270.5,270.65,52595
2018-01-03 12:45:00+05:30,270.65,270.75,269.6,269.6,85272
2018-01-03 13:00:00+05:30,269.6,271.0,269.6,270.8,83553
2018-01-03 13:15:00+05:30,270.8,270.85,270.3,270.5,18413
2018-01-03 13:30:00+05:30,270.5,270.8,270.25,270.7,29141
2018-01-03 13:45:00+05:30,270.7,270.7,269.9,269.95,17692
2018-01-03 14:00:00+05:30,269.95,270.95,269.9,270.8,29753
2018-01-03 14:15:00+05:30,270.8,271.15,270.1,270.15,56628
2018-01-03 14:30:00+05:30,270.15,270.7,269.5,269.75,44065
2018-01-03 14:45:00+05:30,269.75,269.75,268.75,269.15,76093
2018-01-03 15:00:00+05:30,269.3,271.0,269.15,271.0,63118
2018-01-03 15:15:00+05:30,271.0,272.8,270.5,272.8,244599
2018-01-03 15:30:00+05:30,272.8,273.3,272.35,272.35,393019
2018-01-04 09:30:00+05:30,271.6,272.55,270.7,271.8,156512
2018-01-04 09:45:00+05:30,271.8,273.0,271.2,272.65,89260
2018-01-04 10:00:00+05:30,272.75,274.0,272.5,273.0,141359
2018-01-04 10:15:00+05:30,273.0,273.05,271.9,272.0,59636
2018-01-04 10:30:00+05:30,272.0,272.6,271.9,272.35,29286
2018-01-04 10:45:00+05:30,272.4,273.45,272.1,273.4,73917
2018-01-04 11:00:00+05:30,273.4,273.5,273.0,273.2,17998
2018-01-04 11:15:00+05:30,273.2,273.4,272.35,272.45,34430
2018-01-04 11:30:00+05:30,272.45,272.5,272.0,272.15,44904
2018-01-04 11:45:00+05:30,272.15,272.4,271.6,271.95,45305
2018-01-04 12:00:00+05:30,271.95,272.2,271.6,271.6,22198
2018-01-04 12:15:00+05:30,271.6,272.35,271.55,272.35,22805
2018-01-04 12:30:00+05:30,272.35,272.45,272.2,272.4,10930
2018-01-04 12:45:00+05:30,272.4,272.45,272.05,272.05,15847
2018-01-04 13:00:00+05:30,272.05,272.45,271.7,271.7,11150
2018-01-04 13:15:00+05:30,271.7,272.55,271.5,272.5,17283
2018-01-04 13:30:00+05:30,272.5,272.5,272.05,272.1,27536
2018-01-04 13:45:00+05:30,272.1,272.9,271.8,272.85,90651
2018-01-04 14:00:00+05:30,272.8,273.45,272.2,272.7,62563
2018-01-04 14:15:00+05:30,272.8,273.1,272.25,272.4,40067
2018-01-04 14:30:00+05:30,272.5,272.55,271.2,272.05,406607
2018-01-04 14:45:00+05:30,272.15,272.75,272.05,272.35,36357
2018-01-04 15:00:00+05:30,272.55,273.85,272.4,273.2,196952
2018-01-04 15:15:00+05:30,273.2,273.9,272.8,273.5,285960
2018-01-04 15:30:00+05:30,273.45,274.4,273.45,274.0,166003
2018-01-05 09:30:00+05:30,274.5,277.15,274.05,276.75,239104
2018-01-05 09:45:00+05:30,276.75,277.6,276.1,276.5,116870
2018-01-05 10:00:00+05:30,276.5,276.8,276.15,276.55,32494
2018-01-05 10:15:00+05:30,276.4,276.55,275.5,275.8,37448
2018-01-05 10:30:00+05:30,275.8,276.5,275.6,275.8,38042
2018-01-05 10:45:00+05:30,275.8,275.95,275.5,275.9,18974
2018-01-05 11:00:00+05:30,275.9,276.0,275.55,276.0,28385
2018-01-05 11:15:00+05:30,276.0,276.0,275.6,275.85,23920
2018-01-05 11:30:00+05:30,275.85,275.95,275.2,275.25,16935
2018-01-05 11:45:00+05:30,275.25,275.5,274.2,274.9,36832
2018-01-05 12:00:00+05:30,274.9,275.6,274.75,275.1,12980
2018-01-05 12:15:00+05:30,275.1,275.35,273.5,274.75,36558
2018-01-05 12:30:00+05:30,274.75,274.85,274.5,274.55,6584
2018-01-05 12:45:00+05:30,274.55,275.3,274.5,274.95,9080
2018-01-05 13:00:00+05:30,274.95,275.65,274.7,274.8,15338
2018-01-05 13:15:00+05:30,274.8,275.0,274.1,274.6,21247
2018-01-05 13:30:00+05:30,274.7,274.85,274.2,274.6,8010
2018-01-05 13:45:00+05:30,274.6,275.25,274.1,274.5,12101
2018-01-05 14:00:00+05:30,274.5,274.7,273.7,273.85,36171
2018-01-05 14:15:00+05:30,273.85,274.4,273.05,274.2,50483
2018-01-05 14:30:00+05:30,274.2,274.3,273.1,273.25,73103
2018-01-05 14:45:00+05:30,273.25,273.7,272.25,273.05,133897
2018-01-05 15:00:00+05:30,273.05,274.0,272.9,273.5,104626
2018-01-05 15:15:00+05:30,273.5,274.6,273.5,274.1,94207
2018-01-05 15:30:00+05:30,274.1,274.25,273.3,273.35,99305
2018-01-08 09:30:00+05:30,272.25,274.9,273.35,274.75,90168
2018-01-08 09:45:00+05:30,274.85,274.85,274.1,274.2,39419
2018-01-08 10:00:00+05:30,274.2,274.7,272.55,273.05,60245
2018-01-08 10:15:00+05:30,273.1,273.7,272.7,272.95,26677
2018-01-08 10:30:00+05:30,272.95,273.5,271.5,272.95,88663
2018-01-08 10:45:00+05:30,272.95,273.15,272.2,272.9,27682
2018-01-08 11:00:00+05:30,272.9,273.05,272.45,272.9,12041
2018-01-08 11:15:00+05:30,272.9,273.6,272.8,273.35,54559
2018-01-08 11:30:00+05:30,273.35,274.05,273.1,273.85,51407
2018-01-08 11:45:00+05:30,273.85,273.9,273.35,273.5,10112
2018-01-08 12:00:00+05:30,273.5,273.75,273.25,273.45,18669
2018-01-08 12:15:00+05:30,273.45,274.0,273.45,273.8,12081
2018-01-08 12:30:00+05:30,273.8,273.8,273.45,273.55,9105
2018-01-08 12:45:00+05:30,273.55,273.7,273.4,273.5,8016
2018-01-08 13:00:00+05:30,273.5,273.65,273.25,273.4,13780
2018-01-08 13:15:00+05:30,273.4,273.55,273.15,273.2,27432
2018-01-08 13:30:00+05:30,273.2,273.55,273.15,273.3,34921
2018-01-08 13:45:00+05:30,273.3,273.65,273.1,273.65,72306
2018-01-08 14:00:00+05:30,273.5,273.65,273.0,273.5,44713
2018-01-08 14:15:00+05:30,273.45,274.2,273.4,273.7,49754
2018-01-08 14:30:00+05:30,273.85,274.0,273.05,273.1,47976
2018-01-08 14:45:00+05:30,273.2,273.7,273.1,273.45,46215
2018-01-08 15:00:00+05:30,273.5,273.9,273.45,273.8,47512
2018-01-08 15:15:00+05:30,273.8,274.85,273.8,274.1,135800
2018-01-08 15:30:00+05:30,273.95,275.4,273.9,275.1,179793
2018-01-09 09:30:00+05:30,275.4,275.25,272.6,273.1,78528
2018-01-09 09:45:00+05:30,273.1,273.65,272.8,273.45,71315
2018-01-09 10:00:00+05:30,273.45,274.4,272.95,273.2,81438
2018-01-09 10:15:00+05:30,273.15,273.55,272.8,273.2,44990
2018-01-09 10:30:00+05:30,273.2,274.0,273.05,273.55,41680
2018-01-09 10:45:00+05:30,273.55,273.9,273.2,273.6,19976
2018-01-09 11:00:00+05:30,273.6,274.5,273.4,274.5,31070
2018-01-09 11:15:00+05:30,274.5,274.9,274.2,274.25,38440
2018-01-09 11:30:00+05:30,274.25,275.0,274.2,274.9,50107
2018-01-09 11:45:00+05:30,274.9,274.9,273.55,274.45,78559
2018-01-09 12:00:00+05:30,274.35,274.5,273.85,273.9,30210
2018-01-09 12:15:00+05:30,273.9,274.05,272.85,273.35,72262
2018-01-09 12:30:00+05:30,273.35,273.7,272.9,273.2,349877
2018-01-09 12:45:00+05:30,273.2,274.35,273.15,274.2,21740
2018-01-09 13:00:00+05:30,274.2,276.8,273.95,276.55,224593
2018-01-09 13:15:00+05:30,276.6,279.35,276.55,279.0,576318
2018-01-09 13:30:00+05:30,279.0,279.0,276.75,277.75,180906
2018-01-09 13:45:00+05:30,277.7,277.75,277.1,277.15,51806
2018-01-09 14:00:00+05:30,277.15,277.4,276.8,277.0,140585
2018-01-09 14:15:00+05:30,277.0,277.7,276.8,277.3,129658
2018-01-09 14:30:00+05:30,277.3,277.4,276.25,276.55,293834
2018-01-09 14:45:00+05:30,276.6,277.15,276.05,276.25,230829
2018-01-09 15:00:00+05:30,276.35,276.6,276.05,276.55,50836
2018-01-09 15:15:00+05:30,276.55,278.25,276.55,277.1,196996
2018-01-09 15:30:00+05:30,277.1,277.5,276.45,277.0,213950
2018-01-10 09:30:00+05:30,278.0,278.0,275.8,276.85,88480
2018-01-10 09:45:00+05:30,277.0,277.0,275.4,275.85,59022
2018-01-10 10:00:00+05:30,275.75,276.0,275.5,275.9,27982
2018-01-10 10:15:00+05:30,275.9,275.9,274.75,274.85,51721
2018-01-10 10:30:00+05:30,274.85,275.0,274.1,274.7,64907
2018-01-10 10:45:00+05:30,274.7,275.0,274.55,274.6,86345
2018-01-10 11:00:00+05:30,274.6,275.0,274.25,274.35,46804
2018-01-10 11:15:00+05:30,274.35,274.4,273.5,274.15,66529
2018-01-10 11:30:00+05:30,274.05,274.8,273.85,274.6,38613
2018-01-10 11:45:00+05:30,274.5,274.65,274.0,274.35,37347
2018-01-10 12:00:00+05:30,274.05,274.25,273.5,274.0,40609
2018-01-10 12:15:00+05:30,274.0,274.4,273.65,274.4,39021
2018-01-10 12:30:00+05:30,274.4,274.75,274.0,274.45,31530
2018-01-10 12:45:00+05:30,274.45,274.5,273.7,273.85,28040
2018-01-10 13:00:00+05:30,273.7,274.15,273.7,273.95,18266
2018-01-10 13:15:00+05:30,273.75,274.2,273.7,273.95,17374
2018-01-10 13:30:00+05:30,273.75,274.2,273.65,273.95,180828
2018-01-10 13:45:00+05:30,273.75,274.05,273.5,273.7,20763
2018-01-10 14:00:00+05:30,273.7,273.95,273.45,273.9,47704
2018-01-10 14:15:00+05:30,273.9,274.9,273.65,274.1,31800
2018-01-10 14:30:00+05:30,274.1,275.0,273.6,273.6,95473
2018-01-10 14:45:00+05:30,273.6,275.2,273.6,275.05,85780
2018-01-10 15:00:00+05:30,275.05,276.9,274.9,275.95,326469
2018-01-10 15:15:00+05:30,276.0,276.7,275.3,275.75,180186
2018-01-10 15:30:00+05:30,275.8,276.3,275.55,276.15,144511
2018-01-11 09:30:00+05:30,278.5,277.35,273.65,274.3,525733
2018-01-11 09:45:00+05:30,274.4,274.7,273.35,274.5,134976
2018-01-11 10:00:00+05:30,274.5,274.75,273.9,274.3,83775
2018-01-11 10:15:00+05:30,274.3,274.5,273.9,273.9,75461
2018-01-11 10:30:00+05:30,273.9,274.0,273.55,273.9,64132
2018-01-11 10:45:00+05:30,273.9,273.95,273.55,273.75,38270
2018-01-11 11:00:00+05:30,273.75,274.1,273.6,273.65,241453
2018-01-11 11:15:00+05:30,273.65,273.65,272.4,273.2,155615
2018-01-11 11:30:00+05:30,273.2,273.35,273.0,273.05,57022
2018-01-11 11:45:00+05:30,273.05,273.4,273.05,273.25,55795
2018-01-11 12:00:00+05:30,273.1,273.4,273.05,273.15,29563
2018-01-11 12:15:00+05:30,273.15,273.7,273.15,273.5,64599
2018-01-11 12:30:00+05:30,273.65,274.2,273.5,274.0,239431
2018-01-11 12:45:00+05:30,274.05,274.15,273.65,273.75,46318
2018-01-11 13:00:00+05:30,273.75,274.0,273.35,273.65,32951
