datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,72.3,72.9,72.1,72.45,364307
2018-01-01 09:45:00+05:30,72.45,72.7,72.25,72.5,113194
2018-01-01 10:00:00+05:30,72.5,74.3,72.4,74.3,597610
2018-01-01 10:15:00+05:30,74.35,74.9,73.8,74.05,755023
2018-01-01 10:30:00+05:30,74.0,74.05,73.75,73.85,99965
2018-01-01 10:45:00+05:30,73.95,74.5,73.8,74.35,134258
2018-01-01 11:00:00+05:30,74.35,74.45,74.0,74.05,68346
2018-01-01 11:15:00+05:30,74.05,74.15,73.9,74.0,48751
2018-01-01 11:30:00+05:30,74.0,74.0,73.8,73.9,46476
2018-01-01 11:45:00+05:30,73.9,74.0,73.75,74.0,51908
2018-01-01 12:00:00+05:30,74.0,74.15,73.75,74.0,53344
2018-01-01 12:15:00+05:30,74.0,74.0,73.2,73.45,117805
2018-01-01 12:30:00+05:30,73.45,73.5,73.0,73.3,139366
2018-01-01 12:45:00+05:30,73.3,73.45,72.9,73.4,72290
2018-01-01 13:00:00+05:30,73.4,73.45,72.8,73.05,59072
2018-01-01 13:15:00+05:30,73.05,73.15,72.75,72.9,66713
2018-01-01 13:30:00+05:30,72.9,72.9,72.55,72.75,68586
2018-01-01 13:45:00+05:30,72.75,72.9,72.6,72.9,70037
2018-01-01 14:00:00+05:30,72.9,73.3,72.85,73.0,37229
2018-01-01 14:15:00+05:30,73.0,73.25,72.9,73.15,28216
2018-01-01 14:30:00+05:30,73.15,73.45,73.1,73.4,47839
2018-01-01 14:45:00+05:30,73.4,73.7,73.3,73.5,107887
2018-01-01 15:00:00+05:30,73.6,73.75,72.1,72.25,215351
2018-01-01 15:15:00+05:30,72.25,72.6,71.45,72.6,303945
2018-01-01 15:30:00+05:30,72.6,72.65,72.1,72.4,312158
2018-01-02 09:30:00+05:30,72.8,72.85,72.2,72.35,244885
2018-01-02 09:45:00+05:30,72.35,72.5,70.65,71.0,255646
2018-01-02 10:00:00+05:30,71.0,71.2,69.6,70.25,292004
2018-01-02 10:15:00+05:30,70.2,70.3,69.15,69.9,243458
2018-01-02 10:30:00+05:30,69.85,70.85,69.85,70.5,201351
2018-01-02 10:45:00+05:30,70.4,70.65,70.25,70.4,77774
2018-01-02 11:00:00+05:30,70.4,70.55,69.9,70.35,83470
2018-01-02 11:15:00+05:30,70.35,70.95,70.35,70.85,94887
2018-01-02 11:30:00+05:30,70.85,70.85,70.65,70.75,58262
2018-01-02 11:45:00+05:30,70.75,71.5,70.7,71.2,94423
2018-01-02 12:00:00+05:30,71.2,71.25,70.8,71.2,60878
2018-01-02 12:15:00+05:30,71.2,71.5,71.2,71.25,43128
2018-01-02 12:30:00+05:30,71.25,71.5,71.1,71.45,40643
2018-01-02 12:45:00+05:30,71.45,71.5,71.2,71.3,31726
2018-01-02 13:00:00+05:30,71.3,71.3,70.65,70.65,53288
2018-01-02 13:15:00+05:30,70.7,70.75,70.6,70.65,31716
2018-01-02 13:30:00+05:30,70.65,71.35,70.55,71.25,46976
2018-01-02 13:45:00+05:30,71.3,71.3,70.65,71.0,72800
2018-01-02 14:00:00+05:30,71.0,71.25,70.65,70.65,39360
2018-01-02 14:15:00+05:30,70.65,70.9,70.45,70.7,38775
2018-01-02 14:30:00+05:30,70.7,70.85,70.25,70.35,62280
2018-01-02 14:45:00+05:30,70.35,70.45,69.85,70.15,129670
2018-01-02 15:00:00+05:30,70.2,70.5,70.15,70.35,46295
2018-01-02 15:15:00+05:30,70.35,70.9,70.35,70.65,117447
2018-01-02 15:30:00+05:30,70.65,71.15,70.55,71.0,215159
2018-01-03 09:30:00+05:30,71.3,71.7,71.0,71.35,166725
2018-01-03 09:45:00+05:30,71.35,71.4,71.05,71.25,79337
2018-01-03 10:00:00+05:30,71.25,72.5,71.2,72.5,220684
2018-01-03 10:15:00+05:30,72.4,72.5,71.5,71.65,135239
2018-01-03 10:30:00+05:30,71.65,72.0,71.55,71.7,68091
2018-01-03 10:45:00+05:30,71.7,71.85,71.6,71.6,49781
2018-01-03 11:00:00+05:30,71.6,71.85,71.6,71.8,28997
2018-01-03 11:15:00+05:30,71.8,71.9,71.35,71.35,38023
2018-01-03 11:30:00+05:30,71.35,71.75,71.35,71.75,28252
2018-01-03 11:45:00+05:30,71.75,72.0,71.6,71.7,60847
2018-01-03 12:00:00+05:30,71.7,71.8,71.4,71.8,61659
2018-01-03 12:15:00+05:30,71.7,71.9,71.4,71.75,57510
2018-01-03 12:30:00+05:30,71.8,72.35,71.65,72.05,98322
2018-01-03 12:45:00+05:30,72.1,72.15,71.2,71.5,81619
2018-01-03 13:00:00+05:30,71.35,71.5,71.3,71.5,41036
2018-01-03 13:15:00+05:30,71.5,71.7,71.4,71.55,27151
2018-01-03 13:30:00+05:30,71.65,71.85,71.45,71.8,70512
2018-01-03 13:45:00+05:30,71.8,71.8,71.55,71.6,24491
2018-01-03 14:00:00+05:30,71.55,71.65,71.5,71.55,16037
2018-01-03 14:15:00+05:30,71.55,71.75,71.5,71.5,26512
2018-01-03 14:30:00+05:30,71.45,71.45,71.1,71.2,85178
2018-01-03 14:45:00+05:30,71.2,71.35,70.5,70.85,114695
2018-01-03 15:00:00+05:30,70.85,71.35,70.75,71.25,56347
2018-01-03 15:15:00+05:30,71.2,71.45,71.2,71.3,90799
2018-01-03 15:30:00+05:30,71.3,71.45,71.1,71.3,261536
2018-01-04 09:30:00+05:30,71.9,71.75,71.1,71.6,119759
2018-01-04 09:45:00+05:30,71.6,71.7,71.3,71.5,81305
2018-01-04 10:00:00+05:30,71.5,71.65,71.2,71.55,66114
2018-01-04 10:15:00+05:30,71.55,71.65,71.25,71.35,42162
2018-01-04 10:30:00+05:30,71.5,72.9,71.3,72.9,329927
2018-01-04 10:45:00+05:30,72.9,73.65,72.7,73.1,510359
2018-01-04 11:00:00+05:30,73.1,74.4,73.0,73.7,510937
2018-01-04 11:15:00+05:30,73.7,73.8,72.95,73.6,159730
2018-01-04 11:30:00+05:30,73.6,73.7,73.2,73.3,62063
2018-01-04 11:45:00+05:30,73.3,73.4,73.1,73.2,52025
2018-01-04 12:00:00+05:30,73.2,73.35,72.8,73.25,288540
2018-01-04 12:15:00+05:30,73.25,73.5,72.95,73.25,101598
2018-01-04 12:30:00+05:30,73.25,73.25,73.0,73.1,34929
2018-01-04 12:45:00+05:30,73.1,73.35,73.05,73.15,43800
2018-01-04 13:00:00+05:30,73.15,73.25,72.9,73.2,41525
2018-01-04 13:15:00+05:30,73.2,73.3,73.0,73.25,70959
2018-01-04 13:30:00+05:30,73.25,73.4,73.1,73.3,32886
2018-01-04 13:45:00+05:30,73.3,73.55,73.15,73.25,77587
2018-01-04 14:00:00+05:30,73.25,73.3,72.75,72.75,87277
2018-01-04 14:15:00+05:30,72.75,73.1,72.1,72.8,186932
2018-01-04 14:30:00+05:30,72.8,73.3,72.8,73.1,81240
2018-01-04 14:45:00+05:30,73.1,73.1,72.85,72.85,69575
2018-01-04 15:00:00+05:30,72.85,73.1,72.75,72.85,76425
2018-01-04 15:15:00+05:30,72.85,73.25,72.8,73.2,164055
2018-01-04 15:30:00+05:30,73.2,75.0,73.2,74.75,951945
2018-01-05 09:30:00+05:30,75.5,76.25,75.05,75.85,902041
2018-01-05 09:45:00+05:30,75.85,76.1,74.8,75.6,376408
2018-01-05 10:00:00+05:30,75.5,75.8,75.35,75.65,146116
2018-01-05 10:15:00+05:30,75.55,76.0,74.9,75.1,318568
2018-01-05 10:30:00+05:30,75.1,75.3,74.8,75.0,189445
2018-01-05 10:45:00+05:30,75.0,76.3,75.0,76.1,374220
2018-01-05 11:00:00+05:30,76.1,82.0,75.7,79.7,5256015
2018-01-05 11:15:00+05:30,79.65,81.5,79.5,80.95,1193986
2018-01-05 11:30:00+05:30,81.0,81.15,79.75,79.75,460396
2018-01-05 11:45:00+05:30,79.75,79.9,79.25,79.85,367972
2018-01-05 12:00:00+05:30,79.9,80.0,79.25,79.35,183177
2018-01-05 12:15:00+05:30,79.35,79.5,79.0,79.35,243926
2018-01-05 12:30:00+05:30,79.35,79.35,78.65,78.7,223625
2018-01-05 12:45:00+05:30,78.7,79.0,78.4,78.8,173719
2018-01-05 13:00:00+05:30,78.8,79.0,78.55,78.7,73418
2018-01-05 13:15:00+05:30,78.75,79.0,78.6,78.9,97672
2018-01-05 13:30:00+05:30,78.9,79.0,78.7,78.75,111377
2018-01-05 13:45:00+05:30,78.75,79.0,78.7,78.8,143721
2018-01-05 14:00:00+05:30,78.8,80.75,78.75,80.6,766700
2018-01-05 14:15:00+05:30,80.6,81.35,79.65,81.35,625632
2018-01-05 14:30:00+05:30,81.4,82.15,80.25,80.45,1357448
2018-01-05 14:45:00+05:30,80.45,80.5,79.65,80.05,401094
2018-01-05 15:00:00+05:30,80.05,80.1,79.85,79.9,182636
2018-01-05 15:15:00+05:30,79.95,80.0,79.1,79.25,481818
2018-01-05 15:30:00+05:30,79.25,79.35,78.25,78.3,1078191
2018-01-08 09:30:00+05:30,79.0,79.75,79.05,79.2,645804
2018-01-08 09:45:00+05:30,79.05,79.2,78.3,78.7,284583
2018-01-08 10:00:00+05:30,78.7,78.75,78.1,78.65,182487
2018-01-08 10:15:00+05:30,78.65,79.7,78.25,79.55,290171
2018-01-08 10:30:00+05:30,79.55,79.7,78.3,78.6,264912
2018-01-08 10:45:00+05:30,78.8,79.2,78.75,79.0,97818
2018-01-08 11:00:00+05:30,78.9,79.05,78.55,78.85,66426
2018-01-08 11:15:00+05:30,78.85,78.95,78.7,78.95,31292
2018-01-08 11:30:00+05:30,78.85,79.2,78.8,78.8,90687
2018-01-08 11:45:00+05:30,78.8,78.9,78.55,78.7,45379
2018-01-08 12:00:00+05:30,78.7,78.75,78.5,78.65,24547
2018-01-08 12:15:00+05:30,78.65,78.85,78.55,78.55,35341
2018-01-08 12:30:00+05:30,78.55,78.75,78.35,78.6,111742
2018-01-08 12:45:00+05:30,78.65,79.25,78.6,79.25,81227
2018-01-08 13:00:00+05:30,79.25,80.95,79.25,79.95,978138
2018-01-08 13:15:00+05:30,79.95,79.95,79.55,79.75,118158
2018-01-08 13:30:00+05:30,79.6,79.85,79.5,79.8,97354
2018-01-08 13:45:00+05:30,79.8,79.95,79.15,79.4,95030
2018-01-08 14:00:00+05:30,79.4,79.85,79.35,79.7,57583
2018-01-08 14:15:00+05:30,79.7,79.9,79.55,79.75,52625
2018-01-08 14:30:00+05:30,79.75,79.8,79.55,79.6,35504
2018-01-08 14:45:00+05:30,79.6,79.7,79.3,79.4,54232
2018-01-08 15:00:00+05:30,79.4,80.25,79.2,79.8,199234
2018-01-08 15:15:00+05:30,79.8,80.15,79.6,79.9,268952
2018-01-08 15:30:00+05:30,79.9,79.95,79.65,79.65,422522
2018-01-09 09:30:00+05:30,79.25,80.0,78.65,79.3,432058
2018-01-09 09:45:00+05:30,79.3,79.4,78.45,78.85,283439
2018-01-09 10:00:00+05:30,78.75,79.25,78.6,79.25,139484
2018-01-09 10:15:00+05:30,79.25,79.3,78.9,79.3,75075
2018-01-09 10:30:00+05:30,79.25,81.3,79.05,80.65,911151
2018-01-09 10:45:00+05:30,80.65,80.8,79.9,80.25,228962
2018-01-09 11:00:00+05:30,80.15,80.8,80.05,80.75,93796
2018-01-09 11:15:00+05:30,80.75,81.0,80.3,80.35,126226
2018-01-09 11:30:00+05:30,80.3,80.5,80.15,80.4,59634
2018-01-09 11:45:00+05:30,80.3,80.4,80.1,80.15,58525
2018-01-09 12:00:00+05:30,80.15,80.4,80.0,80.3,88658
2018-01-09 12:15:00+05:30,80.3,80.35,79.25,79.3,187173
2018-01-09 12:30:00+05:30,79.45,79.5,78.6,79.0,145926
2018-01-09 12:45:00+05:30,79.0,79.2,78.85,79.2,72006
2018-01-09 13:00:00+05:30,79.2,79.65,79.2,79.25,44814
2018-01-09 13:15:00+05:30,79.35,79.5,79.25,79.35,73769
2018-01-09 13:30:00+05:30,79.35,79.4,78.65,79.0,90601
2018-01-09 13:45:00+05:30,79.0,79.3,78.85,79.2,52377
2018-01-09 14:00:00+05:30,79.2,79.2,78.95,79.2,23474
2018-01-09 14:15:00+05:30,79.2,79.8,79.1,79.7,101961
2018-01-09 14:30:00+05:30,79.6,79.65,79.4,79.55,47188
2018-01-09 14:45:00+05:30,79.6,79.75,79.4,79.4,43042
2018-01-09 15:00:00+05:30,79.3,79.65,79.3,79.4,82747
2018-01-09 15:15:00+05:30,79.4,79.65,79.2,79.3,141551
2018-01-09 15:30:00+05:30,79.35,79.6,79.25,79.35,371750
2018-01-10 09:30:00+05:30,79.7,80.85,79.5,80.1,432639
2018-01-10 09:45:00+05:30,80.25,80.3,79.8,79.85,130363
2018-01-10 10:00:00+05:30,79.85,81.45,79.85,81.45,278128
2018-01-10 10:15:00+05:30,81.45,84.7,81.3,83.85,3275981
2018-01-10 10:30:00+05:30,83.95,84.15,83.55,83.8,483948
2018-01-10 10:45:00+05:30,83.75,83.95,83.25,83.35,244624
2018-01-10 11:00:00+05:30,83.4,83.7,82.6,83.0,388965
2018-01-10 11:15:00+05:30,83.05,83.1,82.2,82.9,280820
2018-01-10 11:30:00+05:30,82.9,83.9,82.75,83.9,336031
2018-01-10 11:45:00+05:30,83.8,83.9,82.8,83.2,293431
2018-01-10 12:00:00+05:30,83.2,83.2,82.3,82.55,270367
2018-01-10 12:15:00+05:30,82.6,83.0,82.25,82.8,155439
2018-01-10 12:30:00+05:30,82.8,83.2,82.7,83.15,152713
2018-01-10 12:45:00+05:30,83.15,83.2,82.3,82.75,110431
2018-01-10 13:00:00+05:30,82.75,83.0,82.65,83.0,61521
2018-01-10 13:15:00+05:30,83.0,83.2,82.75,82.9,90185
2018-01-10 13:30:00+05:30,82.9,83.05,82.75,82.8,42204
2018-01-10 13:45:00+05:30,82.8,82.9,82.4,82.55,106405
2018-01-10 14:00:00+05:30,82.6,82.75,82.55,82.75,54014
2018-01-10 14:15:00+05:30,82.65,83.0,82.6,82.9,85624
2018-01-10 14:30:00+05:30,82.9,82.95,82.6,82.7,106768
2018-01-10 14:45:00+05:30,82.7,82.85,82.4,82.65,164518
2018-01-10 15:00:00+05:30,82.7,82.8,82.35,82.35,193601
2018-01-10 15:15:00+05:30,82.35,82.9,81.9,82.75,499613
2018-01-10 15:30:00+05:30,82.75,82.75,81.85,82.0,660536
2018-01-11 09:30:00+05:30,82.3,82.5,81.1,81.55,305884
2018-01-11 09:45:00+05:30,81.5,81.7,80.65,80.95,220142
2018-01-11 10:00:00+05:30,81.0,81.4,80.7,81.25,134246
2018-01-11 10:15:00+05:30,81.25,81.5,81.0,81.5,53395
2018-01-11 10:30:00+05:30,81.5,81.5,81.1,81.35,50627
2018-01-11 10:45:00+05:30,81.45,81.5,81.1,81.15,85005
2018-01-11 11:00:00+05:30,81.15,81.75,81.15,81.55,78198
2018-01-11 11:15:00+05:30,81.55,82.0,81.3,81.4,84349
2018-01-11 11:30:00+05:30,81.4,81.7,81.2,81.5,79414
