datetime,open,high,low,close,volume
2020-10-01 09:30:00+05:30,690.75,695.79,686.34,689.65,11482
2020-10-01 09:45:00+05:30,689.65,690.72,681.3,681.33,13024
2020-10-01 10:00:00+05:30,681.33,683.3,681.3,681.98,3911
2020-10-01 10:15:00+05:30,681.98,682.71,675.31,679.78,14724
2020-10-01 10:30:00+05:30,679.78,684.51,679.08,683.02,3897
2020-10-01 10:45:00+05:30,683.02,686.08,682.9,684.28,4510
2020-10-01 11:00:00+05:30,684.28,686.87,684.03,684.14,4785
2020-10-01 11:15:00+05:30,684.14,690.19,684.06,689.12,4449
2020-10-01 11:30:00+05:30,689.12,700.31,689.06,699.19,13259
2020-10-01 11:45:00+05:30,699.19,703.07,697.56,698.63,24725
2020-10-01 12:00:00+05:30,699.16,700.31,696.38,699.55,12343
2020-10-01 12:15:00+05:30,699.55,700.23,696.38,696.71,5712
2020-10-01 12:30:00+05:30,697.36,698.63,696.38,697.25,2940
2020-10-01 12:45:00+05:30,696.66,698.04,696.66,697.05,2603
2020-10-01 13:00:00+05:30,697.05,698.49,696.38,696.4,3203
2020-10-01 13:15:00+05:30,696.4,697.36,696.38,696.38,2818
2020-10-01 13:30:00+05:30,696.38,697.5,696.38,697.3,7346
2020-10-01 13:45:00+05:30,697.3,699.95,696.38,696.54,8006
2020-10-01 14:00:00+05:30,696.54,697.44,687.88,689.68,14853
2020-10-01 14:15:00+05:30,689.71,691.93,687.12,689.29,8052
2020-10-01 14:30:00+05:30,689.29,690.08,684.0,684.0,8002
2020-10-01 14:45:00+05:30,683.44,686.19,676.13,682.96,14987
2020-10-01 15:00:00+05:30,682.96,683.41,680.57,682.31,3052
2020-10-01 15:15:00+05:30,681.55,685.13,677.25,677.79,11571
2020-10-01 15:30:00+05:30,677.79,681.1,675.68,679.28,17475
2020-10-05 09:30:00+05:30,680.63,682.82,669.38,674.97,8576
2020-10-05 09:45:00+05:30,674.47,677.0,671.65,671.65,4294
2020-10-05 10:00:00+05:30,671.63,673.31,670.19,673.14,2334
2020-10-05 10:15:00+05:30,673.14,677.08,673.14,674.13,5724
2020-10-05 10:30:00+05:30,674.13,675.84,672.3,674.35,1559
2020-10-05 10:45:00+05:30,674.35,676.04,673.06,675.0,1332
2020-10-05 11:00:00+05:30,675.0,675.0,672.19,672.53,930
2020-10-05 11:15:00+05:30,672.53,675.0,672.53,674.04,882
2020-10-05 11:30:00+05:30,674.04,675.06,673.29,673.82,1601
2020-10-05 11:45:00+05:30,673.59,673.59,671.09,672.58,1273
2020-10-05 12:00:00+05:30,672.58,672.58,671.09,671.34,860
2020-10-05 12:15:00+05:30,672.16,672.75,671.29,672.69,399
