datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,230.58,233.42,229.21,230.21,443408
2018-01-01 09:45:00+05:30,230.0,230.0,228.54,229.0,117190
2018-01-01 10:00:00+05:30,229.0,229.75,228.63,228.83,101435
2018-01-01 10:15:00+05:30,228.83,229.13,226.92,227.08,103384
2018-01-01 10:30:00+05:30,227.08,228.13,227.0,227.96,33408
2018-01-01 10:45:00+05:30,227.96,229.0,227.54,228.75,37162
2018-01-01 11:00:00+05:30,228.83,229.08,228.38,228.75,19925
2018-01-01 11:15:00+05:30,228.83,229.13,228.13,228.83,28678
2018-01-01 11:30:00+05:30,229.0,229.04,228.21,228.63,30255
2018-01-01 11:45:00+05:30,228.58,228.67,227.67,228.33,44520
2018-01-01 12:00:00+05:30,228.46,228.71,227.92,228.33,45588
2018-01-01 12:15:00+05:30,228.38,228.46,227.96,228.25,10794
2018-01-01 12:30:00+05:30,228.25,228.71,227.79,228.46,21594
2018-01-01 12:45:00+05:30,228.42,228.83,228.17,228.58,14014
2018-01-01 13:00:00+05:30,228.58,228.83,228.17,228.63,19984
2018-01-01 13:15:00+05:30,228.63,228.79,228.33,228.46,9923
2018-01-01 13:30:00+05:30,228.5,228.71,227.75,227.92,18963
2018-01-01 13:45:00+05:30,228.13,228.38,227.92,228.29,7122
2018-01-01 14:00:00+05:30,228.29,228.33,227.92,228.25,11390
2018-01-01 14:15:00+05:30,228.25,228.5,227.92,228.5,13437
2018-01-01 14:30:00+05:30,228.5,228.5,227.92,228.17,16923
2018-01-01 14:45:00+05:30,228.21,228.25,226.96,227.29,49097
2018-01-01 15:00:00+05:30,227.29,227.29,223.58,223.58,123636
2018-01-01 15:15:00+05:30,223.96,225.08,222.92,224.29,61455
2018-01-01 15:30:00+05:30,224.38,224.79,223.33,224.17,80736
2018-01-02 09:30:00+05:30,226.67,226.21,223.17,223.75,49153
2018-01-02 09:45:00+05:30,223.75,223.83,218.04,218.04,81202
2018-01-02 10:00:00+05:30,219.25,221.54,218.96,220.58,107612
2018-01-02 10:15:00+05:30,220.58,220.83,218.63,219.29,35448
2018-01-02 10:30:00+05:30,219.29,221.13,219.29,220.83,88374
2018-01-02 10:45:00+05:30,220.83,220.83,220.38,220.67,8790
2018-01-02 11:00:00+05:30,220.67,221.08,220.42,220.58,10981
2018-01-02 11:15:00+05:30,220.54,220.75,219.58,220.38,12355
2018-01-02 11:30:00+05:30,220.38,220.42,219.29,219.75,9179
2018-01-02 11:45:00+05:30,219.75,220.42,219.46,219.88,3362
2018-01-02 12:00:00+05:30,219.88,220.88,219.63,220.54,96691
2018-01-02 12:15:00+05:30,220.54,221.25,220.17,221.08,35757
2018-01-02 12:30:00+05:30,221.08,221.21,220.42,221.0,12988
2018-01-02 12:45:00+05:30,221.0,221.04,220.42,220.83,12125
2018-01-02 13:00:00+05:30,220.83,220.83,220.42,220.46,4199
2018-01-02 13:15:00+05:30,220.46,220.83,219.83,220.83,32048
2018-01-02 13:30:00+05:30,220.83,221.17,220.71,220.92,3349
2018-01-02 13:45:00+05:30,220.92,220.92,220.17,220.17,3318
2018-01-02 14:00:00+05:30,220.17,220.88,220.0,220.0,4074
2018-01-02 14:15:00+05:30,219.79,220.63,219.67,219.92,13073
2018-01-02 14:30:00+05:30,219.92,220.42,219.5,220.42,6400
2018-01-02 14:45:00+05:30,220.42,220.5,219.58,219.92,4650
2018-01-02 15:00:00+05:30,219.92,220.75,219.79,219.96,10590
2018-01-02 15:15:00+05:30,219.96,220.42,219.79,220.17,21011
2018-01-02 15:30:00+05:30,220.21,220.83,220.0,220.0,34481
2018-01-03 09:30:00+05:30,221.21,221.38,219.75,220.38,35488
2018-01-03 09:45:00+05:30,220.38,222.33,219.88,221.92,42381
2018-01-03 10:00:00+05:30,221.92,224.17,221.04,223.46,167025
2018-01-03 10:15:00+05:30,223.33,224.0,221.96,222.42,53193
2018-01-03 10:30:00+05:30,222.42,222.54,221.25,221.25,32568
2018-01-03 10:45:00+05:30,221.29,221.38,220.46,220.5,35434
2018-01-03 11:00:00+05:30,220.5,220.83,218.92,219.42,93810
2018-01-03 11:15:00+05:30,219.42,219.92,219.21,219.67,22522
2018-01-03 11:30:00+05:30,219.67,219.92,219.46,219.75,11970
2018-01-03 11:45:00+05:30,219.75,219.92,219.58,219.83,5454
2018-01-03 12:00:00+05:30,219.83,219.88,219.58,219.75,9765
2018-01-03 12:15:00+05:30,219.75,219.79,218.83,219.42,20354
2018-01-03 12:30:00+05:30,219.42,219.54,219.17,219.42,6248
2018-01-03 12:45:00+05:30,219.42,219.67,219.17,219.21,11867
2018-01-03 13:00:00+05:30,219.21,219.83,218.63,219.46,29943
2018-01-03 13:15:00+05:30,219.46,219.75,218.88,219.58,18112
2018-01-03 13:30:00+05:30,219.75,220.0,218.79,219.17,115613
