datetime,open,high,low,close,volume
2019-04-01 09:30:00+05:30,29.48,29.18,28.5,29.06,9748
2019-04-01 09:45:00+05:30,29.06,29.33,29.06,29.28,38688
2019-04-01 10:00:00+05:30,29.28,29.7,29.24,29.58,56552
2019-04-01 10:15:00+05:30,29.58,29.7,29.44,29.49,34336
2019-04-01 10:30:00+05:30,29.49,29.56,29.49,29.5,4116
2019-04-01 10:45:00+05:30,29.5,29.59,29.5,29.59,1116
2019-04-01 11:00:00+05:30,29.55,29.55,29.51,29.51,2804
2019-04-01 11:15:00+05:30,29.51,29.58,29.51,29.53,6040
2019-04-01 11:30:00+05:30,29.53,29.69,29.5,29.5,20256
2019-04-01 11:45:00+05:30,29.5,29.59,29.5,29.59,12644
2019-04-01 12:00:00+05:30,29.59,29.59,29.51,29.59,3140
2019-04-01 12:15:00+05:30,29.59,29.63,29.56,29.63,6564
2019-04-01 12:30:00+05:30,29.59,30.56,29.59,30.26,132148
2019-04-01 12:45:00+05:30,30.26,30.8,30.26,30.31,103496
2019-04-01 13:00:00+05:30,30.31,30.41,29.86,29.88,30316
2019-04-01 13:15:00+05:30,29.88,30.15,29.88,30.04,2016
2019-04-01 13:30:00+05:30,30.04,30.4,30.01,30.03,33344
2019-04-01 13:45:00+05:30,30.03,30.48,30.01,30.26,30764
2019-04-01 14:00:00+05:30,30.26,30.51,30.25,30.51,12980
2019-04-01 14:15:00+05:30,30.51,30.69,30.4,30.64,20256
2019-04-01 14:30:00+05:30,30.64,30.88,30.53,30.66,94028
2019-04-01 14:45:00+05:30,30.63,31.04,30.63,31.0,193252
2019-04-01 15:00:00+05:30,31.0,31.49,30.8,31.38,213780
2019-04-01 15:15:00+05:30,31.38,31.55,30.58,31.0,262928
2019-04-01 15:30:00+05:30,31.01,31.25,31.0,31.0,156440
2019-04-02 09:30:00+05:30,31.05,31.23,30.43,30.44,34564
2019-04-02 09:45:00+05:30,30.46,30.69,30.41,30.55,24992
2019-04-02 10:00:00+05:30,30.55,30.88,30.55,30.61,18984
2019-04-02 10:15:00+05:30,30.61,30.65,30.26,30.5,40276
2019-04-02 10:30:00+05:30,30.5,30.69,30.38,30.69,16600
2019-04-02 10:45:00+05:30,30.69,30.69,30.5,30.69,9792
2019-04-02 11:00:00+05:30,30.69,30.8,30.68,30.69,26464
2019-04-02 11:15:00+05:30,30.69,30.71,30.51,30.51,23372
2019-04-02 11:30:00+05:30,30.51,30.68,30.51,30.68,3324
2019-04-02 11:45:00+05:30,30.63,30.76,30.63,30.76,14100
2019-04-02 12:00:00+05:30,30.76,30.76,30.66,30.73,6672
2019-04-02 12:15:00+05:30,30.73,31.05,30.7,31.05,20060
2019-04-02 12:30:00+05:30,31.05,32.08,31.03,31.75,276848
2019-04-02 12:45:00+05:30,31.56,32.08,31.39,31.66,117972
2019-04-02 13:00:00+05:30,31.56,31.68,31.39,31.43,13028
2019-04-02 13:15:00+05:30,31.43,31.5,31.26,31.5,9852
2019-04-02 13:30:00+05:30,31.5,31.5,31.31,31.39,2584
2019-04-02 13:45:00+05:30,31.39,31.5,31.39,31.49,2816
2019-04-02 14:00:00+05:30,31.38,32.11,31.35,31.75,293788
2019-04-02 14:15:00+05:30,31.75,32.11,31.64,31.64,263572
2019-04-02 14:30:00+05:30,31.64,31.83,31.26,31.78,472464
2019-04-02 14:45:00+05:30,31.78,32.16,31.65,32.06,85220
2019-04-02 15:00:00+05:30,32.08,32.73,31.98,32.5,198040
2019-04-02 15:15:00+05:30,32.5,32.73,32.35,32.63,120272
2019-04-02 15:30:00+05:30,32.67,33.28,32.56,32.85,333148
2019-04-03 09:30:00+05:30,32.98,33.48,32.59,33.24,112004
2019-04-03 09:45:00+05:30,33.24,33.25,32.17,32.39,103752
2019-04-03 10:00:00+05:30,32.39,32.73,32.33,32.42,29392
2019-04-03 10:15:00+05:30,32.42,32.49,32.38,32.46,2372
2019-04-03 10:30:00+05:30,32.44,32.44,32.28,32.35,9148
2019-04-03 10:45:00+05:30,32.35,32.35,32.03,32.16,17852
2019-04-03 11:00:00+05:30,32.16,32.21,32.0,32.08,13112
2019-04-03 11:15:00+05:30,32.08,32.19,32.0,32.11,19892
2019-04-03 11:30:00+05:30,32.09,32.19,32.0,32.1,4296
2019-04-03 11:45:00+05:30,32.1,32.2,32.0,32.05,13172
2019-04-03 12:00:00+05:30,32.05,32.15,32.0,32.04,14184
2019-04-03 12:15:00+05:30,32.04,32.23,32.03,32.14,14824
2019-04-03 12:30:00+05:30,32.14,32.59,32.14,32.48,24124
2019-04-03 12:45:00+05:30,32.48,32.48,32.3,32.4,1664
2019-04-03 13:00:00+05:30,32.38,32.48,32.38,32.4,5800
2019-04-03 13:15:00+05:30,32.4,32.61,32.36,32.56,14024
2019-04-03 13:30:00+05:30,32.56,32.64,32.45,32.54,4888
2019-04-03 13:45:00+05:30,32.54,32.6,32.5,32.55,3408
2019-04-03 14:00:00+05:30,32.48,32.48,32.29,32.39,5984
2019-04-03 14:15:00+05:30,32.39,32.51,32.14,32.51,19644
2019-04-03 14:30:00+05:30,32.5,32.79,32.25,32.25,34812
2019-04-03 14:45:00+05:30,32.19,32.25,32.0,32.01,25408
2019-04-03 15:00:00+05:30,32.01,32.13,32.01,32.01,5300
2019-04-03 15:15:00+05:30,32.01,32.59,31.89,32.24,45016
2019-04-03 15:30:00+05:30,32.24,32.75,32.01,32.65,48008
2019-04-04 09:30:00+05:30,32.03,32.15,31.71,31.75,19608
2019-04-04 09:45:00+05:30,31.75,32.0,31.61,31.96,5416
2019-04-04 10:00:00+05:30,31.96,32.0,31.68,32.0,15044
2019-04-04 10:15:00+05:30,32.0,32.0,31.8,31.95,2424
2019-04-04 10:30:00+05:30,31.95,31.95,31.69,31.69,7856
2019-04-04 10:45:00+05:30,31.69,32.85,31.69,32.67,42004
2019-04-04 11:00:00+05:30,32.85,32.95,32.34,32.39,34136
2019-04-04 11:15:00+05:30,32.39,32.6,32.38,32.45,17136
2019-04-04 11:30:00+05:30,32.45,32.66,32.4,32.41,6484
2019-04-04 11:45:00+05:30,32.45,32.5,32.4,32.45,4676
2019-04-04 12:00:00+05:30,32.4,32.45,32.38,32.38,4980
2019-04-04 12:15:00+05:30,32.38,32.38,32.3,32.3,6180
2019-04-04 12:30:00+05:30,32.29,32.38,32.26,32.38,2976
2019-04-04 12:45:00+05:30,32.38,32.38,32.34,32.34,240
2019-04-04 13:00:00+05:30,32.34,32.38,32.34,32.34,216
2019-04-04 13:15:00+05:30,32.34,32.45,32.34,32.38,6328
2019-04-04 13:30:00+05:30,32.38,32.39,32.38,32.38,3024
2019-04-04 13:45:00+05:30,32.38,32.46,32.38,32.4,6228
2019-04-04 14:00:00+05:30,32.4,32.5,32.38,32.5,6300
2019-04-04 14:15:00+05:30,33.0,33.05,32.88,32.91,55224
2019-04-04 14:30:00+05:30,33.0,33.44,32.91,33.0,40240
2019-04-04 14:45:00+05:30,33.0,33.01,32.85,32.86,28628
2019-04-04 15:00:00+05:30,32.86,33.0,32.59,32.89,12712
2019-04-04 15:15:00+05:30,32.89,34.38,32.86,33.81,102564
2019-04-04 15:30:00+05:30,33.9,34.6,33.81,34.2,155492
2019-04-05 09:30:00+05:30,34.5,34.75,34.08,34.1,60372
2019-04-05 09:45:00+05:30,34.05,34.44,33.75,34.44,36000
2019-04-05 10:00:00+05:30,34.44,35.0,34.41,34.9,84808
2019-04-05 10:15:00+05:30,34.9,34.94,34.63,34.63,54640
2019-04-05 10:30:00+05:30,34.63,34.73,34.48,34.48,28144
2019-04-05 10:45:00+05:30,34.48,35.24,34.45,35.24,70372
2019-04-05 11:00:00+05:30,35.11,35.67,35.11,35.63,111964
2019-04-05 11:15:00+05:30,35.63,35.67,35.1,35.1,73612
2019-04-05 11:30:00+05:30,35.09,35.21,35.06,35.16,10308
2019-04-05 11:45:00+05:30,35.16,35.2,35.15,35.15,2032
2019-04-05 12:00:00+05:30,35.15,35.15,34.91,34.95,9420
2019-04-05 12:15:00+05:30,34.95,35.0,34.88,35.0,24288
2019-04-05 12:30:00+05:30,35.0,35.0,34.88,34.92,5672
2019-04-05 12:45:00+05:30,34.92,35.0,34.88,35.0,3860
2019-04-05 13:00:00+05:30,35.0,35.0,34.91,35.0,5004
2019-04-05 13:15:00+05:30,35.0,35.24,34.99,35.21,5868
2019-04-05 13:30:00+05:30,35.21,35.38,35.19,35.21,28284
2019-04-05 13:45:00+05:30,35.25,35.38,35.21,35.24,6648
2019-04-05 14:00:00+05:30,35.24,35.26,34.89,35.06,6384
2019-04-05 14:15:00+05:30,34.94,35.0,34.83,34.91,8712
2019-04-05 14:30:00+05:30,34.91,35.14,34.8,35.08,37400
2019-04-05 14:45:00+05:30,35.01,35.11,34.63,34.63,74508
2019-04-05 15:00:00+05:30,34.63,34.92,34.63,34.8,7996
2019-04-05 15:15:00+05:30,34.8,35.01,34.8,34.95,13636
2019-04-05 15:30:00+05:30,34.98,35.39,34.81,35.05,82924
2019-04-08 09:30:00+05:30,35.24,35.39,34.79,35.31,44384
2019-04-08 09:45:00+05:30,35.31,35.84,35.31,35.39,28240
2019-04-08 10:00:00+05:30,35.39,35.74,35.36,35.36,23992
2019-04-08 10:15:00+05:30,35.36,35.94,35.33,35.88,29768
2019-04-08 10:30:00+05:30,35.88,36.13,35.75,35.81,863804
2019-04-08 10:45:00+05:30,35.81,36.1,35.75,35.89,33272
2019-04-08 11:00:00+05:30,35.9,36.2,35.9,35.94,40556
2019-04-08 11:15:00+05:30,35.94,36.0,35.86,35.92,10872
2019-04-08 11:30:00+05:30,35.92,35.92,35.38,35.38,21120
2019-04-08 11:45:00+05:30,35.38,35.44,35.29,35.33,13128
2019-04-08 12:00:00+05:30,35.33,35.33,35.16,35.17,812
2019-04-08 12:15:00+05:30,35.17,35.25,35.08,35.19,12016
2019-04-08 12:30:00+05:30,35.09,35.54,35.09,35.54,7972
2019-04-08 12:45:00+05:30,35.54,35.64,35.38,35.41,10204
2019-04-08 13:00:00+05:30,35.41,35.41,35.0,35.34,13656
2019-04-08 13:15:00+05:30,35.3,35.35,35.15,35.16,5676
2019-04-08 13:30:00+05:30,35.16,35.23,35.08,35.08,3364
2019-04-08 13:45:00+05:30,35.01,35.01,34.26,35.0,31700
2019-04-08 14:00:00+05:30,34.89,34.89,34.5,34.6,6272
2019-04-08 14:15:00+05:30,34.6,34.8,34.36,34.45,14948
2019-04-08 14:30:00+05:30,34.48,34.78,34.48,34.64,5932
2019-04-08 14:45:00+05:30,34.64,34.75,34.5,34.64,6072
2019-04-08 15:00:00+05:30,34.64,34.83,34.64,34.78,7100
2019-04-08 15:15:00+05:30,34.78,34.88,34.78,34.88,65824
2019-04-08 15:30:00+05:30,34.89,35.48,34.75,35.0,31612
2019-04-09 09:30:00+05:30,35.0,35.14,34.41,34.58,20272
2019-04-09 09:45:00+05:30,34.58,34.83,34.53,34.73,8016
2019-04-09 10:00:00+05:30,34.67,34.67,34.5,34.5,8096
2019-04-09 10:15:00+05:30,34.5,34.5,34.25,34.38,24984
2019-04-09 10:30:00+05:30,34.38,34.38,34.25,34.26,7464
2019-04-09 10:45:00+05:30,34.26,34.45,34.25,34.25,18844
2019-04-09 11:00:00+05:30,34.31,34.34,33.94,33.94,9672
2019-04-09 11:15:00+05:30,33.92,33.98,33.8,33.85,6540
2019-04-09 11:30:00+05:30,33.85,33.88,33.4,33.4,42348
2019-04-09 11:45:00+05:30,33.4,33.53,33.19,33.53,12048
2019-04-09 12:00:00+05:30,33.69,33.75,33.4,33.54,22868
2019-04-09 12:15:00+05:30,33.54,33.75,33.53,33.75,3412
2019-04-09 12:30:00+05:30,33.75,33.75,33.67,33.75,4052
2019-04-09 12:45:00+05:30,33.75,33.75,33.6,33.6,988
2019-04-09 13:00:00+05:30,33.6,33.75,33.6,33.71,1892
2019-04-09 13:15:00+05:30,33.71,33.98,33.71,33.9,6448
2019-04-09 13:30:00+05:30,33.9,34.08,33.9,34.0,4392
2019-04-09 13:45:00+05:30,34.0,34.0,33.75,33.83,22768
2019-04-09 14:00:00+05:30,33.83,33.86,33.78,33.86,2724
2019-04-09 14:15:00+05:30,33.86,33.95,33.86,33.95,684
2019-04-09 14:30:00+05:30,33.95,33.95,33.75,33.75,2080
2019-04-09 14:45:00+05:30,33.75,33.88,33.75,33.76,6768
2019-04-09 15:00:00+05:30,33.76,33.91,33.76,33.81,4692
2019-04-09 15:15:00+05:30,33.81,33.81,33.53,33.7,25172
2019-04-09 15:30:00+05:30,33.74,33.75,33.28,33.38,37688
2019-04-10 09:30:00+05:30,33.63,33.63,33.13,33.51,12200
2019-04-10 09:45:00+05:30,33.53,33.53,33.29,33.38,5124
2019-04-10 10:00:00+05:30,33.38,33.66,33.25,33.34,19776
2019-04-10 10:15:00+05:30,33.34,33.34,33.28,33.28,1600
2019-04-10 10:30:00+05:30,33.24,33.29,33.16,33.17,5068
2019-04-10 10:45:00+05:30,33.17,33.17,32.86,33.03,17528
2019-04-10 11:00:00+05:30,33.03,33.34,33.03,33.25,22304
2019-04-10 11:15:00+05:30,33.25,33.25,32.94,32.98,15164
2019-04-10 11:30:00+05:30,32.98,33.0,32.78,32.81,29040
2019-04-10 11:45:00+05:30,32.94,32.94,32.79,32.86,3364
2019-04-10 12:00:00+05:30,32.86,32.86,32.64,32.8,13312
2019-04-10 12:15:00+05:30,32.8,33.01,32.65,32.96,17780
2019-04-10 12:30:00+05:30,32.96,33.04,32.79,32.95,18824
2019-04-10 12:45:00+05:30,32.95,32.95,32.81,32.81,1052
2019-04-10 13:00:00+05:30,32.9,32.98,32.84,32.92,1200
2019-04-10 13:15:00+05:30,32.92,33.06,32.92,33.05,3240
2019-04-10 13:30:00+05:30,33.05,33.05,32.83,32.85,2108
2019-04-10 13:45:00+05:30,32.83,32.83,32.5,32.63,11812
2019-04-10 14:00:00+05:30,32.55,32.75,32.55,32.75,5340
2019-04-10 14:15:00+05:30,32.75,33.0,32.74,32.84,7868
2019-04-10 14:30:00+05:30,32.84,32.95,32.59,32.66,5672
2019-04-10 14:45:00+05:30,32.73,32.89,32.55,32.86,8588
2019-04-10 15:00:00+05:30,32.85,32.94,32.64,32.88,8632
2019-04-10 15:15:00+05:30,32.86,32.94,32.63,32.8,11832
2019-04-10 15:30:00+05:30,32.8,32.91,32.53,32.8,20076
2019-04-11 09:30:00+05:30,32.8,33.05,32.67,33.05,11208
2019-04-11 09:45:00+05:30,33.01,33.26,33.0,33.0,7472
2019-04-11 10:00:00+05:30,33.0,33.0,32.99,32.99,2564
2019-04-11 10:15:00+05:30,32.99,33.1,32.98,33.1,5808
2019-04-11 10:30:00+05:30,33.1,33.49,33.1,33.49,3652
2019-04-11 10:45:00+05:30,33.49,33.6,33.41,33.42,15896
2019-04-11 11:00:00+05:30,33.42,33.6,33.38,33.6,107696
2019-04-11 11:15:00+05:30,33.6,33.6,33.51,33.6,8812
2019-04-11 11:30:00+05:30,33.6,33.6,33.39,33.39,4680
2019-04-11 11:45:00+05:30,33.39,33.54,33.38,33.54,3160
2019-04-11 12:00:00+05:30,33.54,33.54,33.3,33.3,3912
2019-04-11 12:15:00+05:30,33.31,33.31,33.23,33.23,1384
2019-04-11 12:30:00+05:30,33.23,33.23,33.13,33.13,2076
2019-04-11 12:45:00+05:30,33.13,33.13,33.0,33.05,12956
2019-04-11 13:00:00+05:30,33.05,33.23,33.05,33.23,3768
2019-04-11 13:15:00+05:30,33.23,33.23,33.06,33.06,1304
2019-04-11 13:30:00+05:30,33.06,33.13,32.96,32.96,2340
2019-04-11 13:45:00+05:30,32.98,33.13,32.98,33.03,4464
2019-04-11 14:00:00+05:30,33.03,33.13,33.03,33.08,2264
2019-04-11 14:15:00+05:30,33.08,33.08,33.0,33.05,4840
