datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,305.0,305.0,301.55,301.55,34
2018-01-01 09:45:00+05:30,301.55,304.0,301.55,303.85,708
2018-01-01 10:00:00+05:30,303.85,304.0,303.0,303.35,1898
2018-01-01 10:15:00+05:30,303.35,303.55,303.0,303.0,757
2018-01-01 10:30:00+05:30,303.0,303.7,301.25,301.45,1377
2018-01-01 10:45:00+05:30,301.45,302.0,301.0,301.5,1315
2018-01-01 11:00:00+05:30,301.5,301.5,300.95,300.95,1624
2018-01-01 11:15:00+05:30,300.95,301.65,299.9,300.9,4998
2018-01-01 11:30:00+05:30,300.9,300.95,300.7,300.95,153
2018-01-01 11:45:00+05:30,300.95,301.4,300.1,300.15,731
2018-01-01 12:00:00+05:30,300.9,300.9,300.85,300.85,86
2018-01-01 12:15:00+05:30,300.85,300.95,300.5,300.9,791
2018-01-01 12:30:00+05:30,300.9,301.1,300.85,301.1,169
2018-01-01 12:45:00+05:30,301.1,301.1,300.1,300.25,631
2018-01-01 13:00:00+05:30,300.85,300.85,300.8,300.85,691
2018-01-01 13:15:00+05:30,300.85,300.95,299.95,300.0,2709
2018-01-01 13:30:00+05:30,300.0,301.0,300.0,300.15,1001
2018-01-01 13:45:00+05:30,300.15,300.85,300.1,300.85,198
2018-01-01 14:00:00+05:30,300.85,300.85,299.95,300.0,1285
2018-01-01 14:15:00+05:30,300.0,300.6,300.0,300.6,148
2018-01-01 14:30:00+05:30,300.6,300.6,299.3,300.0,1987
2018-01-01 14:45:00+05:30,300.0,300.45,300.0,300.4,387
2018-01-01 15:00:00+05:30,300.4,301.15,299.95,300.45,2286
2018-01-01 15:15:00+05:30,300.5,300.5,299.25,300.3,4774
2018-01-01 15:30:00+05:30,300.3,300.3,299.5,300.0,3037
2018-01-02 09:30:00+05:30,302.7,302.7,300.55,301.0,782
2018-01-02 09:45:00+05:30,301.0,301.0,300.1,300.15,2386
2018-01-02 10:00:00+05:30,300.15,300.4,300.15,300.15,1153
2018-01-02 10:15:00+05:30,300.15,300.4,299.5,299.5,2431
2018-01-02 10:30:00+05:30,299.5,300.0,299.2,300.0,250
2018-01-02 10:45:00+05:30,300.0,300.0,299.6,299.95,86
2018-01-02 11:00:00+05:30,299.95,300.4,299.95,300.4,645
2018-01-02 11:15:00+05:30,300.4,300.4,300.0,300.15,98
2018-01-02 11:30:00+05:30,300.15,300.55,300.0,300.0,225
2018-01-02 11:45:00+05:30,300.0,300.0,299.85,299.9,210
2018-01-02 12:00:00+05:30,299.9,300.85,299.75,300.5,886
2018-01-02 12:15:00+05:30,300.5,300.95,300.5,300.95,158
2018-01-02 12:30:00+05:30,300.95,300.95,300.0,300.0,1250
2018-01-02 12:45:00+05:30,300.95,301.45,300.6,301.45,651
2018-01-02 13:00:00+05:30,301.5,301.5,299.0,299.85,4306
2018-01-02 13:15:00+05:30,299.85,299.9,299.05,299.7,280
2018-01-02 13:30:00+05:30,299.7,299.8,299.45,299.8,207
2018-01-02 13:45:00+05:30,299.8,300.0,299.3,299.95,36
2018-01-02 14:00:00+05:30,299.95,299.95,299.95,299.95,133
2018-01-02 14:15:00+05:30,299.95,300.0,299.05,299.75,1258
2018-01-02 14:30:00+05:30,299.75,299.75,299.1,299.1,244
2018-01-02 14:45:00+05:30,299.1,299.6,298.6,298.6,392
2018-01-02 15:00:00+05:30,298.6,301.4,298.6,300.15,9539
2018-01-02 15:15:00+05:30,300.15,300.7,299.3,299.5,2131
2018-01-02 15:30:00+05:30,299.5,300.0,299.05,299.95,2889
2018-01-03 09:30:00+05:30,300.1,300.85,299.2,300.4,746
2018-01-03 09:45:00+05:30,300.4,300.65,299.3,299.9,2153
2018-01-03 10:00:00+05:30,300.0,300.4,299.55,300.0,4106
2018-01-03 10:15:00+05:30,300.0,300.0,299.5,299.95,1599
2018-01-03 10:30:00+05:30,299.95,300.0,299.6,299.6,623
2018-01-03 10:45:00+05:30,299.6,299.95,299.6,299.6,106
2018-01-03 11:00:00+05:30,299.6,299.95,299.5,299.95,108
2018-01-03 11:15:00+05:30,299.95,299.95,299.7,299.9,244
2018-01-03 11:30:00+05:30,299.9,299.9,299.4,299.9,556
2018-01-03 11:45:00+05:30,299.9,299.95,299.6,299.95,161
2018-01-03 12:00:00+05:30,299.95,300.0,299.5,300.0,1793
2018-01-03 12:15:00+05:30,300.05,300.05,299.5,299.95,1268
2018-01-03 12:30:00+05:30,299.95,299.95,299.2,299.95,507
2018-01-03 12:45:00+05:30,299.45,299.9,298.65,298.95,1467
2018-01-03 13:00:00+05:30,298.95,298.95,297.55,297.7,4314
2018-01-03 13:15:00+05:30,297.7,297.75,297.6,297.75,666
2018-01-03 13:30:00+05:30,297.75,297.75,297.55,297.75,560
2018-01-03 13:45:00+05:30,297.75,297.8,295.05,297.45,3895
2018-01-03 14:00:00+05:30,297.2,299.85,296.55,299.7,1661
2018-01-03 14:15:00+05:30,298.55,299.85,298.55,299.8,991
2018-01-03 14:30:00+05:30,299.8,299.8,298.0,298.3,612
2018-01-03 14:45:00+05:30,298.3,299.7,296.65,299.2,8470
2018-01-03 15:00:00+05:30,298.7,299.5,298.7,299.0,580
2018-01-03 15:15:00+05:30,299.0,299.0,298.2,298.6,1324
2018-01-03 15:30:00+05:30,298.6,299.35,297.95,299.35,3416
2018-01-04 09:30:00+05:30,299.0,301.05,299.0,300.35,1643
2018-01-04 09:45:00+05:30,300.35,302.0,300.15,302.0,2178
2018-01-04 10:00:00+05:30,302.0,309.05,302.0,306.95,15376
2018-01-04 10:15:00+05:30,306.95,307.75,305.95,307.2,38001
