datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,61.0,63.65,61.7,63.65,1660745
2018-01-01 09:45:00+05:30,63.65,63.65,63.65,63.65,28938
2018-01-01 10:00:00+05:30,63.65,63.65,63.65,63.65,18913
2018-01-01 10:15:00+05:30,63.65,63.65,63.65,63.65,11816
2018-01-01 10:30:00+05:30,63.65,63.65,63.65,63.65,6990
2018-01-01 10:45:00+05:30,63.65,63.65,63.65,63.65,12372
2018-01-01 11:00:00+05:30,63.65,63.65,63.65,63.65,27161
2018-01-01 11:15:00+05:30,63.65,63.65,63.65,63.65,5370
2018-01-01 11:30:00+05:30,63.65,63.65,63.65,63.65,6023
2018-01-01 11:45:00+05:30,63.65,63.65,63.65,63.65,10168
2018-01-01 12:00:00+05:30,63.65,63.65,63.65,63.65,5111
2018-01-01 12:15:00+05:30,63.65,63.65,63.65,63.65,896
2018-01-01 12:30:00+05:30,63.65,63.65,63.65,63.65,2605
2018-01-01 12:45:00+05:30,63.65,63.65,63.65,63.65,1611
2018-01-01 13:00:00+05:30,63.65,63.65,63.65,63.65,2205
2018-01-01 13:15:00+05:30,63.65,63.65,63.65,63.65,2402
2018-01-01 13:30:00+05:30,63.65,63.65,63.65,63.65,5905
2018-01-01 13:45:00+05:30,63.65,63.65,63.65,63.65,1961
2018-01-01 14:00:00+05:30,63.65,63.65,63.65,63.65,3579
2018-01-01 14:15:00+05:30,63.65,63.65,63.65,63.65,1131
2018-01-01 14:30:00+05:30,63.65,63.65,63.65,63.65,437
2018-01-01 14:45:00+05:30,63.65,63.65,63.65,63.65,1912
2018-01-01 15:00:00+05:30,63.65,63.65,63.65,63.65,1675
2018-01-01 15:15:00+05:30,63.65,63.65,63.65,63.65,34313
2018-01-01 15:30:00+05:30,63.65,63.65,63.65,63.65,44794
2018-01-02 09:30:00+05:30,70.0,70.0,70.0,70.0,220310
2018-01-02 09:45:00+05:30,70.0,70.0,70.0,70.0,49079
2018-01-02 10:00:00+05:30,70.0,70.0,67.0,69.0,1968047
2018-01-02 10:15:00+05:30,69.15,70.0,65.15,68.8,1996136
2018-01-02 10:30:00+05:30,68.8,70.0,68.6,70.0,1104446
2018-01-02 10:45:00+05:30,70.0,70.0,70.0,70.0,227965
2018-01-02 11:00:00+05:30,70.0,70.0,70.0,70.0,26762
2018-01-02 11:15:00+05:30,70.0,70.0,70.0,70.0,16965
2018-01-02 11:30:00+05:30,70.0,70.0,70.0,70.0,13174
2018-01-02 11:45:00+05:30,70.0,70.0,70.0,70.0,64439
2018-01-02 12:00:00+05:30,70.0,70.0,70.0,70.0,13398
2018-01-02 12:15:00+05:30,70.0,70.0,70.0,70.0,6484
2018-01-02 12:30:00+05:30,70.0,70.0,70.0,70.0,1196
2018-01-02 12:45:00+05:30,70.0,70.0,70.0,70.0,5088
2018-01-02 13:00:00+05:30,70.0,70.0,70.0,70.0,4828
2018-01-02 13:15:00+05:30,70.0,70.0,70.0,70.0,7307
2018-01-02 13:30:00+05:30,70.0,70.0,70.0,70.0,2270
2018-01-02 13:45:00+05:30,70.0,70.0,70.0,70.0,1426
2018-01-02 14:00:00+05:30,70.0,70.0,70.0,70.0,6736
2018-01-02 14:15:00+05:30,70.0,70.0,70.0,70.0,12704
2018-01-02 14:30:00+05:30,70.0,70.0,70.0,70.0,44889
2018-01-02 14:45:00+05:30,70.0,70.0,70.0,70.0,32647
2018-01-02 15:00:00+05:30,70.0,70.0,70.0,70.0,15928
2018-01-02 15:15:00+05:30,70.0,70.0,70.0,70.0,4756
2018-01-02 15:30:00+05:30,70.0,70.0,70.0,70.0,11220
2018-01-03 09:30:00+05:30,72.45,72.4,68.0,69.7,926860
2018-01-03 09:45:00+05:30,69.2,69.85,68.0,69.6,236501
2018-01-03 10:00:00+05:30,69.6,71.0,69.3,70.25,252616
2018-01-03 10:15:00+05:30,70.25,70.25,68.6,68.8,109394
2018-01-03 10:30:00+05:30,68.8,69.75,68.6,69.35,86241
2018-01-03 10:45:00+05:30,69.35,69.9,67.7,67.8,173520
