datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,51.48,51.9,51.05,51.28,190756
2018-01-01 09:45:00+05:30,51.13,51.45,50.83,51.28,42046
2018-01-01 10:00:00+05:30,51.28,51.5,50.98,51.15,50308
2018-01-01 10:15:00+05:30,51.15,51.35,50.85,50.98,53494
2018-01-01 10:30:00+05:30,50.98,51.0,50.9,50.9,37012
2018-01-01 10:45:00+05:30,51.0,51.83,50.85,51.8,62306
2018-01-01 11:00:00+05:30,51.93,52.6,51.58,51.83,265580
2018-01-01 11:15:00+05:30,51.83,52.1,51.63,52.1,38772
2018-01-01 11:30:00+05:30,52.1,52.83,52.1,52.63,151870
2018-01-01 11:45:00+05:30,52.75,52.78,52.48,52.58,53400
2018-01-01 12:00:00+05:30,52.58,52.78,52.53,52.65,41718
2018-01-01 12:15:00+05:30,52.65,52.75,52.13,52.15,68052
2018-01-01 12:30:00+05:30,52.15,52.75,52.15,52.63,59326
2018-01-01 12:45:00+05:30,52.68,52.75,52.43,52.75,52192
2018-01-01 13:00:00+05:30,52.75,52.9,52.6,52.75,84076
2018-01-01 13:15:00+05:30,52.75,52.75,52.5,52.63,73820
2018-01-01 13:30:00+05:30,52.63,52.75,52.1,52.45,100158
2018-01-01 13:45:00+05:30,52.5,52.75,52.33,52.7,44364
2018-01-01 14:00:00+05:30,52.7,53.43,52.5,53.03,164262
2018-01-01 14:15:00+05:30,53.0,53.78,53.0,53.5,214218
2018-01-01 14:30:00+05:30,53.5,53.75,53.38,53.5,129476
2018-01-01 14:45:00+05:30,53.5,53.5,52.98,53.2,79322
2018-01-01 15:00:00+05:30,53.2,53.25,52.05,52.33,160514
2018-01-01 15:15:00+05:30,52.33,52.7,51.85,52.63,130776
2018-01-01 15:30:00+05:30,52.6,52.88,52.23,52.75,187302
2018-01-02 09:30:00+05:30,52.98,54.15,53.0,53.95,419574
2018-01-02 09:45:00+05:30,53.95,54.7,53.53,53.93,633636
2018-01-02 10:00:00+05:30,53.88,54.0,53.05,53.43,366350
2018-01-02 10:15:00+05:30,53.43,53.43,52.75,52.9,233982
2018-01-02 10:30:00+05:30,52.9,53.13,52.5,52.95,339772
2018-01-02 10:45:00+05:30,52.95,53.5,52.95,53.35,137424
2018-01-02 11:00:00+05:30,53.35,53.63,52.5,52.75,253042
2018-01-02 11:15:00+05:30,52.75,52.8,52.58,52.78,158656
2018-01-02 11:30:00+05:30,52.78,52.95,52.5,52.68,87760
2018-01-02 11:45:00+05:30,52.68,52.73,52.3,52.7,96664
2018-01-02 12:00:00+05:30,52.7,52.95,52.63,52.88,36222
2018-01-02 12:15:00+05:30,52.88,52.9,52.6,52.83,30562
2018-01-02 12:30:00+05:30,52.83,52.95,52.6,52.95,41250
2018-01-02 12:45:00+05:30,52.95,52.95,52.75,52.88,30762
2018-01-02 13:00:00+05:30,52.7,52.93,52.65,52.8,56710
2018-01-02 13:15:00+05:30,52.8,53.13,52.65,53.0,53826
2018-01-02 13:30:00+05:30,53.05,53.05,52.85,52.88,28102
2018-01-02 13:45:00+05:30,52.88,52.95,52.7,52.9,35196
2018-01-02 14:00:00+05:30,52.9,52.9,51.9,51.9,145374
2018-01-02 14:15:00+05:30,51.9,52.25,51.73,52.25,60562
2018-01-02 14:30:00+05:30,52.25,52.3,51.75,52.0,112654
2018-01-02 14:45:00+05:30,52.0,52.23,51.78,52.1,103074
2018-01-02 15:00:00+05:30,52.1,52.63,52.03,52.6,93760
2018-01-02 15:15:00+05:30,52.6,52.83,51.98,52.33,158554
2018-01-02 15:30:00+05:30,52.35,52.53,52.25,52.38,211190
2018-01-03 09:30:00+05:30,52.8,53.23,52.8,53.15,190606
2018-01-03 09:45:00+05:30,53.23,53.3,52.75,53.13,170588
2018-01-03 10:00:00+05:30,53.13,54.35,53.13,54.35,318532
2018-01-03 10:15:00+05:30,54.45,54.48,53.65,53.95,178764
2018-01-03 10:30:00+05:30,53.95,54.0,53.68,53.68,67784
2018-01-03 10:45:00+05:30,53.68,53.73,53.6,53.6,45152
2018-01-03 11:00:00+05:30,53.6,53.9,53.38,53.6,78906
2018-01-03 11:15:00+05:30,53.55,53.88,53.53,53.73,130210
2018-01-03 11:30:00+05:30,53.73,53.8,53.53,53.75,44634
2018-01-03 11:45:00+05:30,53.75,53.8,53.53,53.7,40514
2018-01-03 12:00:00+05:30,53.7,53.75,53.53,53.58,21878
2018-01-03 12:15:00+05:30,53.58,53.63,53.33,53.33,31600
2018-01-03 12:30:00+05:30,53.33,53.65,53.28,53.53,54440
2018-01-03 12:45:00+05:30,53.5,53.63,53.5,53.6,71780
2018-01-03 13:00:00+05:30,53.6,53.6,53.5,53.53,30678
2018-01-03 13:15:00+05:30,53.53,53.75,53.5,53.75,17224
2018-01-03 13:30:00+05:30,53.75,54.85,53.75,54.15,566466
2018-01-03 13:45:00+05:30,54.15,54.23,53.53,53.53,70650
2018-01-03 14:00:00+05:30,53.53,53.85,53.45,53.85,37694
2018-01-03 14:15:00+05:30,53.85,53.98,53.78,53.78,26482
2018-01-03 14:30:00+05:30,53.78,53.98,53.4,53.55,68508
2018-01-03 14:45:00+05:30,53.55,53.65,53.4,53.48,27512
2018-01-03 15:00:00+05:30,53.48,53.75,53.4,53.6,32784
2018-01-03 15:15:00+05:30,53.6,54.25,53.6,54.1,114164
2018-01-03 15:30:00+05:30,54.1,54.73,53.88,54.7,249790
2018-01-04 09:30:00+05:30,54.55,54.85,53.9,54.1,294546
2018-01-04 09:45:00+05:30,54.1,54.25,53.9,54.0,59210
2018-01-04 10:00:00+05:30,54.0,54.0,53.88,53.93,124530
2018-01-04 10:15:00+05:30,53.9,54.03,53.9,53.9,51144
2018-01-04 10:30:00+05:30,53.9,54.0,53.7,53.8,78200
2018-01-04 10:45:00+05:30,53.8,53.85,53.2,53.53,67100
2018-01-04 11:00:00+05:30,53.53,53.73,53.2,53.58,45538
2018-01-04 11:15:00+05:30,53.58,53.68,53.28,53.6,57006
2018-01-04 11:30:00+05:30,53.6,53.73,53.5,53.68,28066
2018-01-04 11:45:00+05:30,53.68,53.85,53.45,53.7,35234
2018-01-04 12:00:00+05:30,53.7,54.0,53.53,53.8,69746
2018-01-04 12:15:00+05:30,53.8,54.5,53.75,53.83,358958
2018-01-04 12:30:00+05:30,53.83,54.05,53.83,53.95,60718
