datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,78.41,78.41,77.75,77.84,8264
2018-01-01 09:45:00+05:30,77.84,77.86,77.69,77.72,7248
2018-01-01 10:00:00+05:30,77.72,77.79,77.72,77.78,536
2018-01-01 10:15:00+05:30,77.75,77.86,77.65,77.86,896
2018-01-01 10:30:00+05:30,77.86,77.88,77.65,77.8,1308
2018-01-01 10:45:00+05:30,77.83,78.25,77.66,78.25,1832
2018-01-01 11:00:00+05:30,78.25,78.74,78.21,78.51,6116
2018-01-01 11:15:00+05:30,78.75,78.75,78.15,78.35,5996
2018-01-01 11:30:00+05:30,78.35,78.35,78.0,78.35,2128
2018-01-01 11:45:00+05:30,78.35,78.58,77.88,78.21,3180
2018-01-01 12:00:00+05:30,78.2,78.2,77.76,78.05,6544
2018-01-01 12:15:00+05:30,78.05,78.05,77.88,77.89,1512
2018-01-01 12:30:00+05:30,77.89,77.97,77.88,77.88,1812
2018-01-01 12:45:00+05:30,77.88,77.88,77.83,77.83,1216
2018-01-01 13:00:00+05:30,77.83,77.89,77.83,77.89,296
2018-01-01 13:15:00+05:30,77.89,77.9,77.78,77.9,528
2018-01-01 13:30:00+05:30,77.9,77.9,77.74,77.74,2748
2018-01-01 13:45:00+05:30,77.74,77.9,77.74,77.9,64
2018-01-01 14:00:00+05:30,77.9,77.9,77.71,77.9,736
2018-01-01 14:15:00+05:30,77.9,77.9,77.65,77.89,724
2018-01-01 14:30:00+05:30,77.89,77.9,77.65,77.65,1908
2018-01-01 14:45:00+05:30,77.65,77.9,77.65,77.75,3872
2018-01-01 15:00:00+05:30,77.75,77.75,77.63,77.63,820
2018-01-01 15:15:00+05:30,77.63,77.69,77.25,77.53,5848
2018-01-01 15:30:00+05:30,77.53,77.7,77.08,77.08,3552
2018-01-02 09:30:00+05:30,77.08,78.6,77.08,78.0,3652
2018-01-02 09:45:00+05:30,78.0,78.49,77.2,77.22,3212
2018-01-02 10:00:00+05:30,77.38,77.69,77.38,77.49,544
2018-01-02 10:15:00+05:30,77.49,77.49,76.33,76.49,5472
2018-01-02 10:30:00+05:30,76.49,77.01,76.49,77.01,2852
2018-01-02 10:45:00+05:30,77.01,77.29,76.78,76.78,2960
2018-01-02 11:00:00+05:30,76.78,76.93,76.33,76.33,4656
2018-01-02 11:15:00+05:30,76.33,76.93,76.33,76.44,3816
2018-01-02 11:30:00+05:30,76.44,76.71,75.76,75.97,4524
2018-01-02 11:45:00+05:30,75.97,76.04,75.88,76.0,6004
2018-01-02 12:00:00+05:30,76.0,76.99,76.0,76.97,1836
2018-01-02 12:15:00+05:30,76.97,76.99,76.8,76.84,740
2018-01-02 12:30:00+05:30,76.84,76.95,76.81,76.95,404
2018-01-02 12:45:00+05:30,76.95,76.95,76.81,76.9,700
2018-01-02 13:00:00+05:30,76.76,76.76,76.01,76.03,1312
2018-01-02 13:15:00+05:30,76.15,76.24,75.45,75.45,8428
2018-01-02 13:30:00+05:30,75.25,75.45,74.91,75.2,76976
2018-01-02 13:45:00+05:30,75.2,75.25,75.01,75.24,10656
2018-01-02 14:00:00+05:30,75.24,75.25,75.05,75.25,2504
2018-01-02 14:15:00+05:30,75.11,75.13,75.01,75.01,5304
2018-01-02 14:30:00+05:30,75.01,75.14,75.01,75.04,2148
2018-01-02 14:45:00+05:30,75.04,75.11,75.0,75.1,6784
2018-01-02 15:00:00+05:30,75.1,75.2,75.0,75.2,18748
2018-01-02 15:15:00+05:30,75.2,75.25,75.01,75.2,15236
2018-01-02 15:30:00+05:30,75.2,75.38,75.11,75.38,23396
2018-01-03 09:30:00+05:30,75.25,76.64,75.26,75.97,12080
2018-01-03 09:45:00+05:30,75.97,75.97,75.51,75.61,5348
2018-01-03 10:00:00+05:30,75.61,75.95,75.61,75.91,404
2018-01-03 10:15:00+05:30,75.91,75.95,75.83,75.83,696
2018-01-03 10:30:00+05:30,75.83,75.83,75.79,75.83,1232
2018-01-03 10:45:00+05:30,75.83,75.83,75.69,75.74,4840
2018-01-03 11:00:00+05:30,75.74,75.75,75.69,75.75,332
2018-01-03 11:15:00+05:30,75.75,75.93,75.72,75.93,720
2018-01-03 11:30:00+05:30,75.93,75.93,75.93,75.93,0
