datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,222.0,223.85,221.25,221.5,65001
2018-01-01 09:45:00+05:30,221.5,222.7,221.25,221.95,28835
2018-01-01 10:00:00+05:30,221.95,222.05,221.75,221.9,33839
2018-01-01 10:15:00+05:30,221.9,222.0,221.7,221.8,22584
2018-01-01 10:30:00+05:30,221.8,223.3,221.8,222.5,81723
2018-01-01 10:45:00+05:30,222.5,223.0,222.3,222.3,17421
2018-01-01 11:00:00+05:30,222.3,222.8,222.05,222.45,12885
2018-01-01 11:15:00+05:30,222.45,222.55,221.9,222.15,15856
2018-01-01 11:30:00+05:30,222.15,222.45,222.0,222.35,9060
2018-01-01 11:45:00+05:30,222.35,222.35,221.9,222.1,4284
2018-01-01 12:00:00+05:30,222.1,222.4,221.95,222.0,14045
2018-01-01 12:15:00+05:30,222.0,222.2,222.0,222.15,8693
2018-01-01 12:30:00+05:30,222.15,222.55,221.9,222.1,97217
2018-01-01 12:45:00+05:30,222.1,222.65,222.1,222.4,17434
2018-01-01 13:00:00+05:30,222.4,222.4,221.7,222.0,16016
2018-01-01 13:15:00+05:30,222.0,222.4,222.0,222.4,5926
2018-01-01 13:30:00+05:30,222.4,222.4,221.5,221.65,18318
2018-01-01 13:45:00+05:30,221.65,221.85,221.6,221.6,5591
2018-01-01 14:00:00+05:30,221.6,222.0,221.55,221.55,11315
2018-01-01 14:15:00+05:30,221.55,221.95,221.55,221.95,6046
2018-01-01 14:30:00+05:30,221.95,222.35,221.75,222.3,19557
2018-01-01 14:45:00+05:30,222.3,222.6,221.7,221.7,29296
2018-01-01 15:00:00+05:30,221.7,221.7,220.25,220.25,55094
2018-01-01 15:15:00+05:30,220.2,220.45,219.45,219.85,82742
2018-01-01 15:30:00+05:30,219.7,220.1,219.05,219.3,75174
2018-01-02 09:30:00+05:30,221.0,221.3,218.0,219.55,53050
2018-01-02 09:45:00+05:30,219.5,219.9,217.1,217.5,54119
2018-01-02 10:00:00+05:30,217.5,217.5,216.25,216.45,40715
2018-01-02 10:15:00+05:30,216.45,216.5,214.35,215.55,122584
2018-01-02 10:30:00+05:30,215.6,217.2,215.35,216.55,66945
2018-01-02 10:45:00+05:30,216.55,217.55,216.55,217.15,44513
2018-01-02 11:00:00+05:30,217.15,217.5,217.0,217.5,34186
2018-01-02 11:15:00+05:30,217.4,218.6,217.0,218.4,48336
2018-01-02 11:30:00+05:30,218.4,218.75,218.15,218.65,23443
2018-01-02 11:45:00+05:30,218.65,219.6,218.6,219.6,34975
2018-01-02 12:00:00+05:30,219.6,220.8,219.15,220.4,125742
2018-01-02 12:15:00+05:30,220.4,221.35,220.3,221.0,77897
2018-01-02 12:30:00+05:30,221.0,221.35,220.7,221.2,30951
2018-01-02 12:45:00+05:30,221.2,222.75,221.2,221.85,99137
2018-01-02 13:00:00+05:30,221.85,221.85,220.7,221.1,33087
2018-01-02 13:15:00+05:30,221.35,222.2,221.0,222.2,35050
2018-01-02 13:30:00+05:30,222.2,222.35,221.8,222.3,34299
2018-01-02 13:45:00+05:30,222.3,222.7,221.6,222.2,87034
2018-01-02 14:00:00+05:30,222.2,223.5,221.25,221.3,220285
2018-01-02 14:15:00+05:30,221.3,222.0,220.55,221.4,86545
2018-01-02 14:30:00+05:30,221.4,221.55,220.3,220.95,69935
2018-01-02 14:45:00+05:30,221.0,221.0,219.4,220.3,68632
2018-01-02 15:00:00+05:30,220.3,221.2,219.9,221.15,47404
2018-01-02 15:15:00+05:30,221.05,221.9,220.65,221.5,73447
2018-01-02 15:30:00+05:30,221.4,222.8,220.75,220.75,158410
2018-01-03 09:30:00+05:30,221.8,223.15,220.65,222.3,78328
2018-01-03 09:45:00+05:30,222.3,224.0,221.85,224.0,55176
2018-01-03 10:00:00+05:30,224.0,225.75,223.8,224.9,319015
2018-01-03 10:15:00+05:30,224.95,225.0,223.6,223.9,113780
2018-01-03 10:30:00+05:30,223.9,224.85,223.8,224.6,69142
2018-01-03 10:45:00+05:30,224.6,224.75,223.8,224.0,103363
2018-01-03 11:00:00+05:30,224.0,224.7,223.65,223.85,66023
2018-01-03 11:15:00+05:30,223.85,223.95,223.15,223.5,52870
2018-01-03 11:30:00+05:30,223.5,224.4,223.3,224.3,109240
2018-01-03 11:45:00+05:30,224.25,224.75,224.25,224.5,76738
