datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,41.1,41.35,40.95,41.0,208118
2018-01-01 09:45:00+05:30,41.0,41.25,40.9,41.25,97770
2018-01-01 10:00:00+05:30,41.2,41.3,41.15,41.15,83465
2018-01-01 10:15:00+05:30,41.15,41.25,40.95,41.25,103334
2018-01-01 10:30:00+05:30,41.25,41.5,41.2,41.45,170150
2018-01-01 10:45:00+05:30,41.45,41.5,41.25,41.3,86219
2018-01-01 11:00:00+05:30,41.3,41.6,41.3,41.45,116651
2018-01-01 11:15:00+05:30,41.45,41.55,41.1,41.15,177703
2018-01-01 11:30:00+05:30,41.15,41.25,41.05,41.1,150745
2018-01-01 11:45:00+05:30,41.1,41.3,41.0,41.2,115688
2018-01-01 12:00:00+05:30,41.2,41.3,41.1,41.2,43015
2018-01-01 12:15:00+05:30,41.1,41.2,41.1,41.2,38480
2018-01-01 12:30:00+05:30,41.25,41.35,41.2,41.25,15287
2018-01-01 12:45:00+05:30,41.25,41.3,41.2,41.3,35854
2018-01-01 13:00:00+05:30,41.3,41.3,41.15,41.2,31570
2018-01-01 13:15:00+05:30,41.2,41.6,41.15,41.6,102334
2018-01-01 13:30:00+05:30,41.6,42.1,41.4,41.45,762947
2018-01-01 13:45:00+05:30,41.45,41.5,41.35,41.45,110001
2018-01-01 14:00:00+05:30,41.45,41.6,41.45,41.6,81142
2018-01-01 14:15:00+05:30,41.6,41.7,41.4,41.65,78435
2018-01-01 14:30:00+05:30,41.65,41.8,41.5,41.65,88972
2018-01-01 14:45:00+05:30,41.65,41.65,41.45,41.55,59842
2018-01-01 15:00:00+05:30,41.55,41.6,41.1,41.15,252354
2018-01-01 15:15:00+05:30,41.15,41.2,40.7,41.0,416952
2018-01-01 15:30:00+05:30,41.0,41.1,40.8,41.0,319274
2018-01-02 09:30:00+05:30,41.1,41.4,41.0,41.15,261264
2018-01-02 09:45:00+05:30,41.15,41.3,40.65,40.7,302528
2018-01-02 10:00:00+05:30,40.65,40.9,40.5,40.8,185349
2018-01-02 10:15:00+05:30,40.8,40.8,40.2,40.35,223165
2018-01-02 10:30:00+05:30,40.35,40.6,40.35,40.6,87564
2018-01-02 10:45:00+05:30,40.6,40.8,40.6,40.75,109645
2018-01-02 11:00:00+05:30,40.75,40.75,40.7,40.7,77231
2018-01-02 11:15:00+05:30,40.7,40.8,40.7,40.75,32237
2018-01-02 11:30:00+05:30,40.75,40.75,40.7,40.7,20228
2018-01-02 11:45:00+05:30,40.7,40.8,40.7,40.8,38145
2018-01-02 12:00:00+05:30,40.8,40.8,40.65,40.7,78743
2018-01-02 12:15:00+05:30,40.7,40.75,40.1,40.25,207014
2018-01-02 12:30:00+05:30,40.25,40.6,40.15,40.45,99484
2018-01-02 12:45:00+05:30,40.45,40.7,40.45,40.55,123483
2018-01-02 13:00:00+05:30,40.55,40.6,40.45,40.45,38346
2018-01-02 13:15:00+05:30,40.45,40.5,40.45,40.45,29496
2018-01-02 13:30:00+05:30,40.45,40.55,40.4,40.45,73705
2018-01-02 13:45:00+05:30,40.45,40.55,40.4,40.45,29964
2018-01-02 14:00:00+05:30,40.45,40.6,40.4,40.4,78846
2018-01-02 14:15:00+05:30,40.4,40.45,40.15,40.2,94520
2018-01-02 14:30:00+05:30,40.05,40.2,39.9,40.2,240507
2018-01-02 14:45:00+05:30,40.15,40.2,39.95,40.15,69088
2018-01-02 15:00:00+05:30,40.15,40.35,40.1,40.3,66185
2018-01-02 15:15:00+05:30,40.3,40.4,40.2,40.3,153730
2018-01-02 15:30:00+05:30,40.3,40.35,40.1,40.15,299435
2018-01-03 09:30:00+05:30,40.5,40.6,40.25,40.55,203862
2018-01-03 09:45:00+05:30,40.5,40.5,40.25,40.4,103311
2018-01-03 10:00:00+05:30,40.4,40.6,40.4,40.6,116034
2018-01-03 10:15:00+05:30,40.55,40.7,40.5,40.55,79716
2018-01-03 10:30:00+05:30,40.55,40.65,40.45,40.5,85361
2018-01-03 10:45:00+05:30,40.5,40.55,40.45,40.5,105749
2018-01-03 11:00:00+05:30,40.5,40.55,40.4,40.45,53131
2018-01-03 11:15:00+05:30,40.4,40.55,40.35,40.5,57748
2018-01-03 11:30:00+05:30,40.5,40.55,40.45,40.45,84633
2018-01-03 11:45:00+05:30,40.45,40.55,40.4,40.5,39436
2018-01-03 12:00:00+05:30,40.5,40.55,40.45,40.5,51871
2018-01-03 12:15:00+05:30,40.45,40.5,40.45,40.5,14437
2018-01-03 12:30:00+05:30,40.5,40.5,40.4,40.5,49687
2018-01-03 12:45:00+05:30,40.4,40.5,40.4,40.4,50249
2018-01-03 13:00:00+05:30,40.4,40.55,40.35,40.55,62238
2018-01-03 13:15:00+05:30,40.55,40.55,40.25,40.4,45421
2018-01-03 13:30:00+05:30,40.4,40.4,40.3,40.4,39175
2018-01-03 13:45:00+05:30,40.4,40.4,40.3,40.4,10534
2018-01-03 14:00:00+05:30,40.4,40.4,40.3,40.35,12652
