datetime,open,high,low,close,volume
2018-04-02 09:30:00+05:30,733.5,733.5,727.4,727.43,13878
2018-04-02 09:45:00+05:30,727.43,728.9,724.7,726.2,13766
2018-04-02 10:00:00+05:30,726.2,726.93,721.57,722.67,7278
2018-04-02 10:15:00+05:30,722.67,724.0,721.33,723.53,10744
2018-04-02 10:30:00+05:30,723.5,724.97,722.73,723.57,3196
2018-04-02 10:45:00+05:30,723.57,725.4,723.33,724.77,3168
2018-04-02 11:00:00+05:30,724.77,724.77,723.33,723.57,4689
2018-04-02 11:15:00+05:30,723.53,724.4,723.33,724.13,5258
2018-04-02 11:30:00+05:30,724.13,726.17,723.73,725.83,3310
2018-04-02 11:45:00+05:30,725.8,725.83,724.13,724.87,3470
2018-04-02 12:00:00+05:30,724.93,728.37,724.77,726.67,4040
2018-04-02 12:15:00+05:30,726.67,727.33,726.0,726.6,6118
2018-04-02 12:30:00+05:30,726.6,726.7,725.23,725.67,3552
2018-04-02 12:45:00+05:30,725.67,729.27,725.3,728.73,2991
2018-04-02 13:00:00+05:30,728.6,732.07,728.03,731.23,5194
2018-04-02 13:15:00+05:30,731.2,734.4,730.03,733.57,4414
2018-04-02 13:30:00+05:30,733.57,740.7,733.57,737.33,9607
2018-04-02 13:45:00+05:30,737.33,738.33,733.4,736.0,9722
2018-04-02 14:00:00+05:30,736.0,738.17,734.13,738.0,8651
2018-04-02 14:15:00+05:30,737.97,740.43,737.77,739.83,4714
2018-04-02 14:30:00+05:30,739.83,739.83,737.57,737.9,2713
2018-04-02 14:45:00+05:30,737.9,738.63,736.67,737.83,3197
2018-04-02 15:00:00+05:30,737.83,740.0,736.67,740.0,4865
2018-04-02 15:15:00+05:30,740.0,742.0,738.83,740.4,6494
2018-04-02 15:30:00+05:30,740.4,746.63,740.4,743.67,16801
2018-04-03 09:30:00+05:30,745.2,745.83,735.4,742.33,16214
2018-04-03 09:45:00+05:30,742.3,743.03,737.03,738.57,14496
2018-04-03 10:00:00+05:30,738.37,739.33,735.8,736.6,12168
2018-04-03 10:15:00+05:30,736.6,738.23,733.53,735.17,11526
2018-04-03 10:30:00+05:30,735.17,736.37,731.43,732.67,11111
2018-04-03 10:45:00+05:30,732.67,733.37,731.33,732.0,10993
2018-04-03 11:00:00+05:30,732.0,732.1,730.0,730.37,10694
2018-04-03 11:15:00+05:30,730.37,733.3,730.3,732.1,12531
2018-04-03 11:30:00+05:30,732.37,733.3,731.9,732.63,10169
2018-04-03 11:45:00+05:30,732.63,732.63,730.67,731.03,9689
2018-04-03 12:00:00+05:30,731.03,731.47,729.5,730.43,11899
2018-04-03 12:15:00+05:30,730.43,730.43,726.03,726.27,14413
2018-04-03 12:30:00+05:30,726.27,728.0,724.03,727.97,13679
2018-04-03 12:45:00+05:30,727.97,730.4,726.73,729.3,12854
2018-04-03 13:00:00+05:30,729.3,730.03,728.5,728.77,9731
2018-04-03 13:15:00+05:30,728.77,728.8,726.3,727.8,8744
2018-04-03 13:30:00+05:30,727.8,728.17,725.33,725.4,9689
2018-04-03 13:45:00+05:30,725.4,726.57,725.07,726.17,7818
2018-04-03 14:00:00+05:30,726.17,728.73,724.9,728.3,11218
2018-04-03 14:15:00+05:30,728.3,728.3,726.4,726.8,8034
2018-04-03 14:30:00+05:30,726.8,731.87,726.33,731.87,14990
2018-04-03 14:45:00+05:30,731.87,732.27,730.0,731.17,10623
2018-04-03 15:00:00+05:30,731.17,733.33,730.77,732.13,14985
2018-04-03 15:15:00+05:30,732.13,737.73,732.13,737.27,19847
2018-04-03 15:30:00+05:30,737.27,739.33,736.7,736.7,18290
2018-04-04 09:30:00+05:30,737.33,738.9,728.73,730.67,16159
2018-04-04 09:45:00+05:30,730.73,734.97,730.0,733.33,19120
2018-04-04 10:00:00+05:30,733.33,734.37,732.23,734.0,3157
2018-04-04 10:15:00+05:30,734.0,735.0,733.0,733.0,1665
2018-04-04 10:30:00+05:30,733.0,734.5,728.7,731.1,13451
2018-04-04 10:45:00+05:30,731.1,734.1,730.03,730.67,8562
2018-04-04 11:00:00+05:30,730.67,733.8,730.67,732.07,4375
2018-04-04 11:15:00+05:30,732.07,732.5,730.73,731.2,1689
2018-04-04 11:30:00+05:30,731.2,732.67,729.63,732.63,2466
2018-04-04 11:45:00+05:30,732.63,733.33,727.3,727.77,10470
2018-04-04 12:00:00+05:30,727.77,729.67,727.0,728.67,5434
2018-04-04 12:15:00+05:30,728.67,728.97,727.93,728.1,1381
2018-04-04 12:30:00+05:30,728.07,728.73,727.4,728.3,3003
2018-04-04 12:45:00+05:30,728.3,728.83,725.67,725.8,7531
2018-04-04 13:00:00+05:30,725.8,727.77,724.3,726.6,8483
2018-04-04 13:15:00+05:30,726.6,727.37,725.13,726.03,23167
2018-04-04 13:30:00+05:30,726.6,726.8,724.13,725.37,9344
