datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,29.0,29.5,29.0,29.4,925669
2018-01-01 09:45:00+05:30,29.4,30.6,29.15,30.45,1947654
2018-01-01 10:00:00+05:30,30.45,30.5,30.1,30.35,1311995
2018-01-01 10:15:00+05:30,30.3,31.95,30.3,31.5,3555081
2018-01-01 10:30:00+05:30,31.5,33.15,31.4,33.0,6210305
2018-01-01 10:45:00+05:30,33.1,33.45,32.5,32.75,3406591
2018-01-01 11:00:00+05:30,32.7,32.8,32.5,32.6,926490
2018-01-01 11:15:00+05:30,32.6,33.0,32.55,32.95,815527
2018-01-01 11:30:00+05:30,32.95,33.0,32.6,32.7,882114
2018-01-01 11:45:00+05:30,32.7,32.7,32.3,32.45,1025489
2018-01-01 12:00:00+05:30,32.5,32.5,32.4,32.4,425650
2018-01-01 12:15:00+05:30,32.4,32.5,32.25,32.4,413458
2018-01-01 12:30:00+05:30,32.4,32.4,32.25,32.3,250773
2018-01-01 12:45:00+05:30,32.3,32.5,32.25,32.4,402979
2018-01-01 13:00:00+05:30,32.4,32.5,32.35,32.5,260923
2018-01-01 13:15:00+05:30,32.5,32.5,32.4,32.4,217975
2018-01-01 13:30:00+05:30,32.4,32.45,32.15,32.3,358510
2018-01-01 13:45:00+05:30,32.25,32.35,32.15,32.25,267542
2018-01-01 14:00:00+05:30,32.3,32.4,32.2,32.35,236642
2018-01-01 14:15:00+05:30,32.35,33.65,32.35,33.25,4202026
2018-01-01 14:30:00+05:30,33.2,33.95,33.1,33.7,3058339
2018-01-01 14:45:00+05:30,33.7,33.8,33.1,33.35,1271407
2018-01-01 15:00:00+05:30,33.35,33.5,32.25,32.25,1843643
2018-01-01 15:15:00+05:30,32.25,32.45,31.8,32.3,2532806
2018-01-01 15:30:00+05:30,32.25,32.5,32.05,32.25,2169186
2018-01-02 09:30:00+05:30,32.7,33.2,32.35,32.8,3130537
2018-01-02 09:45:00+05:30,32.8,32.9,31.4,31.9,1786509
2018-01-02 10:00:00+05:30,31.9,32.0,31.2,31.65,1178790
2018-01-02 10:15:00+05:30,31.65,31.7,30.6,31.2,1211205
2018-01-02 10:30:00+05:30,31.2,31.65,31.15,31.6,752349
2018-01-02 10:45:00+05:30,31.55,31.7,31.35,31.45,444699
2018-01-02 11:00:00+05:30,31.4,31.5,31.1,31.3,281847
2018-01-02 11:15:00+05:30,31.25,31.6,31.25,31.55,167586
2018-01-02 11:30:00+05:30,31.55,31.55,31.05,31.15,251229
2018-01-02 11:45:00+05:30,31.15,31.25,31.1,31.25,187481
2018-01-02 12:00:00+05:30,31.25,31.5,31.25,31.4,430310
2018-01-02 12:15:00+05:30,31.5,32.35,31.4,32.05,1080053
2018-01-02 12:30:00+05:30,32.05,32.25,31.85,32.0,378090
2018-01-02 12:45:00+05:30,32.05,32.05,31.7,31.75,155120
2018-01-02 13:00:00+05:30,31.75,31.85,31.55,31.8,196265
2018-01-02 13:15:00+05:30,31.8,31.95,31.65,31.85,218365
2018-01-02 13:30:00+05:30,31.85,31.95,31.85,31.85,117969
2018-01-02 13:45:00+05:30,31.85,31.95,31.85,31.95,161266
2018-01-02 14:00:00+05:30,31.95,32.2,31.65,31.65,434470
2018-01-02 14:15:00+05:30,31.65,31.65,31.25,31.45,404061
2018-01-02 14:30:00+05:30,31.45,31.7,31.25,31.35,329272
2018-01-02 14:45:00+05:30,31.35,31.6,31.2,31.55,470387
2018-01-02 15:00:00+05:30,31.5,32.25,31.45,32.1,673971
2018-01-02 15:15:00+05:30,32.1,32.5,32.0,32.15,1404071
2018-01-02 15:30:00+05:30,32.15,32.3,31.8,31.95,1656274
2018-01-03 09:30:00+05:30,32.3,32.6,31.6,31.7,1380458
2018-01-03 09:45:00+05:30,31.7,32.4,31.5,32.3,1030835
2018-01-03 10:00:00+05:30,32.3,32.75,32.15,32.75,1450379
2018-01-03 10:15:00+05:30,32.7,32.85,32.4,32.6,980157
2018-01-03 10:30:00+05:30,32.6,32.6,32.2,32.4,586753
2018-01-03 10:45:00+05:30,32.4,32.5,32.25,32.5,346763
2018-01-03 11:00:00+05:30,32.5,32.65,32.3,32.5,212402
2018-01-03 11:15:00+05:30,32.5,32.5,32.25,32.3,185547
2018-01-03 11:30:00+05:30,32.25,32.5,32.25,32.45,85277
2018-01-03 11:45:00+05:30,32.45,32.55,32.3,32.55,373132
2018-01-03 12:00:00+05:30,32.55,32.55,32.35,32.4,116483
2018-01-03 12:15:00+05:30,32.4,32.5,32.3,32.4,174647
2018-01-03 12:30:00+05:30,32.4,32.45,32.2,32.25,114854
2018-01-03 12:45:00+05:30,32.25,32.3,31.85,31.9,342923
2018-01-03 13:00:00+05:30,31.9,32.2,31.75,32.1,355582
2018-01-03 13:15:00+05:30,32.15,32.35,32.0,32.35,188175
2018-01-03 13:30:00+05:30,32.35,32.4,32.2,32.3,146171
2018-01-03 13:45:00+05:30,32.3,32.3,32.2,32.25,88873
2018-01-03 14:00:00+05:30,32.25,32.3,32.2,32.25,182297
2018-01-03 14:15:00+05:30,32.25,32.3,32.15,32.2,100119
2018-01-03 14:30:00+05:30,32.2,32.5,32.05,32.1,396916
2018-01-03 14:45:00+05:30,32.1,32.15,31.9,32.0,316135
2018-01-03 15:00:00+05:30,32.0,32.45,31.85,32.45,481174
2018-01-03 15:15:00+05:30,32.5,33.7,32.5,33.15,6923751
2018-01-03 15:30:00+05:30,33.15,33.55,33.1,33.4,2409572
2018-01-04 09:30:00+05:30,33.9,34.65,33.5,34.65,4692649
2018-01-04 09:45:00+05:30,34.55,34.9,34.15,34.6,2484446
2018-01-04 10:00:00+05:30,34.55,34.8,34.4,34.55,1092415
2018-01-04 10:15:00+05:30,34.5,34.6,33.8,34.0,1054775
2018-01-04 10:30:00+05:30,34.0,34.15,33.7,33.85,478163
2018-01-04 10:45:00+05:30,33.85,34.25,33.65,34.2,414263
2018-01-04 11:00:00+05:30,34.2,34.35,34.15,34.35,411177
2018-01-04 11:15:00+05:30,34.35,34.4,34.25,34.35,627693
2018-01-04 11:30:00+05:30,34.3,34.4,34.25,34.3,221377
2018-01-04 11:45:00+05:30,34.35,34.45,34.25,34.3,366152
2018-01-04 12:00:00+05:30,34.35,34.4,34.1,34.1,287440
2018-01-04 12:15:00+05:30,34.1,35.15,34.1,34.5,4091190
2018-01-04 12:30:00+05:30,34.45,34.8,34.3,34.6,546614
2018-01-04 12:45:00+05:30,34.6,34.95,34.55,34.75,456884
2018-01-04 13:00:00+05:30,34.75,34.85,34.6,34.75,306191
2018-01-04 13:15:00+05:30,34.75,34.8,34.45,34.55,338483
2018-01-04 13:30:00+05:30,34.5,34.65,34.45,34.45,176215
2018-01-04 13:45:00+05:30,34.45,35.2,34.45,34.9,1369603
2018-01-04 14:00:00+05:30,34.85,34.9,34.5,34.55,580938
2018-01-04 14:15:00+05:30,34.55,34.6,33.75,33.95,1168555
2018-01-04 14:30:00+05:30,33.95,33.95,33.4,33.7,1546999
2018-01-04 14:45:00+05:30,33.7,34.2,33.7,33.9,573968
2018-01-04 15:00:00+05:30,33.9,34.0,33.7,33.85,429351
2018-01-04 15:15:00+05:30,33.85,34.1,33.8,33.95,697256
2018-01-04 15:30:00+05:30,33.95,33.95,33.75,33.85,1515633
2018-01-05 09:30:00+05:30,34.0,34.25,33.8,33.8,1165649
2018-01-05 09:45:00+05:30,33.8,34.35,33.8,34.3,1344080
2018-01-05 10:00:00+05:30,34.2,34.4,33.95,34.15,677748
2018-01-05 10:15:00+05:30,34.1,34.15,33.9,33.9,210738
2018-01-05 10:30:00+05:30,33.95,34.05,33.85,33.95,496967
2018-01-05 10:45:00+05:30,33.95,34.05,33.8,33.95,286168
2018-01-05 11:00:00+05:30,33.95,34.0,33.85,33.95,212113
2018-01-05 11:15:00+05:30,33.95,33.95,33.8,33.85,288593
2018-01-05 11:30:00+05:30,33.85,33.9,33.5,33.5,518249
2018-01-05 11:45:00+05:30,33.5,33.55,32.95,33.0,919713
2018-01-05 12:00:00+05:30,33.0,33.9,32.9,33.65,999005
2018-01-05 12:15:00+05:30,33.65,33.7,33.3,33.45,422448
2018-01-05 12:30:00+05:30,33.45,33.5,32.9,33.05,716069
2018-01-05 12:45:00+05:30,33.05,33.2,33.0,33.2,301097
2018-01-05 13:00:00+05:30,33.2,33.4,33.15,33.25,179918
2018-01-05 13:15:00+05:30,33.25,33.35,33.2,33.2,130889
2018-01-05 13:30:00+05:30,33.2,33.5,33.2,33.4,194523
2018-01-05 13:45:00+05:30,33.4,33.5,33.25,33.3,127243
2018-01-05 14:00:00+05:30,33.3,33.4,33.2,33.3,188031
2018-01-05 14:15:00+05:30,33.3,33.35,33.25,33.25,133638
2018-01-05 14:30:00+05:30,33.3,33.45,33.25,33.4,239740
2018-01-05 14:45:00+05:30,33.4,33.45,33.2,33.2,207350
2018-01-05 15:00:00+05:30,33.25,33.25,33.05,33.05,335934
2018-01-05 15:15:00+05:30,33.05,33.25,33.0,33.1,425663
2018-01-05 15:30:00+05:30,33.1,33.2,33.0,33.05,1120685
2018-01-08 09:30:00+05:30,33.35,33.45,33.1,33.4,837657
2018-01-08 09:45:00+05:30,33.4,33.4,32.8,33.2,740372
2018-01-08 10:00:00+05:30,33.25,33.35,33.2,33.25,311488
2018-01-08 10:15:00+05:30,33.25,33.3,32.7,32.95,641389
2018-01-08 10:30:00+05:30,33.0,33.25,33.0,33.2,228195
2018-01-08 10:45:00+05:30,33.2,33.35,33.1,33.25,332233
2018-01-08 11:00:00+05:30,33.3,33.35,33.05,33.15,148143
2018-01-08 11:15:00+05:30,33.1,33.2,33.05,33.1,143753
2018-01-08 11:30:00+05:30,33.1,33.15,33.0,33.15,127784
2018-01-08 11:45:00+05:30,33.15,33.2,33.05,33.15,134476
2018-01-08 12:00:00+05:30,33.15,33.3,33.1,33.2,164503
2018-01-08 12:15:00+05:30,33.2,33.2,33.05,33.05,124821
2018-01-08 12:30:00+05:30,33.05,33.15,33.0,33.1,182666
2018-01-08 12:45:00+05:30,33.1,34.3,33.1,34.15,3821441
2018-01-08 13:00:00+05:30,34.15,34.2,33.85,34.0,755705
2018-01-08 13:15:00+05:30,34.0,34.0,33.6,33.65,239182
2018-01-08 13:30:00+05:30,33.65,33.8,33.6,33.65,188953
2018-01-08 13:45:00+05:30,33.65,33.75,33.35,33.4,267976
2018-01-08 14:00:00+05:30,33.35,33.6,33.35,33.6,180910
2018-01-08 14:15:00+05:30,33.6,33.8,33.4,33.6,270262
2018-01-08 14:30:00+05:30,33.6,33.65,33.5,33.5,107115
2018-01-08 14:45:00+05:30,33.5,33.7,33.5,33.65,141028
2018-01-08 15:00:00+05:30,33.65,33.65,33.2,33.25,223955
2018-01-08 15:15:00+05:30,33.25,33.35,33.2,33.35,387446
2018-01-08 15:30:00+05:30,33.3,33.4,33.1,33.2,1101556
2018-01-09 09:30:00+05:30,33.4,33.45,32.05,32.75,980113
2018-01-09 09:45:00+05:30,32.8,32.9,32.5,32.75,516134
2018-01-09 10:00:00+05:30,32.75,33.15,32.75,33.05,402297
2018-01-09 10:15:00+05:30,33.05,33.1,32.85,33.05,165903
2018-01-09 10:30:00+05:30,33.05,33.5,33.0,33.3,880069
2018-01-09 10:45:00+05:30,33.3,33.4,33.15,33.3,195024
2018-01-09 11:00:00+05:30,33.3,33.35,33.05,33.15,129398
2018-01-09 11:15:00+05:30,33.15,33.3,33.1,33.25,148338
2018-01-09 11:30:00+05:30,33.25,33.65,33.1,33.3,621757
2018-01-09 11:45:00+05:30,33.3,33.35,33.15,33.15,110010
2018-01-09 12:00:00+05:30,33.15,33.25,33.05,33.05,178068
2018-01-09 12:15:00+05:30,33.05,33.1,32.8,32.8,364084
2018-01-09 12:30:00+05:30,32.8,32.95,32.6,32.6,330328
2018-01-09 12:45:00+05:30,32.6,32.95,32.55,32.9,188469
2018-01-09 13:00:00+05:30,32.9,33.0,32.85,32.85,112390
2018-01-09 13:15:00+05:30,32.85,32.95,32.75,32.85,57176
2018-01-09 13:30:00+05:30,32.85,32.85,32.55,32.55,173523
2018-01-09 13:45:00+05:30,32.55,32.7,32.5,32.6,194111
2018-01-09 14:00:00+05:30,32.6,32.65,32.4,32.45,249736
2018-01-09 14:15:00+05:30,32.45,32.65,32.45,32.6,196105
2018-01-09 14:30:00+05:30,32.6,32.75,32.55,32.7,104368
2018-01-09 14:45:00+05:30,32.7,32.9,32.65,32.8,124429
2018-01-09 15:00:00+05:30,32.8,33.15,32.7,33.15,255563
2018-01-09 15:15:00+05:30,33.15,33.25,32.6,32.6,478761
2018-01-09 15:30:00+05:30,32.6,32.8,32.55,32.6,550361
2018-01-10 09:30:00+05:30,32.6,32.95,32.4,32.95,648794
2018-01-10 09:45:00+05:30,32.9,33.3,32.8,33.15,711992
2018-01-10 10:00:00+05:30,33.2,33.35,33.05,33.2,422235
2018-01-10 10:15:00+05:30,33.2,33.25,33.1,33.1,146983
2018-01-10 10:30:00+05:30,33.1,33.15,32.9,32.95,145626
2018-01-10 10:45:00+05:30,32.95,33.15,32.7,32.95,236628
2018-01-10 11:00:00+05:30,32.95,33.8,32.9,33.7,1456524
2018-01-10 11:15:00+05:30,33.7,34.25,33.4,33.95,2555474
2018-01-10 11:30:00+05:30,34.0,35.2,33.95,34.85,6974890
2018-01-10 11:45:00+05:30,34.8,36.2,34.75,35.8,11166188
2018-01-10 12:00:00+05:30,35.8,35.85,35.15,35.25,3164474
2018-01-10 12:15:00+05:30,35.25,35.3,34.85,35.15,1265113
2018-01-10 12:30:00+05:30,35.15,35.2,34.9,35.1,547862
2018-01-10 12:45:00+05:30,35.1,35.5,35.0,35.45,1202931
2018-01-10 13:00:00+05:30,35.45,35.65,35.25,35.45,639346
2018-01-10 13:15:00+05:30,35.45,35.75,35.35,35.65,744374
2018-01-10 13:30:00+05:30,35.65,35.75,35.4,35.55,687735
2018-01-10 13:45:00+05:30,35.5,35.7,35.35,35.6,514308
2018-01-10 14:00:00+05:30,35.5,35.65,35.25,35.4,464103
2018-01-10 14:15:00+05:30,35.35,35.5,35.25,35.3,284755
2018-01-10 14:30:00+05:30,35.3,35.45,35.15,35.2,423603
2018-01-10 14:45:00+05:30,35.2,35.2,34.6,34.8,1008736
2018-01-10 15:00:00+05:30,34.8,35.1,34.65,34.95,991684
2018-01-10 15:15:00+05:30,34.95,35.15,34.9,35.0,797087
2018-01-10 15:30:00+05:30,35.0,35.4,34.9,35.35,2956247
2018-01-11 09:30:00+05:30,35.35,36.1,35.05,35.85,3087692
2018-01-11 09:45:00+05:30,35.85,35.9,35.2,35.5,1302873
2018-01-11 10:00:00+05:30,35.55,35.7,35.45,35.5,547249
2018-01-11 10:15:00+05:30,35.5,35.75,35.2,35.45,725264
2018-01-11 10:30:00+05:30,35.45,35.45,35.15,35.35,373042
2018-01-11 10:45:00+05:30,35.35,35.65,35.35,35.5,231941
2018-01-11 11:00:00+05:30,35.4,36.45,35.4,36.3,2903571
2018-01-11 11:15:00+05:30,36.3,36.6,36.2,36.25,2512367
2018-01-11 11:30:00+05:30,36.25,36.4,36.1,36.15,380727
2018-01-11 11:45:00+05:30,36.15,36.15,35.75,35.95,619218
2018-01-11 12:00:00+05:30,35.95,36.0,35.75,35.85,453635
2018-01-11 12:15:00+05:30,35.85,36.0,35.8,36.0,258680
2018-01-11 12:30:00+05:30,36.0,36.3,35.95,36.3,495929
2018-01-11 12:45:00+05:30,36.3,36.3,36.1,36.15,328664
2018-01-11 13:00:00+05:30,36.1,36.2,35.75,35.75,369506
2018-01-11 13:15:00+05:30,35.8,35.95,35.75,35.9,228838
2018-01-11 13:30:00+05:30,35.9,35.9,35.65,35.85,275998
2018-01-11 13:45:00+05:30,35.85,35.9,35.6,35.6,344788
2018-01-11 14:00:00+05:30,35.6,35.6,35.2,35.5,707175
2018-01-11 14:15:00+05:30,35.5,35.5,35.25,35.35,257067
2018-01-11 14:30:00+05:30,35.35,35.5,35.3,35.35,189606
2018-01-11 14:45:00+05:30,35.35,35.5,35.15,35.15,300951
2018-01-11 15:00:00+05:30,35.15,35.2,34.6,34.85,1457758
2018-01-11 15:15:00+05:30,34.85,35.05,34.75,35.05,948483
2018-01-11 15:30:00+05:30,35.05,35.25,34.95,35.25,1398106
2018-01-12 09:30:00+05:30,35.35,35.5,35.15,35.4,1111461
2018-01-12 09:45:00+05:30,35.35,35.4,35.15,35.25,370222
2018-01-12 10:00:00+05:30,35.2,35.75,35.2,35.6,727513
2018-01-12 10:15:00+05:30,35.6,35.75,35.3,35.35,480601
2018-01-12 10:30:00+05:30,35.35,35.55,35.3,35.35,151905
2018-01-12 10:45:00+05:30,35.35,35.4,34.75,34.85,753551
2018-01-12 11:00:00+05:30,34.85,35.0,34.6,34.9,519649
2018-01-12 11:15:00+05:30,34.9,35.1,34.85,34.85,144168
2018-01-12 11:30:00+05:30,34.95,34.95,34.8,34.9,141997
2018-01-12 11:45:00+05:30,34.85,35.0,34.85,34.95,112744
2018-01-12 12:00:00+05:30,34.95,35.35,34.85,35.35,529385
2018-01-12 12:15:00+05:30,35.3,35.5,34.85,34.9,384934
2018-01-12 12:30:00+05:30,34.9,34.95,34.6,34.7,365825
2018-01-12 12:45:00+05:30,34.7,34.8,33.5,33.6,1328728
2018-01-12 13:00:00+05:30,33.5,34.3,33.3,34.3,1400264
2018-01-12 13:15:00+05:30,34.25,34.5,33.6,33.75,1000728
2018-01-12 13:30:00+05:30,33.65,34.0,33.65,33.9,319237
2018-01-12 13:45:00+05:30,33.95,34.25,33.7,33.8,454281
2018-01-12 14:00:00+05:30,33.9,34.2,33.75,34.15,252366
2018-01-12 14:15:00+05:30,34.15,34.15,33.9,34.1,163455
2018-01-12 14:30:00+05:30,34.05,34.25,34.0,34.2,374618
2018-01-12 14:45:00+05:30,34.25,34.65,34.1,34.55,899684
2018-01-12 15:00:00+05:30,34.55,34.7,34.25,34.45,268049
2018-01-12 15:15:00+05:30,34.45,34.5,34.35,34.45,346404
2018-01-12 15:30:00+05:30,34.4,34.45,34.2,34.35,893064
2018-01-15 09:30:00+05:30,35.35,36.0,35.35,35.95,4051653
2018-01-15 09:45:00+05:30,35.95,36.0,35.5,35.9,2490526
2018-01-15 10:00:00+05:30,36.0,36.0,35.55,35.7,934507
2018-01-15 10:15:00+05:30,35.7,35.85,35.25,35.35,798785
2018-01-15 10:30:00+05:30,35.35,35.6,35.3,35.4,488349
2018-01-15 10:45:00+05:30,35.4,35.55,35.3,35.5,212420
2018-01-15 11:00:00+05:30,35.45,35.6,35.4,35.5,267931
2018-01-15 11:15:00+05:30,35.4,35.5,35.35,35.45,156738
2018-01-15 11:30:00+05:30,35.45,35.5,35.35,35.35,199375
