datetime,open,high,low,close,volume
2019-07-01 09:30:00+05:30,40.15,40.65,40.1,40.6,70120
2019-07-01 09:45:00+05:30,40.6,40.9,40.2,40.25,94550
2019-07-01 10:00:00+05:30,40.25,40.4,40.25,40.25,8535
2019-07-01 10:15:00+05:30,40.25,40.35,40.2,40.35,13204
2019-07-01 10:30:00+05:30,40.35,40.35,40.15,40.3,7272
2019-07-01 10:45:00+05:30,40.3,40.3,40.2,40.2,3283
2019-07-01 11:00:00+05:30,40.2,40.25,40.2,40.25,11572
2019-07-01 11:15:00+05:30,40.25,40.4,40.2,40.4,29076
2019-07-01 11:30:00+05:30,40.4,40.55,40.4,40.4,18346
2019-07-01 11:45:00+05:30,40.4,40.5,40.4,40.4,8618
2019-07-01 12:00:00+05:30,40.4,40.45,40.35,40.4,1934
2019-07-01 12:15:00+05:30,40.4,40.4,40.2,40.25,12665
2019-07-01 12:30:00+05:30,40.3,40.4,40.25,40.35,2267
2019-07-01 12:45:00+05:30,40.35,40.35,40.25,40.35,5157
2019-07-01 13:00:00+05:30,40.35,40.5,40.35,40.4,9455
2019-07-01 13:15:00+05:30,40.4,40.45,40.1,40.2,28599
2019-07-01 13:30:00+05:30,40.2,40.3,40.1,40.2,6494
2019-07-01 13:45:00+05:30,40.15,40.25,40.1,40.25,1825
2019-07-01 14:00:00+05:30,40.25,40.25,40.15,40.25,2915
2019-07-01 14:15:00+05:30,40.25,40.45,40.15,40.45,14737
2019-07-01 14:30:00+05:30,40.45,40.45,40.15,40.15,13733
2019-07-01 14:45:00+05:30,40.15,40.35,40.15,40.3,7106
2019-07-01 15:00:00+05:30,40.3,40.35,40.2,40.3,7444
2019-07-01 15:15:00+05:30,40.3,40.35,40.3,40.3,13362
2019-07-01 15:30:00+05:30,40.35,40.45,40.2,40.3,35494
2019-07-02 09:30:00+05:30,40.3,40.5,40.1,40.2,22677
2019-07-02 09:45:00+05:30,40.2,40.3,40.1,40.1,16059
2019-07-02 10:00:00+05:30,40.1,40.3,40.05,40.05,12476
2019-07-02 10:15:00+05:30,40.05,40.15,40.0,40.0,36230
2019-07-02 10:30:00+05:30,40.0,40.1,40.0,40.1,14499
2019-07-02 10:45:00+05:30,40.0,40.05,40.0,40.0,11102
2019-07-02 11:00:00+05:30,40.0,40.05,39.85,39.85,10457
2019-07-02 11:15:00+05:30,39.85,39.9,39.65,39.7,23200
2019-07-02 11:30:00+05:30,39.7,39.75,39.6,39.75,21901
2019-07-02 11:45:00+05:30,39.75,39.85,39.7,39.8,10193
2019-07-02 12:00:00+05:30,39.8,39.8,39.65,39.75,4124
2019-07-02 12:15:00+05:30,39.75,40.15,39.75,40.05,28183
2019-07-02 12:30:00+05:30,40.05,40.2,40.0,40.05,3726
2019-07-02 12:45:00+05:30,40.0,40.1,40.0,40.05,808
2019-07-02 13:00:00+05:30,40.05,40.3,40.05,40.25,12034
2019-07-02 13:15:00+05:30,40.25,40.3,40.1,40.15,10332
2019-07-02 13:30:00+05:30,40.15,40.2,40.05,40.15,2124
2019-07-02 13:45:00+05:30,40.05,40.25,40.0,40.25,8482
2019-07-02 14:00:00+05:30,40.25,40.35,40.1,40.1,15339
2019-07-02 14:15:00+05:30,40.1,40.2,40.05,40.05,2247
2019-07-02 14:30:00+05:30,40.05,40.15,40.05,40.1,1420
2019-07-02 14:45:00+05:30,40.1,40.2,40.1,40.1,4458
2019-07-02 15:00:00+05:30,40.1,40.1,40.0,40.0,7807
2019-07-02 15:15:00+05:30,40.0,40.25,40.0,40.2,24148
2019-07-02 15:30:00+05:30,40.2,40.3,40.1,40.2,29697
2019-07-03 09:30:00+05:30,40.2,40.45,40.0,40.35,38632
2019-07-03 09:45:00+05:30,40.35,40.4,40.2,40.3,11789
2019-07-03 10:00:00+05:30,40.3,40.35,40.15,40.2,17256
2019-07-03 10:15:00+05:30,40.2,40.25,39.9,40.15,40319
2019-07-03 10:30:00+05:30,40.15,40.35,40.15,40.15,13933
2019-07-03 10:45:00+05:30,40.1,40.25,40.1,40.1,6959
2019-07-03 11:00:00+05:30,40.1,40.3,39.9,40.0,18884
2019-07-03 11:15:00+05:30,40.0,40.2,39.95,40.2,12072
2019-07-03 11:30:00+05:30,40.2,40.7,40.2,40.25,59585
2019-07-03 11:45:00+05:30,40.25,40.3,40.25,40.25,10470
2019-07-03 12:00:00+05:30,40.25,40.25,40.1,40.25,9892
2019-07-03 12:15:00+05:30,40.25,40.25,40.15,40.2,12501
2019-07-03 12:30:00+05:30,40.2,40.25,40.15,40.25,4552
2019-07-03 12:45:00+05:30,40.25,40.3,40.2,40.3,8219
2019-07-03 13:00:00+05:30,40.3,40.3,40.15,40.25,3048
2019-07-03 13:15:00+05:30,40.25,40.35,40.25,40.35,6721
2019-07-03 13:30:00+05:30,40.35,40.45,40.3,40.35,14289
2019-07-03 13:45:00+05:30,40.3,40.4,40.2,40.3,10326
2019-07-03 14:00:00+05:30,40.3,40.4,40.3,40.3,1912
2019-07-03 14:15:00+05:30,40.3,40.65,40.3,40.4,29817
2019-07-03 14:30:00+05:30,40.4,40.65,40.2,40.6,43649
2019-07-03 14:45:00+05:30,40.6,40.65,40.45,40.45,7810
2019-07-03 15:00:00+05:30,40.45,40.5,40.25,40.25,22640
2019-07-03 15:15:00+05:30,40.25,40.6,40.25,40.6,25372
2019-07-03 15:30:00+05:30,40.6,40.65,40.4,40.45,60603
2019-07-04 09:30:00+05:30,40.7,41.0,40.45,40.65,73622
2019-07-04 09:45:00+05:30,40.65,40.7,40.6,40.7,16013
2019-07-04 10:00:00+05:30,40.7,40.7,40.5,40.55,18187
2019-07-04 10:15:00+05:30,40.55,40.6,40.4,40.45,11902
2019-07-04 10:30:00+05:30,40.45,40.55,40.4,40.55,14641
2019-07-04 10:45:00+05:30,40.55,40.6,40.5,40.5,2745
2019-07-04 11:00:00+05:30,40.5,40.5,40.25,40.4,24497
2019-07-04 11:15:00+05:30,40.4,40.5,40.3,40.45,8723
2019-07-04 11:30:00+05:30,40.45,40.5,40.4,40.45,3743
2019-07-04 11:45:00+05:30,40.45,40.5,40.3,40.3,7702
2019-07-04 12:00:00+05:30,40.3,40.5,40.3,40.4,6360
2019-07-04 12:15:00+05:30,40.4,40.5,40.25,40.4,12910
2019-07-04 12:30:00+05:30,40.4,40.45,40.35,40.45,1304
2019-07-04 12:45:00+05:30,40.45,40.45,40.25,40.35,8916
2019-07-04 13:00:00+05:30,40.35,40.5,40.35,40.35,3965
2019-07-04 13:15:00+05:30,40.4,40.45,40.35,40.35,994
2019-07-04 13:30:00+05:30,40.35,40.45,40.35,40.35,3890
2019-07-04 13:45:00+05:30,40.35,40.45,40.35,40.4,1226
2019-07-04 14:00:00+05:30,40.45,40.55,40.45,40.55,7590
2019-07-04 14:15:00+05:30,40.55,40.6,40.4,40.4,8441
2019-07-04 14:30:00+05:30,40.35,40.4,40.2,40.25,16851
2019-07-04 14:45:00+05:30,40.25,40.4,40.25,40.3,10186
2019-07-04 15:00:00+05:30,40.3,40.35,40.1,40.15,20717
2019-07-04 15:15:00+05:30,40.15,40.3,40.15,40.25,12878
2019-07-04 15:30:00+05:30,40.25,40.35,40.05,40.05,73485
2019-07-05 09:30:00+05:30,40.25,40.35,40.05,40.3,31767
2019-07-05 09:45:00+05:30,40.3,40.3,40.1,40.1,19621
2019-07-05 10:00:00+05:30,40.1,40.35,40.05,40.35,14310
2019-07-05 10:15:00+05:30,40.35,40.55,40.3,40.45,17068
2019-07-05 10:30:00+05:30,40.45,40.45,40.15,40.2,15452
2019-07-05 10:45:00+05:30,40.2,40.35,40.2,40.25,5080
2019-07-05 11:00:00+05:30,40.25,40.45,40.2,40.35,10010
2019-07-05 11:15:00+05:30,40.35,40.45,40.35,40.45,8736
2019-07-05 11:30:00+05:30,40.35,40.45,40.3,40.3,7143
2019-07-05 11:45:00+05:30,40.3,40.3,40.05,40.1,10249
2019-07-05 12:00:00+05:30,40.05,40.1,39.85,40.05,19292
2019-07-05 12:15:00+05:30,40.05,40.2,40.05,40.2,7179
2019-07-05 12:30:00+05:30,40.25,40.3,40.15,40.3,6698
2019-07-05 12:45:00+05:30,40.3,40.35,40.05,40.05,21472
2019-07-05 13:00:00+05:30,40.05,40.2,40.05,40.15,4516
2019-07-05 13:15:00+05:30,40.15,40.15,39.8,39.85,23547
2019-07-05 13:30:00+05:30,39.85,39.9,39.75,39.75,12843
2019-07-05 13:45:00+05:30,39.75,39.85,39.7,39.85,8178
2019-07-05 14:00:00+05:30,39.85,39.9,39.75,39.75,6847
2019-07-05 14:15:00+05:30,39.75,39.8,39.55,39.65,21888
2019-07-05 14:30:00+05:30,39.65,39.65,39.5,39.5,24236
2019-07-05 14:45:00+05:30,39.5,39.75,39.5,39.7,8766
2019-07-05 15:00:00+05:30,39.7,39.8,39.45,39.45,24355
2019-07-05 15:15:00+05:30,39.45,39.55,39.35,39.45,26444
2019-07-05 15:30:00+05:30,39.45,39.6,39.4,39.45,41808
2019-07-08 09:30:00+05:30,39.0,39.4,38.65,38.85,27889
2019-07-08 09:45:00+05:30,38.85,39.0,38.75,38.95,16817
2019-07-08 10:00:00+05:30,38.95,39.1,38.9,39.0,11717
2019-07-08 10:15:00+05:30,39.0,39.1,39.0,39.0,10879
2019-07-08 10:30:00+05:30,39.0,39.1,38.9,38.9,6801
2019-07-08 10:45:00+05:30,38.9,39.0,38.7,38.75,16467
2019-07-08 11:00:00+05:30,38.7,38.75,38.65,38.75,7886
2019-07-08 11:15:00+05:30,38.65,38.75,38.4,38.55,19885
2019-07-08 11:30:00+05:30,38.55,38.7,38.35,38.4,15992
2019-07-08 11:45:00+05:30,38.4,38.5,38.35,38.45,6235
2019-07-08 12:00:00+05:30,38.45,38.8,38.4,38.75,32167
2019-07-08 12:15:00+05:30,38.75,38.75,38.65,38.75,4900
2019-07-08 12:30:00+05:30,38.65,38.75,38.6,38.65,6242
2019-07-08 12:45:00+05:30,38.65,38.75,38.6,38.65,4033
2019-07-08 13:00:00+05:30,38.65,38.65,38.55,38.65,3262
2019-07-08 13:15:00+05:30,38.65,38.8,38.6,38.65,12188
2019-07-08 13:30:00+05:30,38.6,38.8,38.55,38.7,3447
2019-07-08 13:45:00+05:30,38.7,38.7,38.45,38.55,4920
2019-07-08 14:00:00+05:30,38.55,38.55,38.45,38.55,3664
2019-07-08 14:15:00+05:30,38.5,38.8,38.45,38.5,7625
2019-07-08 14:30:00+05:30,38.5,38.65,38.45,38.6,15785
2019-07-08 14:45:00+05:30,38.6,38.6,38.4,38.4,17900
2019-07-08 15:00:00+05:30,38.4,38.6,38.4,38.55,5352
2019-07-08 15:15:00+05:30,38.55,38.65,38.45,38.65,8958
2019-07-08 15:30:00+05:30,38.6,38.95,38.45,38.55,47287
2019-07-09 09:30:00+05:30,38.35,38.6,38.1,38.3,33141
2019-07-09 09:45:00+05:30,38.35,38.65,38.3,38.6,14438
2019-07-09 10:00:00+05:30,38.6,38.65,38.3,38.3,10913
2019-07-09 10:15:00+05:30,38.3,38.3,38.15,38.2,18064
2019-07-09 10:30:00+05:30,38.2,38.25,38.15,38.2,13335
2019-07-09 10:45:00+05:30,38.2,38.3,38.15,38.2,9053
2019-07-09 11:00:00+05:30,38.2,38.4,38.2,38.35,2951
2019-07-09 11:15:00+05:30,38.35,38.5,38.35,38.4,12949
2019-07-09 11:30:00+05:30,38.4,38.45,38.0,38.2,34592
2019-07-09 11:45:00+05:30,38.2,38.5,38.2,38.45,15614
2019-07-09 12:00:00+05:30,38.35,38.45,38.3,38.45,6244
2019-07-09 12:15:00+05:30,38.45,38.5,38.35,38.4,7792
2019-07-09 12:30:00+05:30,38.4,38.4,38.3,38.3,4419
2019-07-09 12:45:00+05:30,38.3,38.4,38.3,38.3,291
2019-07-09 13:00:00+05:30,38.3,38.35,38.3,38.35,2700
2019-07-09 13:15:00+05:30,38.35,38.4,38.25,38.35,4351
2019-07-09 13:30:00+05:30,38.35,38.4,38.3,38.4,5487
2019-07-09 13:45:00+05:30,38.25,38.4,38.25,38.35,4822
2019-07-09 14:00:00+05:30,38.25,38.35,38.25,38.3,4221
2019-07-09 14:15:00+05:30,38.3,38.4,38.3,38.4,5374
2019-07-09 14:30:00+05:30,38.4,38.4,38.2,38.35,8129
2019-07-09 14:45:00+05:30,38.35,38.4,38.05,38.1,27686
2019-07-09 15:00:00+05:30,38.1,38.4,38.05,38.4,84342
2019-07-09 15:15:00+05:30,38.4,38.4,38.3,38.35,29344
2019-07-09 15:30:00+05:30,38.35,38.4,38.25,38.4,45632
2019-07-10 09:30:00+05:30,38.4,38.4,38.15,38.35,28373
2019-07-10 09:45:00+05:30,38.3,38.35,38.15,38.35,16094
2019-07-10 10:00:00+05:30,38.35,38.35,38.25,38.25,11862
2019-07-10 10:15:00+05:30,38.25,38.3,37.85,37.85,26900
2019-07-10 10:30:00+05:30,37.85,37.95,37.85,37.95,9902
2019-07-10 10:45:00+05:30,37.9,37.95,37.7,37.9,23522
2019-07-10 11:00:00+05:30,37.9,37.9,37.75,37.75,8801
2019-07-10 11:15:00+05:30,37.75,37.85,37.75,37.8,7995
2019-07-10 11:30:00+05:30,37.8,37.9,37.8,37.85,4842
2019-07-10 11:45:00+05:30,37.85,37.9,37.8,37.8,5660
2019-07-10 12:00:00+05:30,37.8,37.9,37.75,37.8,5268
2019-07-10 12:15:00+05:30,37.8,37.85,37.75,37.8,6569
2019-07-10 12:30:00+05:30,37.8,37.85,37.8,37.85,4330
2019-07-10 12:45:00+05:30,37.85,37.9,37.75,37.8,7382
2019-07-10 13:00:00+05:30,37.8,37.8,37.7,37.8,3946
2019-07-10 13:15:00+05:30,37.8,37.85,37.7,37.85,6519
2019-07-10 13:30:00+05:30,37.85,37.9,37.8,37.85,2468
2019-07-10 13:45:00+05:30,37.85,37.9,37.8,37.8,4559
2019-07-10 14:00:00+05:30,37.8,37.9,37.75,37.85,6641
2019-07-10 14:15:00+05:30,37.85,37.9,37.8,37.8,4728
2019-07-10 14:30:00+05:30,37.85,37.85,37.75,37.8,4854
2019-07-10 14:45:00+05:30,37.8,37.85,37.75,37.8,2823
2019-07-10 15:00:00+05:30,37.8,37.85,37.75,37.85,4148
2019-07-10 15:15:00+05:30,37.85,37.85,37.7,37.8,19325
2019-07-10 15:30:00+05:30,37.8,37.9,37.75,37.8,36177
2019-07-11 09:30:00+05:30,38.1,38.3,38.05,38.15,29879
2019-07-11 09:45:00+05:30,38.15,38.15,38.05,38.1,11887
2019-07-11 10:00:00+05:30,38.1,38.45,38.1,38.3,19331
2019-07-11 10:15:00+05:30,38.3,38.35,38.3,38.35,10663
2019-07-11 10:30:00+05:30,38.35,38.4,38.25,38.25,3787
2019-07-11 10:45:00+05:30,38.25,38.4,38.25,38.3,13093
2019-07-11 11:00:00+05:30,38.3,38.35,38.25,38.3,5001
2019-07-11 11:15:00+05:30,38.25,38.3,38.1,38.1,13949
2019-07-11 11:30:00+05:30,38.1,38.2,38.1,38.1,2347
2019-07-11 11:45:00+05:30,38.1,38.2,38.1,38.1,3957
2019-07-11 12:00:00+05:30,38.1,38.15,38.1,38.15,1139
2019-07-11 12:15:00+05:30,38.1,38.2,38.1,38.2,4701
2019-07-11 12:30:00+05:30,38.2,38.2,38.1,38.15,3420
2019-07-11 12:45:00+05:30,38.15,38.2,38.05,38.05,10270
2019-07-11 13:00:00+05:30,38.05,38.1,38.0,38.0,3699
2019-07-11 13:15:00+05:30,38.0,38.1,38.0,38.1,6616
2019-07-11 13:30:00+05:30,38.1,38.1,37.9,37.95,12525
2019-07-11 13:45:00+05:30,37.95,38.0,37.85,37.9,9124
2019-07-11 14:00:00+05:30,37.9,38.0,37.85,38.0,11242
2019-07-11 14:15:00+05:30,38.0,38.0,37.9,37.9,2111
2019-07-11 14:30:00+05:30,37.95,38.15,37.85,38.0,53037
2019-07-11 14:45:00+05:30,38.0,38.15,37.95,38.15,26105
2019-07-11 15:00:00+05:30,38.15,38.15,38.05,38.05,5926
2019-07-11 15:15:00+05:30,38.05,38.2,38.0,38.2,16118
2019-07-11 15:30:00+05:30,38.2,38.25,38.0,38.2,51408
2019-07-12 09:30:00+05:30,38.4,38.4,38.15,38.25,18899
2019-07-12 09:45:00+05:30,38.25,38.25,38.0,38.05,23548
2019-07-12 10:00:00+05:30,38.05,38.2,38.05,38.1,11152
2019-07-12 10:15:00+05:30,38.15,38.15,37.8,37.95,18480
2019-07-12 10:30:00+05:30,37.95,38.0,37.8,37.95,14525
2019-07-12 10:45:00+05:30,37.95,37.95,37.9,37.9,3386
2019-07-12 11:00:00+05:30,37.9,38.0,37.85,37.95,9126
2019-07-12 11:15:00+05:30,38.0,38.05,37.85,38.05,11635
2019-07-12 11:30:00+05:30,38.05,38.25,38.0,38.25,27879
2019-07-12 11:45:00+05:30,38.25,38.3,38.15,38.2,11926
2019-07-12 12:00:00+05:30,38.2,38.2,38.0,38.05,18129
2019-07-12 12:15:00+05:30,38.05,38.15,38.05,38.15,1083
2019-07-12 12:30:00+05:30,38.15,38.2,38.15,38.15,3046
2019-07-12 12:45:00+05:30,38.15,38.25,38.15,38.2,5374
2019-07-12 13:00:00+05:30,38.2,38.25,38.2,38.25,2867
2019-07-12 13:15:00+05:30,38.25,38.3,38.2,38.25,5005
2019-07-12 13:30:00+05:30,38.3,38.3,38.25,38.3,7458
2019-07-12 13:45:00+05:30,38.3,38.3,38.15,38.15,7945
2019-07-12 14:00:00+05:30,38.15,38.3,38.15,38.15,7319
2019-07-12 14:15:00+05:30,38.15,38.25,38.05,38.15,23269
2019-07-12 14:30:00+05:30,38.15,38.15,38.05,38.1,6589
2019-07-12 14:45:00+05:30,38.1,38.15,38.05,38.1,8679
2019-07-12 15:00:00+05:30,38.1,38.15,37.95,38.05,15787
2019-07-12 15:15:00+05:30,38.05,38.05,37.95,38.0,12154
2019-07-12 15:30:00+05:30,38.05,38.05,37.95,38.0,31119
2019-07-15 09:30:00+05:30,38.2,38.4,38.05,38.3,24844
2019-07-15 09:45:00+05:30,38.25,38.25,38.05,38.15,31568
2019-07-15 10:00:00+05:30,38.15,38.25,38.15,38.15,2862
2019-07-15 10:15:00+05:30,38.15,38.2,38.0,38.0,9671
2019-07-15 10:30:00+05:30,38.0,38.1,37.9,38.1,12622
2019-07-15 10:45:00+05:30,38.1,38.1,37.95,37.95,2984
2019-07-15 11:00:00+05:30,37.95,38.0,37.9,38.0,23197
2019-07-15 11:15:00+05:30,38.0,38.0,37.75,37.8,11566
2019-07-15 11:30:00+05:30,37.8,37.9,37.8,37.8,6729
2019-07-15 11:45:00+05:30,37.8,37.9,37.75,37.75,1803
2019-07-15 12:00:00+05:30,37.8,37.8,37.75,37.75,5145
2019-07-15 12:15:00+05:30,37.75,37.8,37.75,37.8,4116
2019-07-15 12:30:00+05:30,37.8,37.85,37.6,37.65,10110
2019-07-15 12:45:00+05:30,37.7,37.8,37.65,37.75,10281
2019-07-15 13:00:00+05:30,37.75,37.8,37.65,37.7,3796
2019-07-15 13:15:00+05:30,37.7,37.85,37.7,37.85,7664
2019-07-15 13:30:00+05:30,37.85,37.85,37.65,37.8,6430
2019-07-15 13:45:00+05:30,37.8,37.8,37.65,37.7,2911
2019-07-15 14:00:00+05:30,37.7,37.7,37.6,37.65,6767
2019-07-15 14:15:00+05:30,37.65,37.75,37.6,37.7,10832
2019-07-15 14:30:00+05:30,37.7,37.8,37.65,37.8,5993
2019-07-15 14:45:00+05:30,37.8,37.8,37.6,37.7,14779
2019-07-15 15:00:00+05:30,37.7,37.7,37.55,37.65,14792
2019-07-15 15:15:00+05:30,37.65,37.7,37.6,37.6,17924
2019-07-15 15:30:00+05:30,37.6,37.95,37.6,37.8,34354
2019-07-16 09:30:00+05:30,37.9,38.0,37.65,38.0,26192
2019-07-16 09:45:00+05:30,38.0,38.0,37.75,37.85,11403
2019-07-16 10:00:00+05:30,37.85,37.95,37.8,37.85,4583
2019-07-16 10:15:00+05:30,37.85,37.9,37.8,37.8,4539
2019-07-16 10:30:00+05:30,37.8,37.85,37.7,37.75,14022
2019-07-16 10:45:00+05:30,37.75,37.75,37.7,37.75,4287
2019-07-16 11:00:00+05:30,37.75,37.75,37.7,37.75,757
2019-07-16 11:15:00+05:30,37.75,37.75,37.7,37.7,3704
2019-07-16 11:30:00+05:30,37.7,37.75,37.5,37.6,21069
2019-07-16 11:45:00+05:30,37.6,37.65,37.55,37.6,4993
2019-07-16 12:00:00+05:30,37.6,37.7,37.55,37.65,7545
2019-07-16 12:15:00+05:30,37.65,37.65,37.55,37.65,2933
2019-07-16 12:30:00+05:30,37.65,37.7,37.6,37.65,4122
2019-07-16 12:45:00+05:30,37.65,37.7,37.55,37.7,4367
2019-07-16 13:00:00+05:30,37.7,37.8,37.65,37.7,5064
2019-07-16 13:15:00+05:30,37.65,37.75,37.65,37.75,4853
2019-07-16 13:30:00+05:30,37.75,37.8,37.65,37.65,7448
2019-07-16 13:45:00+05:30,37.65,37.85,37.65,37.7,8933
2019-07-16 14:00:00+05:30,37.7,37.8,37.7,37.8,6220
2019-07-16 14:15:00+05:30,37.8,37.8,37.65,37.8,3347
2019-07-16 14:30:00+05:30,37.8,37.8,37.55,37.6,24203
2019-07-16 14:45:00+05:30,37.6,37.6,37.5,37.5,13613
2019-07-16 15:00:00+05:30,37.55,37.55,37.5,37.5,11595
2019-07-16 15:15:00+05:30,37.5,37.55,37.5,37.55,24592
2019-07-16 15:30:00+05:30,37.55,37.6,37.5,37.5,43168
2019-07-17 09:30:00+05:30,37.8,37.8,37.6,37.7,28097
2019-07-17 09:45:00+05:30,37.7,37.7,37.6,37.65,6837
2019-07-17 10:00:00+05:30,37.7,37.9,37.65,37.75,35385
2019-07-17 10:15:00+05:30,37.8,37.8,37.7,37.75,10023
2019-07-17 10:30:00+05:30,37.8,37.8,37.65,37.8,10981
2019-07-17 10:45:00+05:30,37.8,37.8,37.65,37.7,13359
2019-07-17 11:00:00+05:30,37.7,37.8,37.7,37.75,5728
2019-07-17 11:15:00+05:30,37.75,37.8,37.75,37.75,4548
2019-07-17 11:30:00+05:30,37.7,37.75,37.7,37.7,2353
2019-07-17 11:45:00+05:30,37.75,37.75,37.7,37.7,6062
