datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,64.9,65.05,63.85,63.95,1718882
2018-01-01 09:45:00+05:30,63.9,64.1,63.55,64.0,942086
2018-01-01 10:00:00+05:30,64.0,64.15,63.85,64.1,427499
2018-01-01 10:15:00+05:30,64.1,64.75,64.05,64.55,893524
2018-01-01 10:30:00+05:30,64.55,64.6,64.4,64.45,300166
2018-01-01 10:45:00+05:30,64.45,64.55,64.3,64.4,255042
2018-01-01 11:00:00+05:30,64.4,64.55,64.4,64.45,185117
2018-01-01 11:15:00+05:30,64.45,64.85,64.45,64.7,470447
2018-01-01 11:30:00+05:30,64.65,64.9,64.55,64.7,646817
2018-01-01 11:45:00+05:30,64.7,65.3,64.6,64.75,2103322
2018-01-01 12:00:00+05:30,64.75,64.9,64.35,64.5,603486
2018-01-01 12:15:00+05:30,64.5,64.7,64.4,64.55,300382
2018-01-01 12:30:00+05:30,64.55,64.6,64.45,64.45,139158
2018-01-01 12:45:00+05:30,64.45,64.75,64.45,64.7,192706
2018-01-01 13:00:00+05:30,64.7,64.7,63.75,63.9,1151785
2018-01-01 13:15:00+05:30,63.9,64.0,63.85,64.0,438225
2018-01-01 13:30:00+05:30,64.0,64.0,63.75,63.9,339308
2018-01-01 13:45:00+05:30,63.9,64.5,63.85,64.2,654228
2018-01-01 14:00:00+05:30,64.2,64.3,63.95,63.95,458995
2018-01-01 14:15:00+05:30,63.95,64.05,63.85,63.9,590790
2018-01-01 14:30:00+05:30,63.9,64.15,63.75,64.1,363451
2018-01-01 14:45:00+05:30,64.1,64.15,63.9,64.0,195622
2018-01-01 15:00:00+05:30,64.0,64.0,63.0,63.15,1525690
2018-01-01 15:15:00+05:30,63.15,63.35,62.85,63.3,981578
2018-01-01 15:30:00+05:30,63.25,63.55,63.0,63.3,1428467
2018-01-02 09:30:00+05:30,64.25,64.0,61.9,62.65,3661768
2018-01-02 09:45:00+05:30,62.6,62.7,61.35,61.85,1978874
2018-01-02 10:00:00+05:30,61.85,62.1,61.4,61.9,1356684
2018-01-02 10:15:00+05:30,61.9,61.95,61.4,61.75,838910
2018-01-02 10:30:00+05:30,61.8,62.1,61.65,62.0,916710
2018-01-02 10:45:00+05:30,62.0,62.05,61.75,61.8,644975
2018-01-02 11:00:00+05:30,61.8,61.95,61.65,61.8,705423
2018-01-02 11:15:00+05:30,61.8,61.95,61.7,61.9,367615
2018-01-02 11:30:00+05:30,61.9,61.9,61.45,61.65,830586
2018-01-02 11:45:00+05:30,61.65,61.75,61.45,61.7,911007
2018-01-02 12:00:00+05:30,61.7,61.75,60.95,61.35,1560303
2018-01-02 12:15:00+05:30,61.35,61.5,61.3,61.35,466907
2018-01-02 12:30:00+05:30,61.35,61.5,61.2,61.45,311883
2018-01-02 12:45:00+05:30,61.45,61.55,61.3,61.35,320122
2018-01-02 13:00:00+05:30,61.35,61.4,61.2,61.25,322627
2018-01-02 13:15:00+05:30,61.25,61.5,61.15,61.35,747755
2018-01-02 13:30:00+05:30,61.35,61.55,61.3,61.4,633340
2018-01-02 13:45:00+05:30,61.4,61.5,61.25,61.35,356151
2018-01-02 14:00:00+05:30,61.3,61.35,60.55,60.6,1945969
2018-01-02 14:15:00+05:30,60.6,60.65,60.25,60.25,3210760
2018-01-02 14:30:00+05:30,60.2,60.65,60.05,60.35,1582696
2018-01-02 14:45:00+05:30,60.35,60.55,60.2,60.55,794544
2018-01-02 15:00:00+05:30,60.55,60.95,60.5,60.65,971096
2018-01-02 15:15:00+05:30,60.65,61.0,60.65,60.9,1695888
2018-01-02 15:30:00+05:30,60.95,60.95,60.75,60.95,1803309
2018-01-03 09:30:00+05:30,61.0,61.6,61.1,61.55,1367422
2018-01-03 09:45:00+05:30,61.55,62.4,61.35,61.7,4024115
2018-01-03 10:00:00+05:30,61.7,61.8,61.55,61.8,627565
2018-01-03 10:15:00+05:30,61.8,61.85,61.5,61.7,515050
2018-01-03 10:30:00+05:30,61.75,61.85,61.65,61.7,422503
2018-01-03 10:45:00+05:30,61.7,61.85,61.45,61.7,547753
2018-01-03 11:00:00+05:30,61.75,61.85,61.65,61.7,448081
2018-01-03 11:15:00+05:30,61.7,61.75,61.55,61.55,333159
2018-01-03 11:30:00+05:30,61.55,61.75,61.55,61.7,234067
2018-01-03 11:45:00+05:30,61.75,61.8,61.55,61.55,695531
2018-01-03 12:00:00+05:30,61.65,61.75,61.55,61.7,166298
2018-01-03 12:15:00+05:30,61.75,61.75,61.65,61.7,144987
2018-01-03 12:30:00+05:30,61.7,61.95,61.7,61.95,343059
