datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,54.4,54.55,54.3,54.4,228809
2018-01-01 09:45:00+05:30,54.4,55.2,54.35,54.9,545787
2018-01-01 10:00:00+05:30,54.85,55.25,54.85,55.1,263281
2018-01-01 10:15:00+05:30,55.1,55.2,55.0,55.1,141956
2018-01-01 10:30:00+05:30,55.05,55.15,55.0,55.0,103295
2018-01-01 10:45:00+05:30,55.0,55.05,54.9,54.95,92731
2018-01-01 11:00:00+05:30,54.95,55.1,54.9,55.0,119573
2018-01-01 11:15:00+05:30,54.95,55.1,54.95,55.05,88269
2018-01-01 11:30:00+05:30,55.0,55.1,55.0,55.1,43667
2018-01-01 11:45:00+05:30,55.05,55.2,55.0,55.15,102238
2018-01-01 12:00:00+05:30,55.15,55.2,54.95,54.95,214927
2018-01-01 12:15:00+05:30,54.95,55.05,54.9,54.95,69337
2018-01-01 12:30:00+05:30,54.95,55.1,54.95,55.0,72088
2018-01-01 12:45:00+05:30,55.0,55.1,55.0,55.0,61053
2018-01-01 13:00:00+05:30,55.0,55.05,55.0,55.05,48031
2018-01-01 13:15:00+05:30,55.0,55.25,55.0,55.2,181675
2018-01-01 13:30:00+05:30,55.15,55.25,54.95,55.05,95857
2018-01-01 13:45:00+05:30,55.0,55.1,54.95,55.05,140229
2018-01-01 14:00:00+05:30,55.0,55.15,55.0,55.05,82746
2018-01-01 14:15:00+05:30,55.05,55.25,55.0,55.25,133158
2018-01-01 14:30:00+05:30,55.2,55.4,55.2,55.35,228441
2018-01-01 14:45:00+05:30,55.35,55.4,55.0,55.15,355311
2018-01-01 15:00:00+05:30,55.15,55.2,54.85,54.9,402137
2018-01-01 15:15:00+05:30,54.85,54.95,54.7,54.9,299539
2018-01-01 15:30:00+05:30,54.85,55.0,54.8,54.95,357503
2018-01-02 09:30:00+05:30,55.0,55.2,54.7,54.9,400937
2018-01-02 09:45:00+05:30,54.9,54.9,54.55,54.6,150916
2018-01-02 10:00:00+05:30,54.65,54.7,54.4,54.55,239962
2018-01-02 10:15:00+05:30,54.55,54.55,54.1,54.25,419866
2018-01-02 10:30:00+05:30,54.25,54.4,54.15,54.4,355793
2018-01-02 10:45:00+05:30,54.4,54.45,54.2,54.4,449152
2018-01-02 11:00:00+05:30,54.4,54.45,54.3,54.35,60263
2018-01-02 11:15:00+05:30,54.35,54.45,54.3,54.45,90308
2018-01-02 11:30:00+05:30,54.45,54.45,54.25,54.4,99455
2018-01-02 11:45:00+05:30,54.4,54.55,54.35,54.45,73636
2018-01-02 12:00:00+05:30,54.45,54.55,54.4,54.45,48094
2018-01-02 12:15:00+05:30,54.45,54.5,54.4,54.45,56560
2018-01-02 12:30:00+05:30,54.45,54.55,54.4,54.5,60059
2018-01-02 12:45:00+05:30,54.5,54.55,54.4,54.45,82116
2018-01-02 13:00:00+05:30,54.45,54.45,54.3,54.35,39363
2018-01-02 13:15:00+05:30,54.35,54.35,54.25,54.3,57248
2018-01-02 13:30:00+05:30,54.3,54.4,54.3,54.4,54081
2018-01-02 13:45:00+05:30,54.3,54.45,54.3,54.4,116356
2018-01-02 14:00:00+05:30,54.45,54.45,54.25,54.25,51690
2018-01-02 14:15:00+05:30,54.25,54.3,54.15,54.2,205669
2018-01-02 14:30:00+05:30,54.2,54.2,54.05,54.1,117490
2018-01-02 14:45:00+05:30,54.1,54.1,53.85,54.0,311796
2018-01-02 15:00:00+05:30,54.0,54.05,53.75,53.9,610892
2018-01-02 15:15:00+05:30,53.9,54.0,53.8,54.0,415481
2018-01-02 15:30:00+05:30,54.0,54.1,53.95,54.05,330861
2018-01-03 09:30:00+05:30,54.3,54.35,54.0,54.25,202979
2018-01-03 09:45:00+05:30,54.25,54.4,54.2,54.3,131497
2018-01-03 10:00:00+05:30,54.3,54.45,54.2,54.25,430295
2018-01-03 10:15:00+05:30,54.25,54.55,54.25,54.45,248555
2018-01-03 10:30:00+05:30,54.45,54.5,54.35,54.4,95717
2018-01-03 10:45:00+05:30,54.4,54.45,54.3,54.45,104138
2018-01-03 11:00:00+05:30,54.45,54.5,54.3,54.45,158075
2018-01-03 11:15:00+05:30,54.4,54.6,54.4,54.5,90814
2018-01-03 11:30:00+05:30,54.5,54.6,54.45,54.55,69831
2018-01-03 11:45:00+05:30,54.55,54.55,54.45,54.5,39062
2018-01-03 12:00:00+05:30,54.5,54.55,54.45,54.45,48861
2018-01-03 12:15:00+05:30,54.45,54.5,54.4,54.45,39710
2018-01-03 12:30:00+05:30,54.45,54.55,54.4,54.5,52236
2018-01-03 12:45:00+05:30,54.5,54.55,54.35,54.4,98267
2018-01-03 13:00:00+05:30,54.4,54.55,54.4,54.5,112572
2018-01-03 13:15:00+05:30,54.5,54.55,54.45,54.45,45998
2018-01-03 13:30:00+05:30,54.45,54.55,54.45,54.45,49090
2018-01-03 13:45:00+05:30,54.45,54.5,54.3,54.3,115003
2018-01-03 14:00:00+05:30,54.35,54.4,54.3,54.35,85396
2018-01-03 14:15:00+05:30,54.4,54.4,54.25,54.3,131236
2018-01-03 14:30:00+05:30,54.3,54.35,54.1,54.2,130206
2018-01-03 14:45:00+05:30,54.2,54.25,54.1,54.2,73773
2018-01-03 15:00:00+05:30,54.15,54.2,54.1,54.1,105940
2018-01-03 15:15:00+05:30,54.1,54.2,54.1,54.15,130992
2018-01-03 15:30:00+05:30,54.15,54.3,54.1,54.3,282349
2018-01-04 09:30:00+05:30,54.2,54.5,54.0,54.5,341929
2018-01-04 09:45:00+05:30,54.5,54.6,54.4,54.5,328424
2018-01-04 10:00:00+05:30,54.5,54.55,54.4,54.45,94119
2018-01-04 10:15:00+05:30,54.45,54.6,54.45,54.5,93537
2018-01-04 10:30:00+05:30,54.5,54.5,54.4,54.4,63421
2018-01-04 10:45:00+05:30,54.4,54.45,54.35,54.4,58377
2018-01-04 11:00:00+05:30,54.35,54.55,54.35,54.55,83611
2018-01-04 11:15:00+05:30,54.55,54.55,54.45,54.45,109622
2018-01-04 11:30:00+05:30,54.45,54.55,54.45,54.5,59580
2018-01-04 11:45:00+05:30,54.5,54.55,54.45,54.5,84745
2018-01-04 12:00:00+05:30,54.5,54.5,54.35,54.35,112736
2018-01-04 12:15:00+05:30,54.35,54.6,54.35,54.55,152604
2018-01-04 12:30:00+05:30,54.6,54.6,54.45,54.5,186827
2018-01-04 12:45:00+05:30,54.5,54.5,54.4,54.45,133380
2018-01-04 13:00:00+05:30,54.45,54.5,54.4,54.4,100994
2018-01-04 13:15:00+05:30,54.4,54.5,54.4,54.5,44981
2018-01-04 13:30:00+05:30,54.5,54.5,54.35,54.4,81589
2018-01-04 13:45:00+05:30,54.4,54.5,54.4,54.45,73992
2018-01-04 14:00:00+05:30,54.45,54.5,54.4,54.45,92301
