datetime,open,high,low,close,volume
2021-01-01 09:30:00+05:30,110.59,111.46,110.59,111.03,16413
2021-01-01 09:45:00+05:30,110.98,111.32,110.64,110.88,13236
2021-01-01 10:00:00+05:30,110.78,111.22,110.64,110.88,9583
2021-01-01 10:15:00+05:30,110.93,111.12,110.74,110.83,7673
2021-01-01 10:30:00+05:30,110.64,110.83,110.64,110.78,1765
2021-01-01 10:45:00+05:30,110.74,110.78,110.4,110.54,3709
2021-01-01 11:00:00+05:30,110.4,111.12,110.4,110.93,5890
2021-01-01 11:15:00+05:30,110.93,111.08,110.88,110.98,3215
2021-01-01 11:30:00+05:30,111.03,111.08,110.83,110.93,3272
2021-01-01 11:45:00+05:30,110.93,111.08,110.88,110.98,4690
2021-01-01 12:00:00+05:30,110.98,111.03,110.74,110.98,4155
2021-01-01 12:15:00+05:30,110.88,110.98,110.74,110.98,3561
2021-01-01 12:30:00+05:30,110.98,110.98,110.74,110.74,4521
2021-01-01 12:45:00+05:30,110.74,110.98,110.74,110.83,2561
2021-01-01 13:00:00+05:30,110.83,111.17,110.74,111.03,15017
2021-01-01 13:15:00+05:30,111.03,111.42,111.03,111.17,9410
2021-01-01 13:30:00+05:30,111.32,112.82,111.22,112.29,86052
2021-01-01 13:45:00+05:30,112.39,114.72,112.29,113.6,197018
2021-01-01 14:00:00+05:30,113.6,113.6,112.68,112.97,46681
2021-01-01 14:15:00+05:30,112.92,113.36,112.78,113.31,18543
2021-01-01 14:30:00+05:30,113.31,114.62,112.68,114.43,85446
2021-01-01 14:45:00+05:30,114.47,114.72,113.75,113.94,100419
2021-01-01 15:00:00+05:30,113.99,114.47,113.94,114.09,37048
2021-01-01 15:15:00+05:30,113.94,114.33,113.65,113.94,35338
2021-01-01 15:30:00+05:30,114.09,114.13,113.6,113.99,90938
2021-01-04 09:30:00+05:30,114.72,114.81,111.03,112.14,173572
2021-01-04 09:45:00+05:30,112.48,112.92,111.66,112.92,96419
2021-01-04 10:00:00+05:30,112.68,113.26,112.68,113.02,22424
2021-01-04 10:15:00+05:30,113.02,113.07,112.68,112.73,16190
2021-01-04 10:30:00+05:30,112.73,112.87,112.1,112.63,31048
2021-01-04 10:45:00+05:30,112.58,112.63,112.14,112.63,6294
2021-01-04 11:00:00+05:30,112.63,112.63,111.8,111.8,14313
2021-01-04 11:15:00+05:30,111.8,112.53,111.71,112.44,24259
2021-01-04 11:30:00+05:30,112.44,112.48,111.8,112.19,17322
2021-01-04 11:45:00+05:30,112.19,112.39,112.19,112.24,4013
2021-01-04 12:00:00+05:30,112.24,112.29,111.85,111.95,14814
2021-01-04 12:15:00+05:30,111.95,112.19,111.95,112.19,4803
2021-01-04 12:30:00+05:30,112.19,112.63,112.19,112.44,8487
2021-01-04 12:45:00+05:30,112.44,112.58,112.39,112.44,6990
2021-01-04 13:00:00+05:30,112.58,112.58,112.44,112.58,5003
2021-01-04 13:15:00+05:30,112.58,112.58,112.29,112.39,7039
2021-01-04 13:30:00+05:30,112.39,112.48,111.95,112.48,13173
2021-01-04 13:45:00+05:30,112.48,112.58,111.9,112.05,13509
2021-01-04 14:00:00+05:30,112.05,112.53,112.0,112.34,14480
2021-01-04 14:15:00+05:30,112.34,112.53,112.0,112.05,13858
2021-01-04 14:30:00+05:30,112.05,112.19,111.76,111.85,11484
2021-01-04 14:45:00+05:30,111.85,112.19,111.8,112.19,15728
2021-01-04 15:00:00+05:30,112.05,112.19,111.95,112.14,8609
2021-01-04 15:15:00+05:30,112.14,112.19,111.95,112.19,29801
2021-01-04 15:30:00+05:30,112.19,112.53,111.95,112.29,74162
2021-01-05 09:30:00+05:30,112.14,113.11,100.78,110.98,99443
2021-01-05 09:45:00+05:30,111.12,111.12,110.83,111.12,11649
2021-01-05 10:00:00+05:30,111.12,111.22,110.74,110.78,24072
2021-01-05 10:15:00+05:30,111.03,111.03,110.15,110.64,20912
2021-01-05 10:30:00+05:30,110.64,110.64,109.81,110.1,15036
2021-01-05 10:45:00+05:30,110.1,110.4,108.79,110.4,61661
2021-01-05 11:00:00+05:30,110.4,110.49,110.2,110.35,10721
2021-01-05 11:15:00+05:30,110.35,111.12,110.35,110.88,10315
2021-01-05 11:30:00+05:30,110.88,111.9,110.78,111.71,19151
2021-01-05 11:45:00+05:30,111.71,111.71,111.22,111.66,13803
2021-01-05 12:00:00+05:30,111.66,111.66,111.03,111.51,18640
2021-01-05 12:15:00+05:30,111.51,111.51,111.12,111.17,2960
2021-01-05 12:30:00+05:30,111.17,111.61,111.12,111.42,7261
2021-01-05 12:45:00+05:30,111.42,111.66,111.22,111.27,5446
2021-01-05 13:00:00+05:30,111.27,111.56,111.17,111.46,10142
2021-01-05 13:15:00+05:30,111.46,111.56,110.83,111.17,12312
2021-01-05 13:30:00+05:30,111.17,111.32,110.74,111.27,9272
2021-01-05 13:45:00+05:30,111.27,111.46,111.27,111.46,4521
2021-01-05 14:00:00+05:30,111.46,111.46,110.83,111.03,12039
2021-01-05 14:15:00+05:30,111.03,111.12,110.54,110.64,8488
2021-01-05 14:30:00+05:30,110.64,111.08,110.54,110.98,5126
2021-01-05 14:45:00+05:30,110.98,111.66,110.88,111.27,32033
2021-01-05 15:00:00+05:30,110.98,111.37,110.74,111.17,9324
2021-01-05 15:15:00+05:30,111.17,111.42,110.88,111.32,14546
2021-01-05 15:30:00+05:30,111.32,111.51,110.54,111.51,34418
2021-01-06 09:30:00+05:30,113.02,113.02,111.76,112.39,37783
2021-01-06 09:45:00+05:30,112.39,113.31,111.71,112.97,63388
2021-01-06 10:00:00+05:30,113.11,113.65,112.73,113.16,57309
2021-01-06 10:15:00+05:30,113.16,113.45,112.68,113.07,15876
2021-01-06 10:30:00+05:30,113.07,113.36,112.78,113.31,8584
2021-01-06 10:45:00+05:30,113.31,113.31,112.68,112.82,10016
2021-01-06 11:00:00+05:30,112.68,112.82,112.48,112.48,4264
2021-01-06 11:15:00+05:30,112.48,112.87,112.29,112.87,6449
2021-01-06 11:30:00+05:30,112.73,112.82,112.19,112.63,7593
2021-01-06 11:45:00+05:30,112.63,112.68,112.39,112.68,36886
2021-01-06 12:00:00+05:30,112.68,113.16,112.34,112.82,36525
2021-01-06 12:15:00+05:30,112.82,113.55,112.29,113.21,113614
2021-01-06 12:30:00+05:30,112.92,113.65,112.53,113.65,66436
2021-01-06 12:45:00+05:30,113.65,114.13,112.97,113.5,46224
2021-01-06 13:00:00+05:30,113.5,113.6,113.07,113.55,13800
2021-01-06 13:15:00+05:30,113.55,114.09,113.45,114.04,36144
2021-01-06 13:30:00+05:30,114.04,115.25,113.55,115.11,123564
2021-01-06 13:45:00+05:30,115.11,115.4,113.16,113.36,79715
2021-01-06 14:00:00+05:30,113.45,113.45,112.19,112.68,40559
2021-01-06 14:15:00+05:30,112.68,112.68,111.71,112.05,36369
2021-01-06 14:30:00+05:30,112.19,112.63,111.71,112.19,18035
2021-01-06 14:45:00+05:30,112.19,112.58,111.37,112.58,31969
2021-01-06 15:00:00+05:30,112.58,113.26,112.44,112.53,11991
2021-01-06 15:15:00+05:30,112.53,113.02,112.34,112.82,22813
