datetime,open,high,low,close,volume
2023-11-29 09:45:00+05:30,47.55,50.0,47.5,50.0,99464762
2023-11-29 10:00:00+05:30,50.0,50.0,50.0,50.0,0
2023-11-29 10:15:00+05:30,50.4,55.7,50.2,54.15,182415768
2023-11-29 10:30:00+05:30,54.2,55.65,53.5,55.1,44294994
2023-11-29 10:45:00+05:30,55.1,55.25,54.05,54.05,17282907
2023-11-29 11:00:00+05:30,54.1,54.6,54.0,54.5,13910743
2023-11-29 11:15:00+05:30,54.5,55.0,54.4,54.7,10572653
2023-11-29 11:30:00+05:30,54.65,55.85,54.65,55.6,20194055
2023-11-29 11:45:00+05:30,55.6,57.75,55.55,57.55,40264463
2023-11-29 12:00:00+05:30,57.65,58.9,56.55,58.6,35038394
2023-11-29 12:15:00+05:30,58.65,59.7,58.3,59.5,31181716
2023-11-29 12:30:00+05:30,59.5,59.85,59.1,59.15,19264023
2023-11-29 12:45:00+05:30,59.1,59.7,58.75,59.4,14082592
2023-11-29 13:00:00+05:30,59.4,59.75,59.15,59.4,10185434
2023-11-29 13:15:00+05:30,59.45,60.0,59.15,59.5,29161479
2023-11-29 13:30:00+05:30,59.45,60.0,59.4,60.0,7081664
2023-11-29 13:45:00+05:30,60.0,60.0,60.0,60.0,1345935
2023-11-29 14:00:00+05:30,60.0,60.0,60.0,60.0,892929
2023-11-29 14:15:00+05:30,60.0,60.0,60.0,60.0,559097
2023-11-29 14:30:00+05:30,60.0,60.0,60.0,60.0,387578
2023-11-29 14:45:00+05:30,60.0,60.0,60.0,60.0,634649
2023-11-29 15:00:00+05:30,60.0,60.0,60.0,60.0,361726
2023-11-29 15:15:00+05:30,60.0,60.0,60.0,60.0,425674
2023-11-29 15:30:00+05:30,60.0,60.0,60.0,60.0,706077
2023-11-30 09:30:00+05:30,64.3,68.9,64.25,67.2,111507340
2023-11-30 09:45:00+05:30,67.2,68.0,66.25,67.75,25957029
2023-11-30 10:00:00+05:30,67.8,67.85,66.0,66.5,17679492
2023-11-30 10:15:00+05:30,66.6,66.7,62.6,64.25,35312812
2023-11-30 10:30:00+05:30,64.2,64.35,60.55,63.1,29284543
2023-11-30 10:45:00+05:30,63.1,64.9,62.4,64.75,15825955
2023-11-30 11:00:00+05:30,64.75,65.4,64.6,65.0,13286099
2023-11-30 11:15:00+05:30,64.95,66.0,64.95,65.7,9756064
2023-11-30 11:30:00+05:30,65.7,65.9,65.15,65.7,5420567
2023-11-30 11:45:00+05:30,65.7,65.9,65.4,65.6,4209986
2023-11-30 12:00:00+05:30,65.6,65.65,65.1,65.25,4173655
2023-11-30 12:15:00+05:30,65.3,67.3,65.05,66.75,14123326
2023-11-30 12:30:00+05:30,66.7,67.35,66.5,66.55,6894282
2023-11-30 12:45:00+05:30,66.5,68.0,66.2,67.2,13655912
2023-11-30 13:00:00+05:30,67.2,67.8,66.85,67.6,7103152
2023-11-30 13:15:00+05:30,67.55,68.0,67.2,67.3,7224239
2023-11-30 13:30:00+05:30,67.3,67.9,67.2,67.3,4305905
2023-11-30 13:45:00+05:30,67.3,67.45,66.2,66.75,7188301
2023-11-30 14:00:00+05:30,66.7,67.85,66.7,67.55,6044558
2023-11-30 14:15:00+05:30,67.55,67.7,67.1,67.3,5084740
2023-11-30 14:30:00+05:30,67.3,67.7,67.2,67.4,3231256
2023-11-30 14:45:00+05:30,67.35,67.6,66.7,66.8,7139689
2023-11-30 15:00:00+05:30,66.75,67.2,66.1,66.2,6880512
2023-11-30 15:15:00+05:30,66.2,66.2,64.3,65.4,13814422
2023-11-30 15:30:00+05:30,65.35,66.1,64.8,66.1,14539107
2023-12-01 09:30:00+05:30,67.0,68.4,65.0,66.3,24050553
2023-12-01 09:45:00+05:30,66.35,66.7,65.25,66.3,10657562
2023-12-01 10:00:00+05:30,66.25,66.3,65.5,65.85,5146847
2023-12-01 10:15:00+05:30,65.8,65.85,64.0,64.2,15244440
2023-12-01 10:30:00+05:30,64.25,65.1,63.8,64.25,9520470
2023-12-01 10:45:00+05:30,64.25,65.6,64.25,65.1,6021207
2023-12-01 11:00:00+05:30,65.1,65.1,64.65,64.9,2333465
2023-12-01 11:15:00+05:30,64.9,64.9,64.35,64.35,2776157
2023-12-01 11:30:00+05:30,64.4,64.55,63.85,64.5,4828590
2023-12-01 11:45:00+05:30,64.5,64.9,64.0,64.35,4602498
2023-12-01 12:00:00+05:30,64.3,64.45,63.85,64.25,3929488
2023-12-01 12:15:00+05:30,64.25,64.4,64.1,64.3,1300250
2023-12-01 12:30:00+05:30,64.35,64.5,63.75,64.1,3849670
2023-12-01 12:45:00+05:30,64.1,64.5,63.9,64.25,1949452
2023-12-01 13:00:00+05:30,64.25,64.25,63.5,63.75,5121003
2023-12-01 13:15:00+05:30,63.8,63.8,62.3,62.95,8140459
2023-12-01 13:30:00+05:30,62.95,63.25,62.5,63.0,3143776
2023-12-01 13:45:00+05:30,62.95,63.8,62.95,63.45,3217229
2023-12-01 14:00:00+05:30,63.45,63.75,63.25,63.65,1457619
2023-12-01 14:15:00+05:30,63.65,64.45,63.6,63.95,4912869
2023-12-01 14:30:00+05:30,64.0,64.05,63.55,63.55,1811102
2023-12-01 14:45:00+05:30,63.6,63.7,63.2,63.3,2323877
2023-12-01 15:00:00+05:30,63.25,63.5,63.15,63.2,2717325
2023-12-01 15:15:00+05:30,63.25,63.25,62.6,62.8,5379304
2023-12-01 15:30:00+05:30,62.8,63.0,62.5,62.7,9463026
2023-12-04 09:30:00+05:30,64.9,65.9,63.65,63.95,12499741
2023-12-04 09:45:00+05:30,63.95,64.0,63.15,63.2,3992693
2023-12-04 10:00:00+05:30,63.2,63.55,63.15,63.45,3017257
2023-12-04 10:15:00+05:30,63.5,64.45,63.5,64.2,5699859
2023-12-04 10:30:00+05:30,64.2,64.3,63.85,64.2,1953772
2023-12-04 10:45:00+05:30,64.1,64.3,64.0,64.1,1246327
2023-12-04 11:00:00+05:30,64.1,64.8,64.0,64.4,2527908
2023-12-04 11:15:00+05:30,64.4,64.55,64.2,64.35,1230227
2023-12-04 11:30:00+05:30,64.4,64.4,64.25,64.35,943250
2023-12-04 11:45:00+05:30,64.35,64.35,64.1,64.3,813889
2023-12-04 12:00:00+05:30,64.25,64.4,64.25,64.4,589471
2023-12-04 12:15:00+05:30,64.35,64.4,64.15,64.25,550739
2023-12-04 12:30:00+05:30,64.2,64.25,63.9,64.05,1097031
2023-12-04 12:45:00+05:30,64.1,64.65,64.0,64.65,797254
2023-12-04 13:00:00+05:30,64.65,65.15,64.35,64.9,5454826
2023-12-04 13:15:00+05:30,64.9,64.9,64.05,64.2,1821549
2023-12-04 13:30:00+05:30,64.2,64.65,64.2,64.55,1178424
2023-12-04 13:45:00+05:30,64.55,64.6,64.3,64.3,660949
2023-12-04 14:00:00+05:30,64.35,64.4,64.2,64.2,545593
2023-12-04 14:15:00+05:30,64.25,64.35,63.8,63.9,1576951
2023-12-04 14:30:00+05:30,63.9,64.0,63.75,64.0,1047787
2023-12-04 14:45:00+05:30,64.0,64.4,63.95,64.2,1215867
2023-12-04 15:00:00+05:30,64.2,64.5,64.1,64.4,1544173
2023-12-04 15:15:00+05:30,64.4,64.7,64.3,64.6,2603620
2023-12-04 15:30:00+05:30,64.55,64.75,64.3,64.75,4744302
2023-12-05 09:30:00+05:30,64.9,65.0,64.0,64.75,4663432
