datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,169.95,169.95,168.23,169.53,4844
2018-01-01 09:45:00+05:30,169.5,169.83,168.5,169.0,9130
2018-01-01 10:00:00+05:30,169.0,169.0,168.78,168.88,4224
2018-01-01 10:15:00+05:30,168.88,169.2,168.55,168.95,4506
2018-01-01 10:30:00+05:30,168.95,169.03,168.2,168.8,3116
2018-01-01 10:45:00+05:30,168.8,168.8,168.03,168.48,1870
2018-01-01 11:00:00+05:30,168.48,169.38,168.03,169.3,2894
2018-01-01 11:15:00+05:30,169.3,169.5,167.55,167.95,4274
2018-01-01 11:30:00+05:30,167.95,168.85,167.6,168.75,2812
2018-01-01 11:45:00+05:30,168.75,169.35,168.5,169.33,1920
2018-01-01 12:00:00+05:30,169.33,169.45,168.55,169.18,2840
2018-01-01 12:15:00+05:30,169.1,169.68,169.1,169.5,8208
2018-01-01 12:30:00+05:30,169.5,170.75,169.38,170.15,15044
2018-01-01 12:45:00+05:30,170.15,171.5,170.0,171.13,30572
2018-01-01 13:00:00+05:30,171.13,172.0,170.98,171.5,16136
2018-01-01 13:15:00+05:30,171.5,171.5,170.23,170.75,2232
2018-01-01 13:30:00+05:30,170.75,171.23,170.53,170.93,1324
2018-01-01 13:45:00+05:30,170.93,170.98,170.6,170.95,3698
2018-01-01 14:00:00+05:30,170.95,171.0,170.6,170.65,3816
2018-01-01 14:15:00+05:30,171.0,171.25,170.2,170.95,6506
2018-01-01 14:30:00+05:30,170.9,170.9,170.05,170.35,2758
2018-01-01 14:45:00+05:30,170.35,170.48,170.05,170.45,3914
2018-01-01 15:00:00+05:30,170.45,170.45,169.53,169.8,5956
2018-01-01 15:15:00+05:30,169.8,169.8,167.5,168.1,31734
2018-01-01 15:30:00+05:30,168.13,169.25,168.0,168.0,13296
2018-01-02 09:30:00+05:30,169.95,169.9,167.95,168.23,9634
2018-01-02 09:45:00+05:30,168.23,169.5,168.2,168.28,6636
2018-01-02 10:00:00+05:30,168.28,168.5,166.53,166.7,19884
2018-01-02 10:15:00+05:30,167.0,167.45,164.0,164.8,18644
2018-01-02 10:30:00+05:30,165.0,165.48,164.7,165.0,7014
2018-01-02 10:45:00+05:30,165.0,166.0,164.85,165.25,6190
2018-01-02 11:00:00+05:30,165.48,166.0,164.7,165.5,3664
2018-01-02 11:15:00+05:30,165.5,165.5,164.73,164.93,4112
2018-01-02 11:30:00+05:30,164.93,165.48,164.93,165.03,1022
2018-01-02 11:45:00+05:30,165.03,165.93,165.0,165.85,1496
2018-01-02 12:00:00+05:30,165.88,166.08,165.5,165.88,2066
2018-01-02 12:15:00+05:30,165.55,165.88,165.48,165.7,1366
2018-01-02 12:30:00+05:30,165.7,165.73,165.35,165.65,1904
2018-01-02 12:45:00+05:30,165.65,165.68,165.35,165.65,514
2018-01-02 13:00:00+05:30,165.68,165.68,165.4,165.65,320
2018-01-02 13:15:00+05:30,165.65,165.65,165.05,165.58,6688
