datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,70.58,71.4,70.58,71.25,468600
2018-01-01 09:45:00+05:30,71.18,73.35,71.15,73.0,1659128
2018-01-01 10:00:00+05:30,73.0,73.3,72.75,72.85,345554
2018-01-01 10:15:00+05:30,72.85,72.93,72.4,72.63,155698
2018-01-01 10:30:00+05:30,72.63,73.1,72.55,72.75,109780
2018-01-01 10:45:00+05:30,72.75,73.5,72.5,72.7,292924
2018-01-01 11:00:00+05:30,72.7,72.95,72.5,72.5,142568
2018-01-01 11:15:00+05:30,72.5,74.0,72.5,73.6,786348
2018-01-01 11:30:00+05:30,73.6,73.83,73.38,73.5,202480
2018-01-01 11:45:00+05:30,73.5,73.53,73.15,73.43,140206
2018-01-01 12:00:00+05:30,73.43,73.45,73.1,73.1,105246
2018-01-01 12:15:00+05:30,73.1,73.2,72.9,73.13,119122
2018-01-01 12:30:00+05:30,73.13,73.35,72.63,72.97,133212
2018-01-01 12:45:00+05:30,72.97,72.97,72.4,72.53,223314
2018-01-01 13:00:00+05:30,72.5,72.72,72.47,72.6,89172
2018-01-01 13:15:00+05:30,72.6,72.63,72.5,72.58,57222
2018-01-01 13:30:00+05:30,72.63,72.63,71.7,72.25,178964
2018-01-01 13:45:00+05:30,72.25,72.35,71.4,71.95,222316
2018-01-01 14:00:00+05:30,71.95,72.0,71.28,71.68,157110
2018-01-01 14:15:00+05:30,71.58,71.68,71.05,71.4,210046
2018-01-01 14:30:00+05:30,71.4,71.97,71.33,71.97,83426
2018-01-01 14:45:00+05:30,71.9,71.95,71.58,71.63,52618
2018-01-01 15:00:00+05:30,71.63,71.83,71.05,71.15,120480
2018-01-01 15:15:00+05:30,71.15,71.47,70.58,71.45,292202
2018-01-01 15:30:00+05:30,71.45,71.95,71.05,71.65,379070
2018-01-02 09:30:00+05:30,71.78,72.35,71.2,71.28,382340
2018-01-02 09:45:00+05:30,71.28,71.97,70.8,70.9,176916
2018-01-02 10:00:00+05:30,70.9,70.9,70.08,70.15,180602
2018-01-02 10:15:00+05:30,70.15,70.18,68.58,69.35,276554
2018-01-02 10:30:00+05:30,69.25,70.22,69.25,70.0,133234
2018-01-02 10:45:00+05:30,70.0,70.85,69.75,70.35,152058
2018-01-02 11:00:00+05:30,70.35,70.83,70.35,70.63,76348
2018-01-02 11:15:00+05:30,70.63,70.88,70.55,70.78,38740
2018-01-02 11:30:00+05:30,70.8,70.93,70.63,70.85,42724
2018-01-02 11:45:00+05:30,70.88,71.2,70.75,71.08,64264
2018-01-02 12:00:00+05:30,71.08,71.4,71.08,71.35,88624
2018-01-02 12:15:00+05:30,71.35,71.88,71.2,71.5,142102
2018-01-02 12:30:00+05:30,71.58,71.88,71.5,71.7,45674
2018-01-02 12:45:00+05:30,71.7,71.75,71.33,71.75,55636
2018-01-02 13:00:00+05:30,71.75,71.75,71.0,71.15,54654
2018-01-02 13:15:00+05:30,71.15,71.22,70.75,70.9,76262
2018-01-02 13:30:00+05:30,70.9,70.97,70.28,70.97,82858
2018-01-02 13:45:00+05:30,70.97,71.38,70.83,71.33,50400
2018-01-02 14:00:00+05:30,71.33,71.45,70.85,70.85,38332
2018-01-02 14:15:00+05:30,70.85,71.0,70.33,70.63,93192
2018-01-02 14:30:00+05:30,70.58,70.75,70.35,70.45,46776
2018-01-02 14:45:00+05:30,70.45,70.72,70.08,70.5,81066
2018-01-02 15:00:00+05:30,70.5,70.85,70.08,70.5,136928
2018-01-02 15:15:00+05:30,70.5,71.43,70.5,70.97,182370
2018-01-02 15:30:00+05:30,70.97,71.8,70.83,71.75,343318
2018-01-03 09:30:00+05:30,71.95,72.8,71.6,72.75,435622
2018-01-03 09:45:00+05:30,72.85,72.85,72.3,72.63,136682
2018-01-03 10:00:00+05:30,72.7,76.1,72.43,75.9,1712778
2018-01-03 10:15:00+05:30,75.9,77.68,75.72,76.1,1933972
2018-01-03 10:30:00+05:30,76.1,76.5,76.03,76.2,434082
2018-01-03 10:45:00+05:30,76.2,76.85,76.15,76.38,454532
2018-01-03 11:00:00+05:30,76.3,76.45,75.6,75.8,256824
2018-01-03 11:15:00+05:30,75.8,76.0,75.2,75.63,411840
2018-01-03 11:30:00+05:30,75.68,75.75,75.55,75.65,106222
2018-01-03 11:45:00+05:30,75.72,75.78,75.5,75.58,137580
2018-01-03 12:00:00+05:30,75.58,76.33,75.53,75.7,170494
2018-01-03 12:15:00+05:30,75.75,76.03,75.55,75.78,164580
2018-01-03 12:30:00+05:30,75.78,76.13,75.75,76.08,69172
2018-01-03 12:45:00+05:30,76.08,76.5,75.55,75.63,187080
2018-01-03 13:00:00+05:30,75.55,76.13,75.55,76.0,196374
2018-01-03 13:15:00+05:30,76.0,76.7,75.75,76.43,167974
2018-01-03 13:30:00+05:30,76.5,77.2,76.18,76.63,294342
2018-01-03 13:45:00+05:30,76.63,76.63,76.05,76.05,127546
2018-01-03 14:00:00+05:30,76.05,76.58,76.05,76.3,127758
2018-01-03 14:15:00+05:30,76.3,76.63,76.2,76.45,112808
2018-01-03 14:30:00+05:30,76.45,76.72,75.83,75.83,260296
2018-01-03 14:45:00+05:30,75.85,76.08,75.53,75.78,429594
2018-01-03 15:00:00+05:30,75.7,76.1,74.08,74.65,915392
2018-01-03 15:15:00+05:30,74.65,75.1,74.3,74.3,541946
2018-01-03 15:30:00+05:30,74.38,76.0,74.25,75.88,597442
2018-01-04 09:30:00+05:30,76.05,77.95,75.85,77.2,951576
2018-01-04 09:45:00+05:30,77.2,77.45,76.38,76.78,369498
2018-01-04 10:00:00+05:30,76.78,77.85,76.75,77.35,347484
2018-01-04 10:15:00+05:30,77.35,78.0,77.28,77.75,477534
2018-01-04 10:30:00+05:30,77.75,79.13,77.38,78.83,1041106
2018-01-04 10:45:00+05:30,78.9,80.0,78.38,78.85,1938282
2018-01-04 11:00:00+05:30,78.85,79.35,78.5,78.85,296666
2018-01-04 11:15:00+05:30,78.85,79.13,78.75,78.88,135634
2018-01-04 11:30:00+05:30,78.88,80.0,78.78,79.3,483406
2018-01-04 11:45:00+05:30,79.3,79.68,79.22,79.28,137538
2018-01-04 12:00:00+05:30,79.28,79.55,79.0,79.03,85512
2018-01-04 12:15:00+05:30,79.03,79.93,79.03,79.68,138390
2018-01-04 12:30:00+05:30,79.75,81.2,79.5,80.43,1006816
2018-01-04 12:45:00+05:30,80.43,80.5,79.5,80.0,230868
2018-01-04 13:00:00+05:30,80.0,80.0,79.35,79.4,181480
2018-01-04 13:15:00+05:30,79.38,79.83,79.38,79.55,69104
2018-01-04 13:30:00+05:30,79.55,79.97,79.45,79.88,108370
2018-01-04 13:45:00+05:30,79.78,80.25,79.75,79.97,119544
2018-01-04 14:00:00+05:30,79.97,80.72,79.85,80.53,207326
2018-01-04 14:15:00+05:30,80.63,82.18,80.5,82.18,741508
2018-01-04 14:30:00+05:30,82.13,82.63,80.65,81.05,1461282
2018-01-04 14:45:00+05:30,81.05,82.3,81.0,81.33,571794
2018-01-04 15:00:00+05:30,81.33,81.72,80.65,81.0,516800
2018-01-04 15:15:00+05:30,81.0,81.78,80.95,81.5,434224
2018-01-04 15:30:00+05:30,81.5,82.5,81.3,82.48,1026166
2018-01-05 09:30:00+05:30,83.0,83.08,81.13,81.4,819562
2018-01-05 09:45:00+05:30,81.4,81.7,80.63,80.75,289678
2018-01-05 10:00:00+05:30,80.75,81.2,80.15,80.85,333872
2018-01-05 10:15:00+05:30,80.8,82.3,80.7,81.98,728536
2018-01-05 10:30:00+05:30,81.93,82.0,81.47,81.72,530734
2018-01-05 10:45:00+05:30,81.72,82.5,81.55,81.93,906574
2018-01-05 11:00:00+05:30,81.93,82.0,81.5,81.5,305094
2018-01-05 11:15:00+05:30,81.5,81.58,80.78,81.0,236262
2018-01-05 11:30:00+05:30,81.0,81.4,80.88,81.0,255938
2018-01-05 11:45:00+05:30,81.0,81.0,79.2,80.3,377142
2018-01-05 12:00:00+05:30,80.45,80.45,80.08,80.15,64660
2018-01-05 12:15:00+05:30,80.15,80.33,79.3,79.85,204012
2018-01-05 12:30:00+05:30,79.85,79.97,79.5,79.5,78950
2018-01-05 12:45:00+05:30,79.5,80.0,79.5,79.93,77522
2018-01-05 13:00:00+05:30,79.93,79.97,79.4,79.7,100918
