datetime,open,high,low,close,volume
2023-04-03 09:30:00+05:30,362.0,374.4,362.0,371.35,127652
2023-04-03 09:45:00+05:30,370.3,371.45,367.5,370.75,41271
2023-04-03 10:00:00+05:30,370.95,373.35,370.6,373.0,41683
2023-04-03 10:15:00+05:30,372.9,374.45,370.05,370.05,27669
2023-04-03 10:30:00+05:30,370.3,371.25,370.2,371.1,13931
2023-04-03 10:45:00+05:30,371.1,373.0,370.75,372.1,12527
2023-04-03 11:00:00+05:30,372.1,373.3,372.1,373.05,12123
2023-04-03 11:15:00+05:30,373.05,374.95,370.0,370.15,26256
2023-04-03 11:30:00+05:30,370.15,370.3,368.3,369.7,13971
2023-04-03 11:45:00+05:30,369.7,369.95,368.5,369.35,14604
2023-04-03 12:00:00+05:30,369.35,370.3,368.85,370.2,3636
2023-04-03 12:15:00+05:30,370.2,370.5,369.6,369.8,1898
2023-04-03 12:30:00+05:30,369.8,370.05,367.5,369.25,30151
2023-04-03 12:45:00+05:30,369.25,372.45,369.2,372.0,20014
2023-04-03 13:00:00+05:30,372.3,372.45,371.0,371.1,5297
2023-04-03 13:15:00+05:30,371.1,371.4,370.0,371.3,4632
2023-04-03 13:30:00+05:30,371.3,372.8,370.65,372.0,11171
2023-04-03 13:45:00+05:30,372.0,372.2,371.25,371.45,6490
2023-04-03 14:00:00+05:30,371.45,371.5,370.45,371.35,4663
2023-04-03 14:15:00+05:30,371.35,373.25,371.3,372.45,8446
2023-04-03 14:30:00+05:30,372.25,372.6,371.3,371.95,5383
2023-04-03 14:45:00+05:30,371.95,372.0,371.0,371.95,6239
2023-04-03 15:00:00+05:30,371.95,371.95,367.75,367.95,21351
2023-04-03 15:15:00+05:30,368.4,370.05,367.8,369.45,11022
2023-04-03 15:30:00+05:30,369.05,372.5,368.4,372.0,28635
2023-04-05 09:30:00+05:30,373.0,375.4,369.1,370.55,45628
2023-04-05 09:45:00+05:30,370.55,371.75,369.25,370.3,23911
2023-04-05 10:00:00+05:30,370.3,372.1,370.1,371.65,15960
2023-04-05 10:15:00+05:30,371.65,371.7,370.45,371.3,11380
2023-04-05 10:30:00+05:30,371.0,373.95,371.0,373.2,18593
2023-04-05 10:45:00+05:30,373.2,373.2,371.05,371.3,12636
2023-04-05 11:00:00+05:30,371.3,372.5,371.1,371.55,5565
