datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,45.97,46.53,45.83,46.47,826284
2018-01-01 09:45:00+05:30,46.47,46.53,46.35,46.52,347190
2018-01-01 10:00:00+05:30,46.53,46.75,46.52,46.63,376824
2018-01-01 10:15:00+05:30,46.63,47.0,46.62,46.97,1059576
2018-01-01 10:30:00+05:30,46.95,47.08,46.88,47.08,669777
2018-01-01 10:45:00+05:30,47.08,47.13,47.0,47.03,438852
2018-01-01 11:00:00+05:30,47.02,47.02,46.9,46.97,317487
2018-01-01 11:15:00+05:30,46.97,46.97,46.83,46.93,159018
2018-01-01 11:30:00+05:30,46.93,47.08,46.88,47.0,270516
2018-01-01 11:45:00+05:30,47.03,47.03,46.83,46.92,224529
2018-01-01 12:00:00+05:30,46.92,47.03,46.88,47.0,229035
2018-01-01 12:15:00+05:30,47.0,47.03,46.92,46.97,160749
2018-01-01 12:30:00+05:30,46.98,47.0,46.9,46.97,104607
2018-01-01 12:45:00+05:30,46.97,47.22,46.93,47.15,692559
2018-01-01 13:00:00+05:30,47.15,47.65,47.07,47.5,1277793
2018-01-01 13:15:00+05:30,47.5,47.63,47.35,47.37,783366
2018-01-01 13:30:00+05:30,47.37,47.4,47.17,47.23,544437
2018-01-01 13:45:00+05:30,47.23,47.27,47.18,47.27,203880
2018-01-01 14:00:00+05:30,47.25,47.37,47.22,47.33,204528
2018-01-01 14:15:00+05:30,47.37,47.55,47.33,47.45,516156
2018-01-01 14:30:00+05:30,47.45,47.63,47.4,47.43,840606
2018-01-01 14:45:00+05:30,47.47,48.0,47.4,47.87,1648356
2018-01-01 15:00:00+05:30,47.87,47.9,47.03,47.03,1247850
2018-01-01 15:15:00+05:30,47.03,47.25,46.85,47.23,1551747
2018-01-01 15:30:00+05:30,47.23,47.27,46.85,47.05,1963365
2018-01-02 09:30:00+05:30,47.17,47.83,47.33,47.63,1276965
2018-01-02 09:45:00+05:30,47.63,47.68,47.37,47.53,1345920
2018-01-02 10:00:00+05:30,47.53,47.62,47.4,47.57,621168
2018-01-02 10:15:00+05:30,47.55,47.57,47.17,47.33,1106313
2018-01-02 10:30:00+05:30,47.27,47.65,47.27,47.65,637479
2018-01-02 10:45:00+05:30,47.65,48.13,47.57,47.82,2393352
2018-01-02 11:00:00+05:30,47.82,48.2,47.82,48.08,1328391
2018-01-02 11:15:00+05:30,48.08,48.67,48.08,48.62,3405945
2018-01-02 11:30:00+05:30,48.62,49.07,48.57,48.63,4204425
2018-01-02 11:45:00+05:30,48.63,48.97,48.45,48.73,2276598
2018-01-02 12:00:00+05:30,48.73,49.27,48.7,49.07,3592104
2018-01-02 12:15:00+05:30,49.05,49.5,49.03,49.48,4098762
2018-01-02 12:30:00+05:30,49.47,49.65,49.33,49.33,3959268
2018-01-02 12:45:00+05:30,49.32,49.48,49.25,49.32,2006763
2018-01-02 13:00:00+05:30,49.28,49.6,49.18,49.47,1775445
2018-01-02 13:15:00+05:30,49.5,49.53,49.33,49.37,984621
2018-01-02 13:30:00+05:30,49.33,49.5,49.22,49.38,2179164
2018-01-02 13:45:00+05:30,49.4,49.42,49.28,49.38,1215423
2018-01-02 14:00:00+05:30,49.42,49.42,49.18,49.22,912216
2018-01-02 14:15:00+05:30,49.22,49.3,49.07,49.12,1374672
2018-01-02 14:30:00+05:30,49.12,49.28,48.92,49.22,2135697
2018-01-02 14:45:00+05:30,49.18,49.25,48.75,49.02,2113575
2018-01-02 15:00:00+05:30,49.02,49.43,49.02,49.4,1659249
2018-01-02 15:15:00+05:30,49.4,49.67,49.33,49.57,2586261
2018-01-02 15:30:00+05:30,49.57,49.72,49.42,49.48,3031992
2018-01-03 09:30:00+05:30,49.7,50.1,49.37,49.63,2887182
2018-01-03 09:45:00+05:30,49.63,50.33,49.57,50.1,2794524
2018-01-03 10:00:00+05:30,50.12,50.33,50.07,50.22,1255971
2018-01-03 10:15:00+05:30,50.22,50.5,50.0,50.5,1686198
2018-01-03 10:30:00+05:30,50.5,50.8,50.28,50.77,4207884
2018-01-03 10:45:00+05:30,50.78,50.92,50.52,50.53,1822155
2018-01-03 11:00:00+05:30,50.53,50.58,50.37,50.57,901521
2018-01-03 11:15:00+05:30,50.57,50.57,50.38,50.42,520806
2018-01-03 11:30:00+05:30,50.4,50.43,50.08,50.2,1078866
2018-01-03 11:45:00+05:30,50.2,50.33,50.15,50.22,491085
2018-01-03 12:00:00+05:30,50.25,50.3,50.07,50.18,861723
