datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,166.22,166.44,165.33,166.0,20023
2018-01-01 09:45:00+05:30,165.8,166.64,165.47,166.53,22341
2018-01-01 10:00:00+05:30,166.53,167.11,166.49,166.67,50327
2018-01-01 10:15:00+05:30,166.67,167.51,166.67,167.29,35642
2018-01-01 10:30:00+05:30,167.29,167.71,167.18,167.38,33915
2018-01-01 10:45:00+05:30,167.51,167.56,167.16,167.22,42429
2018-01-01 11:00:00+05:30,167.22,167.42,167.07,167.22,19739
2018-01-01 11:15:00+05:30,167.22,167.36,167.0,167.24,9898
2018-01-01 11:30:00+05:30,167.24,167.24,166.22,166.78,32181
2018-01-01 11:45:00+05:30,166.82,167.09,166.78,166.87,6855
2018-01-01 12:00:00+05:30,166.87,167.11,166.84,167.0,6282
2018-01-01 12:15:00+05:30,167.0,167.09,166.82,166.82,5246
2018-01-01 12:30:00+05:30,166.82,167.07,166.8,166.87,4373
2018-01-01 12:45:00+05:30,166.87,166.93,166.73,166.93,4085
2018-01-01 13:00:00+05:30,166.96,167.11,166.71,166.82,9283
2018-01-01 13:15:00+05:30,166.8,166.96,166.67,166.67,4784
2018-01-01 13:30:00+05:30,166.67,166.78,166.42,166.58,14009
2018-01-01 13:45:00+05:30,166.58,166.87,166.42,166.6,12609
2018-01-01 14:00:00+05:30,166.6,166.8,166.44,166.53,9777
2018-01-01 14:15:00+05:30,166.53,166.73,166.47,166.53,6164
2018-01-01 14:30:00+05:30,166.53,166.76,166.47,166.76,14350
2018-01-01 14:45:00+05:30,166.76,166.76,166.24,166.27,7930
2018-01-01 15:00:00+05:30,166.27,166.67,166.22,166.58,25598
2018-01-01 15:15:00+05:30,166.58,166.6,166.0,166.22,16433
2018-01-01 15:30:00+05:30,166.22,166.22,165.33,166.11,55784
2018-01-02 09:30:00+05:30,166.6,167.09,166.04,166.44,31544
2018-01-02 09:45:00+05:30,166.49,166.49,165.56,165.56,15631
2018-01-02 10:00:00+05:30,165.56,165.67,164.47,164.67,13241
2018-01-02 10:15:00+05:30,164.67,164.8,162.76,164.22,22408
2018-01-02 10:30:00+05:30,164.22,164.78,164.18,164.42,18173
2018-01-02 10:45:00+05:30,164.42,164.6,164.09,164.44,11659
2018-01-02 11:00:00+05:30,164.44,165.0,164.33,164.62,9226
2018-01-02 11:15:00+05:30,164.62,164.76,164.56,164.71,1093
2018-01-02 11:30:00+05:30,164.71,164.71,163.96,164.36,7206
2018-01-02 11:45:00+05:30,164.36,164.4,164.02,164.27,4749
2018-01-02 12:00:00+05:30,164.27,164.38,163.78,163.91,8368
