datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,97.12,98.4,97.32,97.48,431076
2018-01-01 09:45:00+05:30,97.52,97.84,97.08,97.8,149092
2018-01-01 10:00:00+05:30,97.8,98.16,97.8,97.96,165891
2018-01-01 10:15:00+05:30,97.96,98.28,97.92,98.0,118130
2018-01-01 10:30:00+05:30,98.0,98.08,97.64,97.84,117326
2018-01-01 10:45:00+05:30,97.84,98.2,97.8,98.16,80919
2018-01-01 11:00:00+05:30,98.2,98.32,98.0,98.24,142090
2018-01-01 11:15:00+05:30,98.16,98.52,98.08,98.2,197843
2018-01-01 11:30:00+05:30,98.2,99.0,98.08,98.96,672918
2018-01-01 11:45:00+05:30,98.96,99.04,98.64,98.76,370190
2018-01-01 12:00:00+05:30,98.76,99.04,98.6,98.8,189964
2018-01-01 12:15:00+05:30,98.8,98.88,98.64,98.88,71687
2018-01-01 12:30:00+05:30,98.88,99.08,98.76,98.8,159229
2018-01-01 12:45:00+05:30,98.8,99.92,98.76,99.72,990106
2018-01-01 13:00:00+05:30,99.72,100.0,99.32,99.32,393813
2018-01-01 13:15:00+05:30,99.32,99.88,99.32,99.76,351655
2018-01-01 13:30:00+05:30,99.76,99.8,99.28,99.4,406014
2018-01-01 13:45:00+05:30,99.4,99.56,99.28,99.44,158233
2018-01-01 14:00:00+05:30,99.44,99.92,99.4,99.72,224578
2018-01-01 14:15:00+05:30,99.72,100.4,99.72,100.24,795795
2018-01-01 14:30:00+05:30,100.28,100.36,99.8,99.92,326873
2018-01-01 14:45:00+05:30,99.92,100.12,99.88,100.08,176574
2018-01-01 15:00:00+05:30,100.08,100.2,99.2,99.36,545418
2018-01-01 15:15:00+05:30,99.28,99.36,98.68,99.12,509633
2018-01-01 15:30:00+05:30,99.12,99.2,98.64,99.2,546284
2018-01-02 09:30:00+05:30,99.96,100.48,99.76,100.12,781965
2018-01-02 09:45:00+05:30,100.08,100.08,98.84,99.24,446402
2018-01-02 10:00:00+05:30,99.24,99.44,98.44,99.04,445342
2018-01-02 10:15:00+05:30,99.04,99.04,98.24,98.52,473551
2018-01-02 10:30:00+05:30,98.56,99.2,98.36,99.12,331244
2018-01-02 10:45:00+05:30,99.12,99.76,98.88,99.36,272719
2018-01-02 11:00:00+05:30,99.36,99.6,99.08,99.48,172634
2018-01-02 11:15:00+05:30,99.44,99.6,99.28,99.48,151075
2018-01-02 11:30:00+05:30,99.44,99.52,98.88,99.0,176654
2018-01-02 11:45:00+05:30,98.96,99.48,98.92,99.44,144049
2018-01-02 12:00:00+05:30,99.44,99.84,99.24,99.68,159101
2018-01-02 12:15:00+05:30,99.68,99.8,99.52,99.68,83950
2018-01-02 12:30:00+05:30,99.68,99.84,99.56,99.72,131146
2018-01-02 12:45:00+05:30,99.72,100.2,99.6,100.04,532273
2018-01-02 13:00:00+05:30,100.04,100.08,99.4,99.52,161645
2018-01-02 13:15:00+05:30,99.52,99.76,99.44,99.52,130797
2018-01-02 13:30:00+05:30,99.52,99.64,99.28,99.4,241858
2018-01-02 13:45:00+05:30,99.4,99.52,99.12,99.32,145720
2018-01-02 14:00:00+05:30,99.32,99.48,98.92,99.04,90587
2018-01-02 14:15:00+05:30,99.04,99.24,98.68,98.8,297651
2018-01-02 14:30:00+05:30,98.8,98.8,98.28,98.48,455838
2018-01-02 14:45:00+05:30,98.48,98.52,97.8,98.52,265497
2018-01-02 15:00:00+05:30,98.52,98.92,98.4,98.92,114981
2018-01-02 15:15:00+05:30,98.92,99.08,98.68,98.96,204554
2018-01-02 15:30:00+05:30,99.0,99.12,98.68,98.76,527498
2018-01-03 09:30:00+05:30,99.6,99.6,99.08,99.24,172671
2018-01-03 09:45:00+05:30,99.16,99.52,98.92,99.36,292068
2018-01-03 10:00:00+05:30,99.36,99.68,99.28,99.52,228074
2018-01-03 10:15:00+05:30,99.52,99.8,99.24,99.32,94136
