datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,42.58,42.58,40.66,41.57,28230
2018-01-01 09:45:00+05:30,41.57,42.3,41.5,41.65,36800
2018-01-01 10:00:00+05:30,41.65,42.02,41.58,41.9,20510
2018-01-01 10:15:00+05:30,41.64,41.83,41.5,41.7,20580
2018-01-01 10:30:00+05:30,41.7,41.7,41.42,41.67,3690
2018-01-01 10:45:00+05:30,41.67,41.7,41.53,41.53,1830
2018-01-01 11:00:00+05:30,41.53,41.72,41.53,41.67,1660
2018-01-01 11:15:00+05:30,41.67,41.9,41.67,41.87,2560
2018-01-01 11:30:00+05:30,41.87,42.5,41.87,42.5,15960
2018-01-01 11:45:00+05:30,42.5,42.93,42.37,42.79,73040
2018-01-01 12:00:00+05:30,42.79,42.79,42.41,42.6,17030
2018-01-01 12:15:00+05:30,42.6,42.6,42.21,42.34,4220
2018-01-01 12:30:00+05:30,42.34,42.34,42.04,42.15,4500
2018-01-01 12:45:00+05:30,42.15,42.15,41.93,42.03,4080
2018-01-01 13:00:00+05:30,42.03,42.2,41.85,42.0,12690
2018-01-01 13:15:00+05:30,42.0,42.17,42.0,42.17,11580
2018-01-01 13:30:00+05:30,42.17,42.17,41.81,41.92,1930
2018-01-01 13:45:00+05:30,41.92,41.92,41.8,41.8,3800
2018-01-01 14:00:00+05:30,41.96,41.96,41.8,41.94,1450
2018-01-01 14:15:00+05:30,41.94,41.94,41.85,41.85,260
2018-01-01 14:30:00+05:30,41.85,42.0,41.8,42.0,5930
2018-01-01 14:45:00+05:30,42.0,42.04,41.93,41.93,720
2018-01-01 15:00:00+05:30,41.93,41.93,41.67,41.67,7520
2018-01-01 15:15:00+05:30,41.67,41.8,41.3,41.46,19820
2018-01-01 15:30:00+05:30,41.46,41.88,41.3,41.85,39710
2018-01-02 09:30:00+05:30,41.87,42.05,41.8,41.8,10570
2018-01-02 09:45:00+05:30,41.8,41.8,41.02,41.09,9450
2018-01-02 10:00:00+05:30,41.09,41.29,41.07,41.11,7130
2018-01-02 10:15:00+05:30,41.11,41.11,40.8,41.0,37190
2018-01-02 10:30:00+05:30,40.8,41.2,40.8,40.97,15700
2018-01-02 10:45:00+05:30,40.97,41.7,40.97,41.49,11700
2018-01-02 11:00:00+05:30,41.49,41.6,41.49,41.5,21580
2018-01-02 11:15:00+05:30,41.7,41.7,41.7,41.7,310
2018-01-02 11:30:00+05:30,41.7,41.7,41.5,41.5,7400
2018-01-02 11:45:00+05:30,41.5,41.5,41.15,41.3,6540
2018-01-02 12:00:00+05:30,41.3,41.3,41.16,41.16,1830
2018-01-02 12:15:00+05:30,41.16,41.6,41.16,41.4,36240
2018-01-02 12:30:00+05:30,41.4,41.69,41.33,41.4,29080
2018-01-02 12:45:00+05:30,41.4,41.4,41.2,41.2,6740
