datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,324.9,328.1,315.0,328.1,42320
2018-01-01 09:45:00+05:30,327.52,329.0,322.63,324.77,22538
2018-01-01 10:00:00+05:30,324.77,328.0,324.77,326.3,8600
2018-01-01 10:15:00+05:30,327.0,327.0,326.0,326.18,5776
2018-01-01 10:30:00+05:30,326.18,331.4,326.18,329.43,51244
2018-01-01 10:45:00+05:30,329.43,330.5,328.0,328.5,13206
2018-01-01 11:00:00+05:30,328.5,329.63,328.03,328.78,5160
2018-01-01 11:15:00+05:30,329.23,329.75,328.5,329.73,7112
2018-01-01 11:30:00+05:30,329.73,330.0,329.03,329.78,4924
2018-01-01 11:45:00+05:30,329.78,329.78,328.53,328.53,1958
2018-01-01 12:00:00+05:30,328.53,331.95,325.0,327.73,27986
2018-01-01 12:15:00+05:30,327.73,328.5,327.73,327.88,1322
2018-01-01 12:30:00+05:30,328.4,328.5,327.93,328.0,900
2018-01-01 12:45:00+05:30,328.0,328.45,328.0,328.4,806
2018-01-01 13:00:00+05:30,328.4,329.0,328.08,328.9,3896
2018-01-01 13:15:00+05:30,328.9,329.2,328.25,328.55,2140
2018-01-01 13:30:00+05:30,328.55,328.93,328.05,328.7,1282
2018-01-01 13:45:00+05:30,328.7,328.7,327.85,327.88,1344
2018-01-01 14:00:00+05:30,327.88,328.45,325.98,327.0,3744
2018-01-01 14:15:00+05:30,327.0,327.25,325.63,325.93,1536
2018-01-01 14:30:00+05:30,325.93,328.0,325.9,326.5,2994
2018-01-01 14:45:00+05:30,326.5,326.5,324.0,325.5,14538
2018-01-01 15:00:00+05:30,324.35,325.5,320.6,321.0,9634
2018-01-01 15:15:00+05:30,321.0,321.0,315.15,316.8,20664
2018-01-01 15:30:00+05:30,316.8,317.0,313.5,315.5,13906
2018-01-02 09:30:00+05:30,317.95,319.88,315.5,315.5,29464
2018-01-02 09:45:00+05:30,315.5,317.93,314.35,314.7,5116
2018-01-02 10:00:00+05:30,314.7,315.0,312.0,314.9,2258
2018-01-02 10:15:00+05:30,314.98,315.88,313.0,315.0,2500
2018-01-02 10:30:00+05:30,315.0,316.5,314.4,316.5,868
2018-01-02 10:45:00+05:30,316.5,316.5,315.0,315.0,1308
2018-01-02 11:00:00+05:30,315.0,315.1,314.4,314.5,192
2018-01-02 11:15:00+05:30,315.0,315.0,314.0,314.0,656
2018-01-02 11:30:00+05:30,314.0,314.55,314.0,314.5,168
2018-01-02 11:45:00+05:30,314.52,317.02,312.85,317.02,8894
2018-01-02 12:00:00+05:30,317.43,322.5,316.23,320.0,23586
2018-01-02 12:15:00+05:30,320.0,324.48,319.98,322.5,11544
2018-01-02 12:30:00+05:30,322.5,325.0,322.5,325.0,17260
2018-01-02 12:45:00+05:30,325.25,326.95,318.6,318.88,13896
2018-01-02 13:00:00+05:30,318.88,325.35,318.88,320.43,17850
2018-01-02 13:15:00+05:30,320.43,325.48,320.25,324.83,8888
2018-01-02 13:30:00+05:30,324.83,324.88,321.63,321.63,3034
2018-01-02 13:45:00+05:30,321.63,322.1,320.0,320.0,2806
2018-01-02 14:00:00+05:30,320.0,320.0,313.7,316.45,9058
2018-01-02 14:15:00+05:30,316.45,318.88,315.63,318.88,2356
2018-01-02 14:30:00+05:30,318.88,318.88,316.27,317.35,974
2018-01-02 14:45:00+05:30,317.35,317.85,317.0,317.45,572
2018-01-02 15:00:00+05:30,317.45,317.8,317.25,317.55,110
2018-01-02 15:15:00+05:30,317.55,317.77,316.25,317.25,2866
2018-01-02 15:30:00+05:30,317.25,318.45,315.05,315.63,26588
2018-01-03 09:30:00+05:30,315.63,320.0,313.2,314.75,9022
2018-01-03 09:45:00+05:30,314.5,316.0,313.5,315.0,30580
2018-01-03 10:00:00+05:30,315.0,316.45,314.8,315.02,9572
2018-01-03 10:15:00+05:30,315.02,316.77,314.98,315.45,7678
2018-01-03 10:30:00+05:30,315.38,315.8,314.8,315.0,6962
2018-01-03 10:45:00+05:30,315.0,315.02,314.77,315.0,5542
2018-01-03 11:00:00+05:30,315.0,315.0,314.9,315.0,9664
2018-01-03 11:15:00+05:30,315.0,315.23,314.45,314.98,2436
2018-01-03 11:30:00+05:30,314.98,315.0,314.65,315.0,6292
2018-01-03 11:45:00+05:30,315.0,316.5,313.0,313.48,24838
2018-01-03 12:00:00+05:30,313.5,315.0,312.5,315.0,88120
2018-01-03 12:15:00+05:30,315.0,315.0,313.52,314.65,4822
2018-01-03 12:30:00+05:30,314.65,315.0,313.52,314.0,4396
2018-01-03 12:45:00+05:30,314.0,316.77,313.95,315.02,1298602
2018-01-03 13:00:00+05:30,315.02,315.23,313.0,313.95,8238
2018-01-03 13:15:00+05:30,313.33,314.3,313.08,313.25,2214
2018-01-03 13:30:00+05:30,313.25,314.63,313.08,313.18,6822
2018-01-03 13:45:00+05:30,313.95,313.95,313.25,313.58,7230
2018-01-03 14:00:00+05:30,313.58,313.88,309.0,312.1,18794
2018-01-03 14:15:00+05:30,312.1,314.93,312.1,313.77,6706
2018-01-03 14:30:00+05:30,313.77,314.68,310.55,311.58,11240
2018-01-03 14:45:00+05:30,311.58,312.52,310.75,310.75,12568
2018-01-03 15:00:00+05:30,310.75,311.25,310.75,310.88,10026
2018-01-03 15:15:00+05:30,310.88,311.25,309.08,309.68,13004
2018-01-03 15:30:00+05:30,309.68,309.98,307.5,309.0,19842
