datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,96.8,97.6,96.55,97.4,541778
2018-01-01 09:45:00+05:30,97.4,98.0,96.8,98.0,380994
2018-01-01 10:00:00+05:30,97.9,98.55,97.75,98.55,577784
2018-01-01 10:15:00+05:30,98.6,99.35,98.4,98.8,983513
2018-01-01 10:30:00+05:30,98.8,98.9,98.15,98.35,304205
2018-01-01 10:45:00+05:30,98.35,98.8,98.3,98.55,177106
2018-01-01 11:00:00+05:30,98.55,99.0,98.45,98.95,279966
2018-01-01 11:15:00+05:30,98.95,99.25,98.75,99.25,310031
2018-01-01 11:30:00+05:30,99.25,99.75,98.9,99.1,676546
2018-01-01 11:45:00+05:30,99.0,99.15,98.8,98.9,193913
2018-01-01 12:00:00+05:30,98.9,99.0,98.7,98.85,91535
2018-01-01 12:15:00+05:30,98.85,99.0,98.75,98.95,86233
2018-01-01 12:30:00+05:30,98.95,98.95,98.55,98.65,106956
2018-01-01 12:45:00+05:30,98.65,98.65,97.75,98.05,372387
2018-01-01 13:00:00+05:30,98.15,98.3,98.0,98.25,129581
2018-01-01 13:15:00+05:30,98.25,98.35,98.1,98.2,72524
2018-01-01 13:30:00+05:30,98.2,98.3,97.8,98.15,178898
2018-01-01 13:45:00+05:30,98.15,98.3,98.0,98.15,66426
2018-01-01 14:00:00+05:30,98.15,98.3,98.0,98.05,69106
2018-01-01 14:15:00+05:30,98.05,98.1,97.85,97.95,110499
2018-01-01 14:30:00+05:30,97.95,98.0,97.9,98.0,109699
2018-01-01 14:45:00+05:30,98.0,98.05,97.2,97.5,295649
2018-01-01 15:00:00+05:30,97.55,97.55,96.8,96.8,270894
2018-01-01 15:15:00+05:30,96.8,97.25,96.5,97.05,457374
2018-01-01 15:30:00+05:30,97.2,97.35,96.75,97.05,513018
2018-01-02 09:30:00+05:30,97.55,98.6,97.5,97.5,583993
2018-01-02 09:45:00+05:30,97.55,97.85,96.05,96.7,407867
2018-01-02 10:00:00+05:30,96.7,96.8,95.3,96.0,375966
2018-01-02 10:15:00+05:30,96.0,96.0,95.05,95.8,252249
2018-01-02 10:30:00+05:30,95.7,96.3,95.5,96.3,123281
2018-01-02 10:45:00+05:30,96.3,96.5,96.1,96.3,120748
2018-01-02 11:00:00+05:30,96.45,96.6,95.6,96.0,195680
2018-01-02 11:15:00+05:30,96.15,96.55,96.0,96.55,87923
2018-01-02 11:30:00+05:30,96.55,96.6,95.75,96.2,115437
2018-01-02 11:45:00+05:30,96.2,96.45,96.05,96.2,102258
2018-01-02 12:00:00+05:30,96.1,96.2,95.9,96.05,66605
2018-01-02 12:15:00+05:30,96.05,96.1,95.9,96.05,53380
2018-01-02 12:30:00+05:30,96.05,96.05,95.9,96.0,84361
2018-01-02 12:45:00+05:30,95.95,96.05,95.8,96.0,63550
2018-01-02 13:00:00+05:30,96.0,96.05,95.65,95.95,62808
2018-01-02 13:15:00+05:30,95.95,96.0,95.6,96.0,69914
2018-01-02 13:30:00+05:30,96.0,96.0,95.75,96.0,45950
2018-01-02 13:45:00+05:30,96.0,96.0,95.8,95.95,34398
2018-01-02 14:00:00+05:30,95.95,96.05,95.6,95.8,58179
2018-01-02 14:15:00+05:30,95.8,95.85,95.4,95.65,110004
2018-01-02 14:30:00+05:30,95.7,95.75,95.2,95.45,95148
2018-01-02 14:45:00+05:30,95.45,95.6,95.1,95.3,112305
2018-01-02 15:00:00+05:30,95.3,95.75,95.2,95.5,114063
2018-01-02 15:15:00+05:30,95.5,95.7,95.25,95.5,225692
2018-01-02 15:30:00+05:30,95.5,96.0,95.45,95.85,374590
2018-01-03 09:30:00+05:30,97.1,98.1,97.45,97.55,1058859
2018-01-03 09:45:00+05:30,97.55,102.45,97.2,100.85,5722401
2018-01-03 10:00:00+05:30,100.9,100.9,100.15,100.6,975802
2018-01-03 10:15:00+05:30,100.6,101.0,100.15,100.3,520910
2018-01-03 10:30:00+05:30,100.25,101.45,100.2,101.15,747395
2018-01-03 10:45:00+05:30,101.2,101.35,100.8,101.15,428069
2018-01-03 11:00:00+05:30,101.2,101.3,100.6,101.0,362086
2018-01-03 11:15:00+05:30,101.0,101.05,100.2,100.35,323814
2018-01-03 11:30:00+05:30,100.3,100.55,100.3,100.5,149578
2018-01-03 11:45:00+05:30,100.5,100.65,100.3,100.4,327415
2018-01-03 12:00:00+05:30,100.4,102.3,100.35,101.55,1604061
2018-01-03 12:15:00+05:30,101.6,102.15,100.8,101.0,745573
2018-01-03 12:30:00+05:30,101.0,101.1,100.8,100.9,276091
2018-01-03 12:45:00+05:30,100.95,101.05,100.3,100.7,363245
2018-01-03 13:00:00+05:30,100.7,101.9,100.6,101.15,602766
2018-01-03 13:15:00+05:30,101.15,101.9,100.95,101.35,495024
2018-01-03 13:30:00+05:30,101.35,101.8,101.15,101.7,226221
2018-01-03 13:45:00+05:30,101.5,101.7,100.8,100.9,249374
2018-01-03 14:00:00+05:30,100.8,101.25,100.75,101.0,637951
2018-01-03 14:15:00+05:30,101.0,102.25,100.9,101.65,1433860
2018-01-03 14:30:00+05:30,101.65,101.9,100.6,100.75,659269
2018-01-03 14:45:00+05:30,100.75,100.95,100.2,100.5,534786
2018-01-03 15:00:00+05:30,100.5,100.95,100.4,100.85,336529
2018-01-03 15:15:00+05:30,100.8,101.35,100.8,101.0,750187
2018-01-03 15:30:00+05:30,100.95,101.2,100.6,100.65,968840
