datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,176.8,176.8,172.4,173.04,4675
2018-01-01 09:45:00+05:30,173.04,173.2,172.2,172.2,1950
2018-01-01 10:00:00+05:30,172.2,172.4,171.3,172.0,3530
2018-01-01 10:15:00+05:30,172.0,172.0,171.38,171.38,175
2018-01-01 10:30:00+05:30,171.38,172.95,171.38,172.78,9970
2018-01-01 10:45:00+05:30,172.78,173.08,172.78,172.78,370
2018-01-01 11:00:00+05:30,172.78,172.78,172.0,172.05,1270
2018-01-01 11:15:00+05:30,172.3,173.11,172.3,173.11,3085
2018-01-01 11:30:00+05:30,173.11,174.68,172.6,172.6,12830
2018-01-01 11:45:00+05:30,172.59,174.2,172.43,173.98,15555
2018-01-01 12:00:00+05:30,173.98,174.39,173.38,173.97,5835
2018-01-01 12:15:00+05:30,173.97,173.97,173.29,173.29,565
2018-01-01 12:30:00+05:30,173.29,173.95,173.2,173.94,2085
2018-01-01 12:45:00+05:30,173.95,173.95,172.41,172.41,910
2018-01-01 13:00:00+05:30,172.41,173.42,172.41,173.2,2705
2018-01-01 13:15:00+05:30,173.2,173.6,172.85,173.21,2875
2018-01-01 13:30:00+05:30,173.57,173.57,173.2,173.21,985
2018-01-01 13:45:00+05:30,173.21,173.57,172.6,173.0,4995
2018-01-01 14:00:00+05:30,172.6,173.95,172.42,173.1,6675
2018-01-01 14:15:00+05:30,173.1,173.27,172.82,173.2,1745
2018-01-01 14:30:00+05:30,173.6,173.6,173.2,173.46,1100
2018-01-01 14:45:00+05:30,173.46,173.95,172.8,172.84,2795
2018-01-01 15:00:00+05:30,173.09,173.9,172.0,172.6,14365
2018-01-01 15:15:00+05:30,172.9,172.98,169.62,171.0,42800
2018-01-01 15:30:00+05:30,171.0,171.67,167.58,168.0,17760
2018-01-02 09:30:00+05:30,171.8,171.8,169.41,169.95,2080
2018-01-02 09:45:00+05:30,169.99,170.0,167.8,167.81,13165
2018-01-02 10:00:00+05:30,167.81,168.94,167.0,167.67,7495
2018-01-02 10:15:00+05:30,167.67,167.8,166.02,166.21,6020
2018-01-02 10:30:00+05:30,166.21,167.98,166.21,167.01,4220
2018-01-02 10:45:00+05:30,167.01,168.4,167.0,168.03,2220
2018-01-02 11:00:00+05:30,168.03,169.62,168.03,169.0,4345
2018-01-02 11:15:00+05:30,168.2,169.27,168.2,169.27,1000
2018-01-02 11:30:00+05:30,169.27,170.18,169.13,169.43,1795
2018-01-02 11:45:00+05:30,169.43,169.84,169.19,169.29,675
2018-01-02 12:00:00+05:30,169.78,169.78,169.2,169.49,255
2018-01-02 12:15:00+05:30,169.49,169.77,169.4,169.7,370
2018-01-02 12:30:00+05:30,169.7,169.7,169.34,169.39,285
2018-01-02 12:45:00+05:30,169.39,170.0,169.13,169.58,2690
2018-01-02 13:00:00+05:30,169.58,170.13,169.41,169.89,695
2018-01-02 13:15:00+05:30,169.89,170.0,168.2,169.05,12650
2018-01-02 13:30:00+05:30,169.05,169.29,168.68,168.72,665
2018-01-02 13:45:00+05:30,168.72,169.99,168.72,169.36,2285
2018-01-02 14:00:00+05:30,169.4,170.0,169.0,169.0,13725
2018-01-02 14:15:00+05:30,169.01,170.0,169.01,169.21,2895
2018-01-02 14:30:00+05:30,169.21,170.01,168.5,169.37,8115
2018-01-02 14:45:00+05:30,169.37,170.42,168.61,169.42,13590
2018-01-02 15:00:00+05:30,169.42,172.8,169.24,171.4,17255
2018-01-02 15:15:00+05:30,171.4,173.0,171.11,172.95,15220
2018-01-02 15:30:00+05:30,172.95,175.2,172.6,173.41,16705
2018-01-03 09:30:00+05:30,173.23,173.23,171.25,172.8,2145
2018-01-03 09:45:00+05:30,172.8,172.8,171.37,171.6,905
2018-01-03 10:00:00+05:30,171.6,171.97,171.6,171.6,900
2018-01-03 10:15:00+05:30,171.6,172.2,171.6,172.0,435
2018-01-03 10:30:00+05:30,172.0,172.74,172.0,172.23,3450
2018-01-03 10:45:00+05:30,172.23,172.74,172.21,172.5,1470
2018-01-03 11:00:00+05:30,172.69,172.7,172.45,172.46,560
2018-01-03 11:15:00+05:30,172.46,172.71,172.46,172.56,1050
2018-01-03 11:30:00+05:30,172.56,172.75,172.51,172.51,620
2018-01-03 11:45:00+05:30,172.51,172.74,171.6,172.18,8910
2018-01-03 12:00:00+05:30,172.18,172.44,172.03,172.15,2050
2018-01-03 12:15:00+05:30,172.15,172.44,172.04,172.04,420
2018-01-03 12:30:00+05:30,172.04,172.46,172.04,172.4,3660
2018-01-03 12:45:00+05:30,172.47,172.75,172.07,172.61,4690
2018-01-03 13:00:00+05:30,172.61,172.74,172.11,172.61,2155
2018-01-03 13:15:00+05:30,172.61,173.77,172.4,173.55,21035
2018-01-03 13:30:00+05:30,173.54,173.77,171.6,172.0,12025
2018-01-03 13:45:00+05:30,172.0,172.17,171.9,171.9,20
2018-01-03 14:00:00+05:30,171.9,171.99,171.81,171.99,235
2018-01-03 14:15:00+05:30,171.98,172.0,171.6,172.0,845
2018-01-03 14:30:00+05:30,171.99,172.38,171.99,172.0,1135
2018-01-03 14:45:00+05:30,172.0,173.08,171.21,171.97,8560
2018-01-03 15:00:00+05:30,171.97,172.41,171.2,171.2,1630
2018-01-03 15:15:00+05:30,171.2,172.0,171.2,171.6,5285
2018-01-03 15:30:00+05:30,171.6,172.6,171.04,172.6,5425
2018-01-04 09:30:00+05:30,173.6,173.6,171.82,171.82,2760
2018-01-04 09:45:00+05:30,171.82,172.62,171.63,172.62,1540
2018-01-04 10:00:00+05:30,172.62,172.67,172.0,172.3,885
2018-01-04 10:15:00+05:30,172.3,173.2,172.01,172.83,1575
2018-01-04 10:30:00+05:30,172.83,172.83,172.21,172.26,390
2018-01-04 10:45:00+05:30,172.26,172.8,171.85,171.85,1520
2018-01-04 11:00:00+05:30,172.0,172.0,171.7,172.0,1530
2018-01-04 11:15:00+05:30,172.0,172.2,172.0,172.0,1610
2018-01-04 11:30:00+05:30,172.0,172.39,172.0,172.03,240
2018-01-04 11:45:00+05:30,172.03,172.35,172.03,172.06,20
2018-01-04 12:00:00+05:30,172.06,172.4,172.06,172.4,1650
2018-01-04 12:15:00+05:30,172.4,172.6,172.0,172.08,2650
2018-01-04 12:30:00+05:30,172.08,172.4,172.0,172.04,730
2018-01-04 12:45:00+05:30,172.04,172.04,172.0,172.0,400
2018-01-04 13:00:00+05:30,172.0,172.0,171.6,171.98,2115
2018-01-04 13:15:00+05:30,171.98,172.3,171.98,171.99,1955
2018-01-04 13:30:00+05:30,172.3,172.3,172.0,172.0,690
2018-01-04 13:45:00+05:30,172.01,172.3,170.73,171.9,5660
2018-01-04 14:00:00+05:30,171.9,172.2,170.98,170.98,1985
2018-01-04 14:15:00+05:30,170.81,172.3,170.79,172.0,5635
2018-01-04 14:30:00+05:30,172.0,172.15,171.69,172.15,390
2018-01-04 14:45:00+05:30,172.15,172.15,171.83,172.0,255
2018-01-04 15:00:00+05:30,172.0,172.6,172.0,172.0,6560
2018-01-04 15:15:00+05:30,172.0,172.6,172.0,172.0,930
2018-01-04 15:30:00+05:30,172.34,172.6,170.82,171.2,5570
2018-01-05 09:30:00+05:30,176.23,178.18,173.0,173.0,114270
2018-01-05 09:45:00+05:30,173.0,173.0,171.04,171.99,69625
2018-01-05 10:00:00+05:30,171.99,171.99,171.81,171.99,5475
2018-01-05 10:15:00+05:30,171.99,171.99,171.93,171.99,8155
2018-01-05 10:30:00+05:30,171.99,172.0,171.94,171.98,4900
2018-01-05 10:45:00+05:30,171.93,172.2,171.02,171.65,10600
2018-01-05 11:00:00+05:30,171.62,173.0,171.62,172.99,2325
2018-01-05 11:15:00+05:30,173.19,173.4,172.59,173.0,11270
2018-01-05 11:30:00+05:30,173.0,173.39,172.59,173.2,3430
2018-01-05 11:45:00+05:30,173.2,173.2,172.0,172.4,3575
2018-01-05 12:00:00+05:30,171.99,171.99,171.0,171.8,2885
2018-01-05 12:15:00+05:30,171.8,172.59,171.8,171.8,2255
2018-01-05 12:30:00+05:30,171.8,171.8,171.8,171.8,425
2018-01-05 12:45:00+05:30,171.82,172.58,171.82,172.58,1240
2018-01-05 13:00:00+05:30,172.58,172.92,172.4,172.4,640
2018-01-05 13:15:00+05:30,172.6,172.6,172.4,172.4,3780
2018-01-05 13:30:00+05:30,172.4,172.4,171.82,172.0,4615
2018-01-05 13:45:00+05:30,172.02,172.6,171.8,172.01,3495
2018-01-05 14:00:00+05:30,172.01,172.6,171.1,172.0,4675
2018-01-05 14:15:00+05:30,172.2,172.46,172.2,172.3,655
2018-01-05 14:30:00+05:30,172.0,172.46,171.08,171.76,2190
2018-01-05 14:45:00+05:30,171.76,172.46,171.37,172.0,3210
2018-01-05 15:00:00+05:30,172.0,172.4,171.05,172.4,9845
2018-01-05 15:15:00+05:30,172.4,173.2,172.1,173.2,23335
2018-01-05 15:30:00+05:30,173.2,173.48,171.21,171.9,12065
2018-01-08 09:30:00+05:30,174.4,175.6,172.31,172.8,4350
2018-01-08 09:45:00+05:30,172.8,172.81,171.89,172.1,1005
2018-01-08 10:00:00+05:30,172.1,172.61,171.99,172.31,8440
2018-01-08 10:15:00+05:30,172.31,172.79,172.02,172.59,1430
2018-01-08 10:30:00+05:30,172.59,172.6,172.0,172.4,1330
2018-01-08 10:45:00+05:30,172.4,172.4,172.0,172.4,415
2018-01-08 11:00:00+05:30,172.4,172.81,172.4,172.8,1215
2018-01-08 11:15:00+05:30,172.8,172.8,172.8,172.8,415
2018-01-08 11:30:00+05:30,172.8,172.8,172.01,172.39,3075
2018-01-08 11:45:00+05:30,172.63,172.63,172.6,172.6,530
2018-01-08 12:00:00+05:30,172.8,173.0,172.01,172.01,3940
2018-01-08 12:15:00+05:30,172.01,172.4,172.01,172.4,430
2018-01-08 12:30:00+05:30,172.3,172.8,172.3,172.79,1955
2018-01-08 12:45:00+05:30,172.79,173.24,172.79,172.84,1980
2018-01-08 13:00:00+05:30,172.84,172.84,172.84,172.84,360
2018-01-08 13:15:00+05:30,172.84,173.3,172.7,172.8,14035
2018-01-08 13:30:00+05:30,172.8,173.25,172.8,172.83,3960
2018-01-08 13:45:00+05:30,172.83,173.12,172.8,172.8,1230
2018-01-08 14:00:00+05:30,172.94,172.97,172.84,172.84,420
2018-01-08 14:15:00+05:30,172.84,173.1,172.79,172.8,6150
2018-01-08 14:30:00+05:30,172.87,173.47,172.86,173.22,860
2018-01-08 14:45:00+05:30,173.22,173.69,172.91,173.18,5750
2018-01-08 15:00:00+05:30,173.58,174.4,173.01,173.8,11660
2018-01-08 15:15:00+05:30,173.8,174.4,172.8,174.0,6150
2018-01-08 15:30:00+05:30,174.0,174.3,172.4,172.8,6220
2018-01-09 09:30:00+05:30,174.6,174.8,172.9,173.26,4820
2018-01-09 09:45:00+05:30,173.26,173.59,173.05,173.2,1615
2018-01-09 10:00:00+05:30,173.2,173.4,172.41,173.0,1815
2018-01-09 10:15:00+05:30,173.0,173.0,172.9,172.9,145
2018-01-09 10:30:00+05:30,172.9,173.41,172.7,173.4,9270
2018-01-09 10:45:00+05:30,173.4,174.78,173.4,174.46,9150
2018-01-09 11:00:00+05:30,174.98,174.98,174.43,174.44,9090
2018-01-09 11:15:00+05:30,174.44,174.58,173.45,174.0,7525
2018-01-09 11:30:00+05:30,174.0,174.07,173.4,173.58,4255
2018-01-09 11:45:00+05:30,173.58,174.0,173.4,173.45,1620
2018-01-09 12:00:00+05:30,173.45,173.6,173.4,173.4,110
2018-01-09 12:15:00+05:30,173.4,173.43,173.37,173.4,4895
2018-01-09 12:30:00+05:30,173.4,173.91,173.4,173.4,895
2018-01-09 12:45:00+05:30,173.4,173.4,173.0,173.0,55
2018-01-09 13:00:00+05:30,173.0,173.39,172.6,173.1,865
2018-01-09 13:15:00+05:30,173.1,173.27,173.1,173.27,75
2018-01-09 13:30:00+05:30,173.4,173.4,172.4,172.4,840
2018-01-09 13:45:00+05:30,172.02,172.78,172.02,172.34,1815
2018-01-09 14:00:00+05:30,172.6,173.59,172.6,173.59,2895
2018-01-09 14:15:00+05:30,173.59,173.59,173.14,173.14,195
2018-01-09 14:30:00+05:30,173.13,173.13,172.16,172.59,8340
2018-01-09 14:45:00+05:30,172.59,172.6,171.91,172.39,6165
2018-01-09 15:00:00+05:30,174.07,174.07,172.81,173.13,6735
2018-01-09 15:15:00+05:30,173.13,173.4,172.82,172.89,705
2018-01-09 15:30:00+05:30,172.89,173.18,172.0,172.99,5375
2018-01-10 09:30:00+05:30,172.8,172.8,171.0,172.79,3190
2018-01-10 09:45:00+05:30,172.79,172.94,171.85,171.85,4585
2018-01-10 10:00:00+05:30,171.82,172.8,171.82,172.8,515
2018-01-10 10:15:00+05:30,172.8,172.8,172.4,172.4,1060
2018-01-10 10:30:00+05:30,172.4,172.4,171.83,172.28,1260
2018-01-10 10:45:00+05:30,172.28,172.39,171.9,171.98,1615
2018-01-10 11:00:00+05:30,171.99,172.0,171.85,172.0,31695
2018-01-10 11:15:00+05:30,171.84,172.0,171.83,171.99,610
2018-01-10 11:30:00+05:30,171.99,171.99,171.45,171.45,1240
2018-01-10 11:45:00+05:30,171.45,171.83,171.2,171.83,2040
2018-01-10 12:00:00+05:30,171.83,171.85,170.54,171.0,6820
2018-01-10 12:15:00+05:30,171.0,171.1,170.64,170.64,890
2018-01-10 12:30:00+05:30,170.64,171.5,170.45,171.19,1400
2018-01-10 12:45:00+05:30,171.19,171.8,171.18,171.5,1275
2018-01-10 13:00:00+05:30,171.5,171.5,170.5,171.29,1900
2018-01-10 13:15:00+05:30,170.49,171.3,170.49,171.3,400
2018-01-10 13:30:00+05:30,171.51,172.58,171.05,171.81,5945
2018-01-10 13:45:00+05:30,171.81,172.0,171.8,171.8,2210
2018-01-10 14:00:00+05:30,172.0,172.0,171.95,171.95,590
2018-01-10 14:15:00+05:30,171.95,172.39,171.83,172.0,53805
2018-01-10 14:30:00+05:30,172.0,172.0,171.02,171.61,9075
2018-01-10 14:45:00+05:30,171.61,172.0,171.22,171.22,2400
2018-01-10 15:00:00+05:30,172.31,172.31,171.24,171.67,1005
2018-01-10 15:15:00+05:30,171.67,172.0,171.5,171.5,2555
2018-01-10 15:30:00+05:30,171.5,172.0,171.4,171.4,4110
2018-01-11 09:30:00+05:30,174.28,174.28,170.7,171.32,1020
2018-01-11 09:45:00+05:30,171.32,171.4,171.06,171.1,690
2018-01-11 10:00:00+05:30,171.1,171.99,171.1,171.99,780
2018-01-11 10:15:00+05:30,171.99,172.79,171.9,172.0,2340
2018-01-11 10:30:00+05:30,172.0,172.0,171.6,171.6,285
2018-01-11 10:45:00+05:30,171.53,172.0,171.53,171.98,490
2018-01-11 11:00:00+05:30,171.98,171.99,171.98,171.99,25
2018-01-11 11:15:00+05:30,171.99,172.0,171.72,172.0,275
2018-01-11 11:30:00+05:30,172.0,172.0,171.24,171.8,990
2018-01-11 11:45:00+05:30,171.8,172.0,171.52,171.6,2485
2018-01-11 12:00:00+05:30,171.6,171.7,171.06,171.5,635
2018-01-11 12:15:00+05:30,171.5,171.66,170.84,170.97,1655
2018-01-11 12:30:00+05:30,170.97,171.0,170.97,171.0,785
2018-01-11 12:45:00+05:30,171.0,171.0,170.84,171.0,135
2018-01-11 13:00:00+05:30,171.0,171.2,170.93,171.0,905
2018-01-11 13:15:00+05:30,171.2,171.79,171.0,171.0,9520
2018-01-11 13:30:00+05:30,171.0,171.0,170.84,170.84,435
2018-01-11 13:45:00+05:30,170.84,170.84,170.42,170.6,1680
2018-01-11 14:00:00+05:30,170.6,170.6,170.57,170.57,130
2018-01-11 14:15:00+05:30,170.57,171.0,170.57,170.97,1285
2018-01-11 14:30:00+05:30,170.97,170.97,170.5,170.5,515
2018-01-11 14:45:00+05:30,170.5,170.58,170.5,170.5,570
2018-01-11 15:00:00+05:30,170.5,170.98,170.4,170.42,2450
2018-01-11 15:15:00+05:30,170.42,170.99,169.0,169.4,6615
2018-01-11 15:30:00+05:30,169.4,170.79,168.81,169.0,2965
2018-01-12 09:30:00+05:30,171.56,171.56,170.52,171.4,1025
2018-01-12 09:45:00+05:30,171.4,171.4,170.1,170.77,1835
2018-01-12 10:00:00+05:30,170.77,170.77,170.41,170.43,735
2018-01-12 10:15:00+05:30,170.43,170.73,170.42,170.42,310
2018-01-12 10:30:00+05:30,170.42,170.7,170.2,170.55,4080
2018-01-12 10:45:00+05:30,170.55,170.55,168.65,169.75,1535
2018-01-12 11:00:00+05:30,169.75,170.66,169.31,170.66,150
2018-01-12 11:15:00+05:30,170.66,172.59,170.0,172.0,8515
2018-01-12 11:30:00+05:30,172.0,172.0,170.07,170.58,305
2018-01-12 11:45:00+05:30,170.58,170.89,170.0,170.0,1720
2018-01-12 12:00:00+05:30,170.0,170.0,170.0,170.0,0
2018-01-12 12:15:00+05:30,169.99,169.99,169.78,169.78,65
2018-01-12 12:30:00+05:30,169.78,169.78,169.31,169.78,2665
2018-01-12 12:45:00+05:30,169.78,170.0,167.6,167.62,2340
2018-01-12 13:00:00+05:30,167.62,169.99,167.28,168.92,10755
2018-01-12 13:15:00+05:30,168.92,169.4,168.0,168.0,5540
2018-01-12 13:30:00+05:30,168.0,168.76,167.05,168.16,1440
2018-01-12 13:45:00+05:30,168.16,168.22,167.63,168.2,1605
2018-01-12 14:00:00+05:30,168.99,168.99,166.11,167.84,6655
2018-01-12 14:15:00+05:30,167.84,167.84,167.21,167.21,300
2018-01-12 14:30:00+05:30,166.89,168.75,166.7,168.4,2475
2018-01-12 14:45:00+05:30,168.4,168.79,168.0,168.17,4015
2018-01-12 15:00:00+05:30,168.18,169.03,168.02,168.95,4945
2018-01-12 15:15:00+05:30,168.95,169.03,168.63,168.92,2345
2018-01-12 15:30:00+05:30,168.92,169.02,167.66,169.02,4235
2018-01-15 09:30:00+05:30,169.7,171.0,169.7,170.25,5545
2018-01-15 09:45:00+05:30,170.25,171.0,170.25,170.79,4115
2018-01-15 10:00:00+05:30,170.79,170.85,170.09,170.2,2570
2018-01-15 10:15:00+05:30,170.2,170.2,168.82,168.82,6900
2018-01-15 10:30:00+05:30,168.99,169.17,168.4,168.79,1575
2018-01-15 10:45:00+05:30,168.79,168.79,168.41,168.79,1295
2018-01-15 11:00:00+05:30,168.79,168.8,168.61,168.75,1725
