datetime,open,high,low,close,volume
2021-06-24 09:45:00+05:30,301.0,301.0,301.0,301.0,4649759
2021-06-24 10:00:00+05:30,301.0,301.0,301.0,301.0,0
2021-06-24 10:15:00+05:30,305.45,315.0,295.0,314.25,10053955
2021-06-24 10:30:00+05:30,313.65,333.0,312.2,329.85,6321064
2021-06-24 10:45:00+05:30,329.65,354.85,326.1,352.8,7439068
2021-06-24 11:00:00+05:30,352.8,361.2,348.55,361.2,6906340
2021-06-24 11:15:00+05:30,361.2,361.2,361.2,361.2,2114681
2021-06-24 11:30:00+05:30,361.2,361.2,352.3,361.2,3709815
2021-06-24 11:45:00+05:30,361.2,361.2,361.2,361.2,144576
2021-06-24 12:00:00+05:30,361.2,361.2,361.2,361.2,88528
2021-06-24 12:15:00+05:30,361.2,361.2,361.2,361.2,59676
2021-06-24 12:30:00+05:30,361.2,361.2,361.2,361.2,44639
2021-06-24 12:45:00+05:30,361.2,361.2,361.2,361.2,42906
2021-06-24 13:00:00+05:30,361.2,361.2,361.2,361.2,39181
2021-06-24 13:15:00+05:30,361.2,361.2,361.2,361.2,36147
2021-06-24 13:30:00+05:30,361.2,361.2,361.2,361.2,29760
2021-06-24 13:45:00+05:30,361.2,361.2,361.2,361.2,20133
2021-06-24 14:00:00+05:30,361.2,361.2,361.2,361.2,21120
2021-06-24 14:15:00+05:30,361.2,361.2,361.2,361.2,20435
2021-06-24 14:30:00+05:30,361.2,361.2,361.2,361.2,19869
2021-06-24 14:45:00+05:30,361.2,361.2,361.2,361.2,18537
2021-06-24 15:00:00+05:30,361.2,361.2,361.2,361.2,17731
2021-06-24 15:15:00+05:30,361.2,361.2,361.2,361.2,16131
2021-06-24 15:30:00+05:30,361.2,361.2,361.2,361.2,33332
2021-06-25 09:30:00+05:30,387.9,413.9,375.0,395.0,7573596
2021-06-25 09:45:00+05:30,394.45,408.0,393.7,399.15,3933018
2021-06-25 10:00:00+05:30,399.2,400.0,355.45,358.6,4813602
2021-06-25 10:15:00+05:30,360.1,373.5,360.05,368.3,2024815
2021-06-25 10:30:00+05:30,366.9,377.7,366.9,372.3,873049
2021-06-25 10:45:00+05:30,372.2,373.8,368.1,370.3,524408
2021-06-25 11:00:00+05:30,370.3,378.8,369.05,377.85,607729
2021-06-25 11:15:00+05:30,377.75,383.15,372.5,381.65,794459
2021-06-25 11:30:00+05:30,381.5,385.0,377.45,379.7,723860
2021-06-25 11:45:00+05:30,379.75,390.65,377.6,389.55,719900
2021-06-25 12:00:00+05:30,389.7,395.8,387.0,388.9,830621
2021-06-25 12:15:00+05:30,388.9,393.5,380.0,384.55,670179
2021-06-25 12:30:00+05:30,384.55,393.1,384.55,388.7,507175
2021-06-25 12:45:00+05:30,388.75,390.8,387.95,388.05,203478
2021-06-25 13:00:00+05:30,388.05,389.85,385.0,387.9,255734
2021-06-25 13:15:00+05:30,387.9,388.0,384.4,385.6,202388
2021-06-25 13:30:00+05:30,385.65,387.95,385.3,387.5,186659
2021-06-25 13:45:00+05:30,387.5,387.55,369.7,373.0,787815
2021-06-25 14:00:00+05:30,373.2,373.2,363.35,372.05,1098350
2021-06-25 14:15:00+05:30,372.1,373.0,365.4,365.85,433955
2021-06-25 14:30:00+05:30,365.8,370.4,365.35,369.2,321753
2021-06-25 14:45:00+05:30,369.2,371.4,366.6,370.1,329982
2021-06-25 15:00:00+05:30,370.15,371.0,361.6,367.4,528395
2021-06-25 15:15:00+05:30,367.25,367.4,361.5,365.85,773637
