datetime,open,high,low,close,volume
2020-07-01 09:30:00+05:30,6.15,6.2,5.98,5.98,280374
2020-07-01 09:45:00+05:30,5.98,6.2,5.98,6.18,192614
2020-07-01 10:00:00+05:30,6.18,6.25,5.98,6.03,276262
2020-07-01 10:15:00+05:30,6.03,6.03,5.98,5.98,52434
2020-07-01 10:30:00+05:30,5.98,6.03,5.98,5.98,64962
2020-07-01 10:45:00+05:30,5.98,6.0,5.98,5.98,24802
2020-07-01 11:00:00+05:30,5.98,6.0,5.98,5.98,100034
2020-07-01 11:15:00+05:30,5.98,5.98,5.98,5.98,18842
2020-07-01 11:30:00+05:30,5.98,5.98,5.98,5.98,24730
2020-07-01 11:45:00+05:30,5.98,5.98,5.98,5.98,3200
2020-07-01 12:00:00+05:30,5.98,5.98,5.98,5.98,2810
2020-07-01 12:15:00+05:30,5.98,5.98,5.98,5.98,22632
2020-07-01 12:30:00+05:30,5.98,5.98,5.98,5.98,10420
2020-07-01 12:45:00+05:30,5.98,5.98,5.98,5.98,4604
2020-07-01 13:00:00+05:30,5.98,5.98,5.98,5.98,29844
2020-07-01 13:15:00+05:30,5.98,6.38,5.98,6.3,278598
2020-07-01 13:30:00+05:30,6.33,6.33,6.0,6.0,43444
2020-07-01 13:45:00+05:30,6.0,6.1,6.0,6.1,61358
2020-07-01 14:00:00+05:30,6.1,6.2,6.03,6.13,89208
2020-07-01 14:15:00+05:30,6.13,6.15,6.08,6.1,18348
2020-07-01 14:30:00+05:30,6.1,6.15,6.05,6.13,14490
2020-07-01 14:45:00+05:30,6.13,6.15,5.98,6.05,102676
2020-07-01 15:00:00+05:30,6.05,6.05,5.98,6.0,55546
2020-07-01 15:15:00+05:30,6.0,6.08,5.98,6.0,111688
2020-07-01 15:30:00+05:30,6.0,6.03,5.98,5.98,110714
2020-07-02 09:30:00+05:30,5.95,6.35,5.85,6.25,170814
2020-07-02 09:45:00+05:30,6.25,6.28,6.15,6.15,45738
2020-07-02 10:00:00+05:30,6.18,6.23,6.08,6.1,38668
2020-07-02 10:15:00+05:30,6.1,6.18,6.08,6.1,23212
2020-07-02 10:30:00+05:30,6.1,6.1,6.05,6.08,22554
2020-07-02 10:45:00+05:30,6.08,6.1,6.05,6.1,51762
2020-07-02 11:00:00+05:30,6.1,6.13,6.08,6.1,37916
2020-07-02 11:15:00+05:30,6.1,6.1,6.03,6.03,33118
2020-07-02 11:30:00+05:30,6.03,6.05,6.0,6.0,18216
2020-07-02 11:45:00+05:30,6.0,6.08,6.0,6.05,5230
2020-07-02 12:00:00+05:30,6.05,6.08,6.03,6.03,23236
2020-07-02 12:15:00+05:30,6.03,6.03,6.03,6.03,750
2020-07-02 12:30:00+05:30,6.03,6.08,6.0,6.08,42742
2020-07-02 12:45:00+05:30,6.08,6.1,6.05,6.05,2678
2020-07-02 13:00:00+05:30,6.05,6.08,6.03,6.08,9186
2020-07-02 13:15:00+05:30,6.08,6.1,6.05,6.08,7278
2020-07-02 13:30:00+05:30,6.08,6.08,6.05,6.05,5114
2020-07-02 13:45:00+05:30,6.08,6.08,6.03,6.03,40522
2020-07-02 14:00:00+05:30,6.03,6.05,5.98,6.0,42400
2020-07-02 14:15:00+05:30,6.0,6.03,6.0,6.03,16664
2020-07-02 14:30:00+05:30,6.03,6.08,6.03,6.08,29876
2020-07-02 14:45:00+05:30,6.08,6.08,6.0,6.0,62146
2020-07-02 15:00:00+05:30,6.0,6.0,5.75,5.8,112456
2020-07-02 15:15:00+05:30,5.8,5.85,5.5,5.73,153152
2020-07-02 15:30:00+05:30,5.73,6.03,5.6,6.0,193362
2020-07-03 09:30:00+05:30,5.8,6.0,5.73,5.75,111556
2020-07-03 09:45:00+05:30,5.75,5.83,5.73,5.73,19888
2020-07-03 10:00:00+05:30,5.73,5.78,5.73,5.75,25722
2020-07-03 10:15:00+05:30,5.78,5.78,5.55,5.6,96250
2020-07-03 10:30:00+05:30,5.6,5.63,5.58,5.63,20028
2020-07-03 10:45:00+05:30,5.63,5.63,5.58,5.6,22248
2020-07-03 11:00:00+05:30,5.6,5.65,5.55,5.63,39750
2020-07-03 11:15:00+05:30,5.63,5.9,5.58,5.68,194328
2020-07-03 11:30:00+05:30,5.73,5.73,5.65,5.68,30188
2020-07-03 11:45:00+05:30,5.73,5.78,5.7,5.75,21192
2020-07-03 12:00:00+05:30,5.75,5.78,5.73,5.75,26588
2020-07-03 12:15:00+05:30,5.75,5.88,5.75,5.83,32406
2020-07-03 12:30:00+05:30,5.83,5.9,5.83,5.85,41322
2020-07-03 12:45:00+05:30,5.9,5.9,5.83,5.83,2930
2020-07-03 13:00:00+05:30,5.88,5.88,5.78,5.78,17604
2020-07-03 13:15:00+05:30,5.78,5.83,5.7,5.75,26290
2020-07-03 13:30:00+05:30,5.75,5.8,5.73,5.75,18184
2020-07-03 13:45:00+05:30,5.75,5.75,5.63,5.73,32434
2020-07-03 14:00:00+05:30,5.73,5.73,5.63,5.7,8256
2020-07-03 14:15:00+05:30,5.7,5.78,5.65,5.78,15734
2020-07-03 14:30:00+05:30,5.78,5.8,5.7,5.75,37498
2020-07-03 14:45:00+05:30,5.75,5.75,5.7,5.7,13470
2020-07-03 15:00:00+05:30,5.7,5.78,5.65,5.75,37340
2020-07-03 15:15:00+05:30,5.75,5.8,5.73,5.73,23582
2020-07-03 15:30:00+05:30,5.73,5.8,5.73,5.8,66420
2020-07-06 09:30:00+05:30,5.93,5.95,5.65,5.75,104826
2020-07-06 09:45:00+05:30,5.75,5.9,5.7,5.9,98598
2020-07-06 10:00:00+05:30,5.9,6.23,5.78,6.0,137326
2020-07-06 10:15:00+05:30,6.0,6.2,5.98,6.03,96296
2020-07-06 10:30:00+05:30,6.03,6.08,6.03,6.05,23646
2020-07-06 10:45:00+05:30,6.05,6.1,6.0,6.03,14210
2020-07-06 11:00:00+05:30,6.03,6.05,5.88,5.95,16648
2020-07-06 11:15:00+05:30,5.95,5.98,5.9,5.93,74758
2020-07-06 11:30:00+05:30,5.93,6.0,5.93,5.98,13662
2020-07-06 11:45:00+05:30,5.98,6.05,5.88,5.95,22972
2020-07-06 12:00:00+05:30,5.95,6.0,5.93,5.95,48002
2020-07-06 12:15:00+05:30,5.95,6.0,5.9,5.95,33618
2020-07-06 12:30:00+05:30,5.95,5.95,5.9,5.95,4366
2020-07-06 12:45:00+05:30,5.95,6.0,5.93,5.98,15340
2020-07-06 13:00:00+05:30,5.98,6.0,5.95,5.98,3068
2020-07-06 13:15:00+05:30,5.98,5.98,5.95,5.95,5218
2020-07-06 13:30:00+05:30,5.95,6.0,5.9,5.9,31070
2020-07-06 13:45:00+05:30,5.9,5.98,5.9,5.95,6218
2020-07-06 14:00:00+05:30,5.95,5.95,5.85,5.9,28944
2020-07-06 14:15:00+05:30,5.9,5.98,5.9,5.93,17538
2020-07-06 14:30:00+05:30,5.93,5.98,5.83,5.93,19154
2020-07-06 14:45:00+05:30,5.93,5.93,5.88,5.9,8988
2020-07-06 15:00:00+05:30,5.93,6.0,5.9,6.0,23640
2020-07-06 15:15:00+05:30,6.0,6.03,6.0,6.03,26524
2020-07-06 15:30:00+05:30,6.03,6.03,5.9,5.98,39646
2020-07-07 09:30:00+05:30,6.0,6.35,5.93,6.25,431190
2020-07-07 09:45:00+05:30,6.25,6.43,6.25,6.4,449744
2020-07-07 10:00:00+05:30,6.35,6.4,6.33,6.33,136640
2020-07-07 10:15:00+05:30,6.33,6.38,6.23,6.25,157486
2020-07-07 10:30:00+05:30,6.25,6.3,6.25,6.28,48118
2020-07-07 10:45:00+05:30,6.28,6.28,6.2,6.23,38196
2020-07-07 11:00:00+05:30,6.25,6.25,6.15,6.15,26822
2020-07-07 11:15:00+05:30,6.15,6.2,6.15,6.2,12980
2020-07-07 11:30:00+05:30,6.2,6.3,6.15,6.2,23620
2020-07-07 11:45:00+05:30,6.2,6.25,6.15,6.2,21150
2020-07-07 12:00:00+05:30,6.2,6.25,5.78,6.1,179060
2020-07-07 12:15:00+05:30,6.1,6.15,6.05,6.08,15238
2020-07-07 12:30:00+05:30,6.08,6.13,6.08,6.08,17844
2020-07-07 12:45:00+05:30,6.08,6.13,6.05,6.13,6136
2020-07-07 13:00:00+05:30,6.13,6.15,6.08,6.13,14100
2020-07-07 13:15:00+05:30,6.13,6.23,6.05,6.1,42266
2020-07-07 13:30:00+05:30,6.1,6.25,6.1,6.2,30802
2020-07-07 13:45:00+05:30,6.2,6.25,6.2,6.23,13508
2020-07-07 14:00:00+05:30,6.23,6.23,6.18,6.18,7230
2020-07-07 14:15:00+05:30,6.18,6.23,6.15,6.18,23332
2020-07-07 14:30:00+05:30,6.18,6.23,6.13,6.18,15690
2020-07-07 14:45:00+05:30,6.18,6.2,6.15,6.18,14628
2020-07-07 15:00:00+05:30,6.18,6.2,6.15,6.18,31236
2020-07-07 15:15:00+05:30,6.18,6.2,6.13,6.18,65292
2020-07-07 15:30:00+05:30,6.18,6.25,6.15,6.23,72264
2020-07-08 09:30:00+05:30,6.18,6.18,5.85,6.1,83878
2020-07-08 09:45:00+05:30,6.1,6.1,6.03,6.08,17972
2020-07-08 10:00:00+05:30,6.08,6.08,6.0,6.03,31674
2020-07-08 10:15:00+05:30,6.05,6.05,5.95,5.98,42036
2020-07-08 10:30:00+05:30,5.98,5.98,5.93,5.98,27834
2020-07-08 10:45:00+05:30,5.98,5.98,5.93,5.93,4830
2020-07-08 11:00:00+05:30,5.93,5.98,5.93,5.98,10744
2020-07-08 11:15:00+05:30,5.98,5.98,5.93,5.98,7324
2020-07-08 11:30:00+05:30,5.93,5.98,5.93,5.98,7024
2020-07-08 11:45:00+05:30,5.95,5.95,5.93,5.93,13474
2020-07-08 12:00:00+05:30,5.93,5.95,5.9,5.95,18488
2020-07-08 12:15:00+05:30,5.95,5.95,5.88,5.9,29874
2020-07-08 12:30:00+05:30,5.9,5.95,5.9,5.95,12182
2020-07-08 12:45:00+05:30,5.95,5.95,5.93,5.95,8474
2020-07-08 13:00:00+05:30,5.95,5.98,5.93,5.95,14614
2020-07-08 13:15:00+05:30,5.95,5.95,5.93,5.95,8152
2020-07-08 13:30:00+05:30,5.95,5.95,5.93,5.93,14944
2020-07-08 13:45:00+05:30,5.93,6.15,5.93,6.05,100592
2020-07-08 14:00:00+05:30,6.05,6.23,6.05,6.23,94970
2020-07-08 14:15:00+05:30,6.18,6.23,6.05,6.13,56748
2020-07-08 14:30:00+05:30,6.13,6.13,6.03,6.08,10996
2020-07-08 14:45:00+05:30,6.08,6.08,6.0,6.0,3984
2020-07-08 15:00:00+05:30,6.0,6.0,5.93,5.95,44554
2020-07-08 15:15:00+05:30,5.95,6.0,5.95,5.95,5354
2020-07-08 15:30:00+05:30,5.95,6.0,5.93,5.98,49616
2020-07-09 09:30:00+05:30,5.93,6.0,5.9,5.95,40968
2020-07-09 09:45:00+05:30,5.95,5.98,5.9,5.9,13186
2020-07-09 10:00:00+05:30,5.9,5.93,5.88,5.88,11366
2020-07-09 10:15:00+05:30,5.88,5.9,5.83,5.83,44018
2020-07-09 10:30:00+05:30,5.83,5.93,5.83,5.9,35130
2020-07-09 10:45:00+05:30,5.9,5.95,5.88,5.93,32724
2020-07-09 11:00:00+05:30,5.93,5.98,5.93,5.93,8452
2020-07-09 11:15:00+05:30,5.93,5.98,5.93,5.98,2276
2020-07-09 11:30:00+05:30,5.93,5.98,5.93,5.93,5120
2020-07-09 11:45:00+05:30,5.93,5.95,5.93,5.93,19214
2020-07-09 12:00:00+05:30,5.93,5.95,5.93,5.95,604
2020-07-09 12:15:00+05:30,5.95,5.95,5.93,5.93,7780
2020-07-09 12:30:00+05:30,5.93,5.95,5.93,5.93,2072
2020-07-09 12:45:00+05:30,5.93,5.98,5.93,5.95,2932
2020-07-09 13:00:00+05:30,5.95,5.98,5.95,5.95,5098
2020-07-09 13:15:00+05:30,5.95,5.98,5.95,5.95,3806
2020-07-09 13:30:00+05:30,5.95,5.98,5.95,5.95,1854
2020-07-09 13:45:00+05:30,5.95,5.95,5.95,5.95,1240
2020-07-09 14:00:00+05:30,5.93,5.93,5.83,5.83,34174
2020-07-09 14:15:00+05:30,5.83,5.9,5.83,5.9,11494
2020-07-09 14:30:00+05:30,5.9,5.9,5.88,5.88,5088
2020-07-09 14:45:00+05:30,5.88,5.9,5.88,5.88,3000
2020-07-09 15:00:00+05:30,5.85,5.93,5.85,5.9,23934
2020-07-09 15:15:00+05:30,5.9,5.9,5.85,5.85,14068
2020-07-09 15:30:00+05:30,5.88,5.93,5.8,5.93,59192
2020-07-10 09:30:00+05:30,5.95,5.95,5.78,5.88,20966
2020-07-10 09:45:00+05:30,5.88,6.25,5.85,6.25,153406
2020-07-10 10:00:00+05:30,6.25,6.25,6.15,6.15,142920
2020-07-10 10:15:00+05:30,6.15,6.18,6.1,6.13,55348
2020-07-10 10:30:00+05:30,6.13,6.15,6.1,6.1,31676
2020-07-10 10:45:00+05:30,6.1,6.13,6.0,6.03,108250
2020-07-10 11:00:00+05:30,6.0,6.0,5.9,5.98,30944
2020-07-10 11:15:00+05:30,5.98,6.05,5.95,5.95,36652
