datetime,open,high,low,close,volume
2018-04-02 09:30:00+05:30,80.35,80.6,78.75,79.9,921726
2018-04-02 09:45:00+05:30,79.95,80.1,79.65,79.8,161908
2018-04-02 10:00:00+05:30,79.7,80.0,79.7,79.85,68120
2018-04-02 10:15:00+05:30,79.9,79.9,79.65,79.75,37882
2018-04-02 10:30:00+05:30,79.75,80.1,79.7,80.05,70997
2018-04-02 10:45:00+05:30,80.0,80.15,79.6,79.65,77876
2018-04-02 11:00:00+05:30,79.7,79.85,79.7,79.75,27096
2018-04-02 11:15:00+05:30,79.75,80.0,79.7,80.0,77305
2018-04-02 11:30:00+05:30,80.0,80.1,79.9,80.1,60751
2018-04-02 11:45:00+05:30,80.0,80.1,79.9,80.0,61827
2018-04-02 12:00:00+05:30,79.95,80.15,79.95,80.1,29484
2018-04-02 12:15:00+05:30,80.1,80.3,80.05,80.2,51112
2018-04-02 12:30:00+05:30,80.2,80.3,80.2,80.3,41964
2018-04-02 12:45:00+05:30,80.25,80.75,80.15,80.6,159362
2018-04-02 13:00:00+05:30,80.6,80.9,80.55,80.8,65541
2018-04-02 13:15:00+05:30,80.8,80.9,80.65,80.8,79545
2018-04-02 13:30:00+05:30,80.8,81.25,80.8,81.15,122281
2018-04-02 13:45:00+05:30,81.1,81.2,81.1,81.2,60674
2018-04-02 14:00:00+05:30,81.2,81.25,80.85,80.9,60657
2018-04-02 14:15:00+05:30,80.9,81.45,80.85,81.35,96486
2018-04-02 14:30:00+05:30,81.35,81.9,81.35,81.75,177233
2018-04-02 14:45:00+05:30,81.75,81.8,81.35,81.35,127939
2018-04-02 15:00:00+05:30,81.45,82.0,81.45,81.9,244236
2018-04-02 15:15:00+05:30,81.9,82.2,81.8,81.95,302104
2018-04-02 15:30:00+05:30,81.95,82.05,81.7,81.75,454601
2018-04-03 09:30:00+05:30,81.15,82.1,81.15,82.0,338323
2018-04-03 09:45:00+05:30,82.0,82.55,82.0,82.15,246821
2018-04-03 10:00:00+05:30,82.25,82.35,82.0,82.25,54856
2018-04-03 10:15:00+05:30,82.25,82.9,82.25,82.5,242353
2018-04-03 10:30:00+05:30,82.55,82.6,82.25,82.4,216509
2018-04-03 10:45:00+05:30,82.4,82.4,82.0,82.05,34468
2018-04-03 11:00:00+05:30,82.05,82.1,82.0,82.05,33970
2018-04-03 11:15:00+05:30,82.05,82.15,82.0,82.05,17092
2018-04-03 11:30:00+05:30,82.1,82.2,82.0,82.1,44696
2018-04-03 11:45:00+05:30,82.1,82.25,82.0,82.15,52491
2018-04-03 12:00:00+05:30,82.2,82.55,82.2,82.4,29290
2018-04-03 12:15:00+05:30,82.4,82.4,82.2,82.35,22107
2018-04-03 12:30:00+05:30,82.35,82.5,82.3,82.5,87880
2018-04-03 12:45:00+05:30,82.5,83.8,82.4,83.65,366469
2018-04-03 13:00:00+05:30,83.7,83.7,83.5,83.65,100604
2018-04-03 13:15:00+05:30,83.6,83.8,83.55,83.6,41710
2018-04-03 13:30:00+05:30,83.6,83.7,83.5,83.5,71116
2018-04-03 13:45:00+05:30,83.5,83.85,83.5,83.75,98113
2018-04-03 14:00:00+05:30,83.75,83.85,83.55,83.75,67886
2018-04-03 14:15:00+05:30,83.75,84.3,83.7,84.15,131063
2018-04-03 14:30:00+05:30,84.2,84.2,83.9,84.05,103462
2018-04-03 14:45:00+05:30,84.05,84.5,84.05,84.35,165953
2018-04-03 15:00:00+05:30,84.35,84.45,84.3,84.4,105168
2018-04-03 15:15:00+05:30,84.45,84.6,84.3,84.4,224090
2018-04-03 15:30:00+05:30,84.5,84.6,84.3,84.45,391441
2018-04-04 09:30:00+05:30,84.7,85.95,84.7,85.65,802862
2018-04-04 09:45:00+05:30,85.65,85.75,85.2,85.5,427738
2018-04-04 10:00:00+05:30,85.5,85.5,85.25,85.35,75394
2018-04-04 10:15:00+05:30,85.4,85.45,85.1,85.15,98538
2018-04-04 10:30:00+05:30,85.1,85.3,85.0,85.1,62291
2018-04-04 10:45:00+05:30,85.1,85.1,84.3,84.8,314506
2018-04-04 11:00:00+05:30,84.8,85.15,84.55,85.1,104599
2018-04-04 11:15:00+05:30,85.1,85.25,84.6,85.05,341361
2018-04-04 11:30:00+05:30,85.1,85.15,84.65,84.65,81384
2018-04-04 11:45:00+05:30,84.65,84.7,84.3,84.45,74213
2018-04-04 12:00:00+05:30,84.45,84.45,84.1,84.2,83811
2018-04-04 12:15:00+05:30,84.2,84.3,84.05,84.3,64809
2018-04-04 12:30:00+05:30,84.35,84.35,83.8,83.8,135845
2018-04-04 12:45:00+05:30,83.9,83.9,83.45,83.45,132112
2018-04-04 13:00:00+05:30,83.45,83.7,83.25,83.3,64061
2018-04-04 13:15:00+05:30,83.3,84.15,83.25,83.8,124768
2018-04-04 13:30:00+05:30,83.8,83.9,83.25,83.25,147908
2018-04-04 13:45:00+05:30,83.2,83.6,82.75,83.0,539921
2018-04-04 14:00:00+05:30,83.05,83.35,82.65,83.05,151959
