datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,63.28,63.53,63.1,63.2,882450
2018-01-01 09:45:00+05:30,63.2,63.23,62.89,63.04,678960
2018-01-01 10:00:00+05:30,63.04,63.13,62.94,63.09,475670
2018-01-01 10:15:00+05:30,63.09,63.23,63.04,63.08,385720
2018-01-01 10:30:00+05:30,63.08,63.16,62.98,63.15,360070
2018-01-01 10:45:00+05:30,63.15,63.16,62.98,63.0,190380
2018-01-01 11:00:00+05:30,63.0,63.07,62.97,62.98,361750
2018-01-01 11:15:00+05:30,62.98,63.1,62.97,63.08,292010
2018-01-01 11:30:00+05:30,63.08,63.22,63.08,63.08,393030
2018-01-01 11:45:00+05:30,63.08,63.23,63.08,63.18,250780
2018-01-01 12:00:00+05:30,63.17,63.19,62.99,63.03,219870
2018-01-01 12:15:00+05:30,63.03,63.19,63.02,63.11,187170
2018-01-01 12:30:00+05:30,63.11,63.13,63.04,63.04,237230
2018-01-01 12:45:00+05:30,63.04,63.1,63.02,63.04,181830
2018-01-01 13:00:00+05:30,63.04,63.05,62.93,62.97,331480
2018-01-01 13:15:00+05:30,62.97,63.0,62.95,62.95,176260
2018-01-01 13:30:00+05:30,62.95,62.96,62.63,62.79,1010090
2018-01-01 13:45:00+05:30,62.79,62.94,62.79,62.85,293620
2018-01-01 14:00:00+05:30,62.85,62.91,62.81,62.89,191050
2018-01-01 14:15:00+05:30,62.9,62.97,62.88,62.94,229350
2018-01-01 14:30:00+05:30,62.94,62.97,62.89,62.94,253110
2018-01-01 14:45:00+05:30,62.95,63.19,62.81,63.07,918190
2018-01-01 15:00:00+05:30,63.07,63.09,62.46,62.55,1851670
2018-01-01 15:15:00+05:30,62.56,62.58,62.35,62.5,2787120
2018-01-01 15:30:00+05:30,62.5,62.54,62.15,62.35,2640790
2018-01-02 09:30:00+05:30,62.54,63.03,62.53,62.74,1937370
2018-01-02 09:45:00+05:30,62.74,62.76,62.4,62.45,1318110
2018-01-02 10:00:00+05:30,62.46,62.54,62.13,62.28,1015240
2018-01-02 10:15:00+05:30,62.26,62.28,61.79,61.92,1201830
2018-01-02 10:30:00+05:30,61.92,62.15,61.85,62.11,806480
2018-01-02 10:45:00+05:30,62.11,62.35,62.02,62.15,776620
2018-01-02 11:00:00+05:30,62.15,62.31,62.14,62.24,704870
2018-01-02 11:15:00+05:30,62.24,62.43,62.24,62.35,407650
2018-01-02 11:30:00+05:30,62.34,62.41,62.22,62.28,530230
2018-01-02 11:45:00+05:30,62.28,62.63,62.27,62.54,938620
2018-01-02 12:00:00+05:30,62.54,62.59,62.4,62.51,492820
2018-01-02 12:15:00+05:30,62.51,62.69,62.43,62.59,646570
2018-01-02 12:30:00+05:30,62.59,62.96,62.55,62.76,911770
2018-01-02 12:45:00+05:30,62.76,63.06,62.59,62.84,911540
2018-01-02 13:00:00+05:30,62.84,62.88,62.66,62.71,586670
2018-01-02 13:15:00+05:30,62.71,62.86,62.64,62.8,426660
2018-01-02 13:30:00+05:30,62.8,62.88,62.63,62.8,431380
2018-01-02 13:45:00+05:30,62.8,62.88,62.74,62.79,307600
2018-01-02 14:00:00+05:30,62.78,62.89,62.59,62.61,505460
2018-01-02 14:15:00+05:30,62.6,62.76,62.47,62.61,684660
2018-01-02 14:30:00+05:30,62.61,62.65,62.46,62.6,521590
2018-01-02 14:45:00+05:30,62.6,62.65,62.49,62.63,548590
2018-01-02 15:00:00+05:30,62.65,62.83,62.65,62.81,1158760
2018-01-02 15:15:00+05:30,62.81,63.06,62.78,63.04,1668550
2018-01-02 15:30:00+05:30,63.04,63.16,62.98,63.1,1836340
2018-01-03 09:30:00+05:30,63.23,63.69,63.24,63.47,2374820
2018-01-03 09:45:00+05:30,63.45,63.51,63.32,63.45,886130
2018-01-03 10:00:00+05:30,63.45,63.7,63.42,63.51,1799610
2018-01-03 10:15:00+05:30,63.51,63.55,63.33,63.45,740190
2018-01-03 10:30:00+05:30,63.44,63.62,63.32,63.56,792310
2018-01-03 10:45:00+05:30,63.57,63.66,63.42,63.43,659950
