datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,265.45,275.2,265.45,274.3,4101
2018-01-01 09:45:00+05:30,274.3,274.3,269.3,269.65,964
2018-01-01 10:00:00+05:30,269.65,269.65,266.55,268.5,1614
2018-01-01 10:15:00+05:30,268.05,268.2,267.0,268.2,16361
2018-01-01 10:30:00+05:30,268.2,269.9,268.05,269.9,407
2018-01-01 10:45:00+05:30,269.9,269.9,269.2,269.2,46
2018-01-01 11:00:00+05:30,269.2,269.2,269.2,269.2,0
2018-01-01 11:15:00+05:30,269.2,269.65,269.15,269.65,299
2018-01-01 11:30:00+05:30,269.65,271.25,269.6,271.25,6788
2018-01-01 11:45:00+05:30,271.25,271.25,271.25,271.25,7
2018-01-01 12:00:00+05:30,271.25,271.8,270.0,270.0,536
2018-01-01 12:15:00+05:30,270.0,271.05,270.0,271.05,10
2018-01-01 12:30:00+05:30,271.05,271.7,270.35,270.35,1080
2018-01-01 12:45:00+05:30,270.35,272.2,270.35,272.2,529
2018-01-01 13:00:00+05:30,272.2,273.15,272.2,273.0,1638
2018-01-01 13:15:00+05:30,273.0,274.2,272.95,273.3,25286
2018-01-01 13:30:00+05:30,273.3,274.0,273.25,273.25,1028
2018-01-01 13:45:00+05:30,273.25,273.25,273.0,273.0,1404
2018-01-01 14:00:00+05:30,273.0,273.85,272.3,272.3,402
2018-01-01 14:15:00+05:30,272.3,273.55,272.3,272.3,1236
2018-01-01 14:30:00+05:30,272.3,273.45,272.3,273.2,1005
2018-01-01 14:45:00+05:30,273.2,273.45,272.3,272.95,571
2018-01-01 15:00:00+05:30,272.95,272.95,270.35,270.35,705
2018-01-01 15:15:00+05:30,271.0,271.25,270.1,271.25,1018
2018-01-01 15:30:00+05:30,271.25,271.25,268.5,269.55,4290
2018-01-02 09:30:00+05:30,267.0,270.9,267.0,269.6,372
2018-01-02 09:45:00+05:30,270.15,270.25,267.5,267.5,1261
2018-01-02 10:00:00+05:30,267.5,269.45,267.0,269.45,831
2018-01-02 10:15:00+05:30,269.45,269.95,265.5,265.55,20566
2018-01-02 10:30:00+05:30,265.55,267.0,263.85,263.85,3280
2018-01-02 10:45:00+05:30,263.85,266.45,263.85,266.4,145
2018-01-02 11:00:00+05:30,265.3,266.45,265.0,265.0,128460
2018-01-02 11:15:00+05:30,265.0,266.0,265.0,266.0,22049
2018-01-02 11:30:00+05:30,266.0,270.6,266.0,270.6,3245
2018-01-02 11:45:00+05:30,270.6,270.6,269.6,269.6,825
2018-01-02 12:00:00+05:30,268.05,270.2,268.05,270.05,627
2018-01-02 12:15:00+05:30,270.05,271.5,270.05,270.8,261
2018-01-02 12:30:00+05:30,270.8,272.0,270.6,272.0,552
2018-01-02 12:45:00+05:30,272.0,272.5,271.85,271.85,460
2018-01-02 13:00:00+05:30,272.5,272.5,272.45,272.45,267
2018-01-02 13:15:00+05:30,272.45,272.45,271.05,272.45,746
2018-01-02 13:30:00+05:30,272.45,272.45,270.8,271.15,432
2018-01-02 13:45:00+05:30,271.15,272.0,271.15,272.0,779
2018-01-02 14:00:00+05:30,272.0,273.0,272.0,272.5,5489
2018-01-02 14:15:00+05:30,272.0,272.75,272.0,272.05,350
2018-01-02 14:30:00+05:30,272.0,272.9,272.0,272.9,94
2018-01-02 14:45:00+05:30,272.9,272.9,271.3,271.3,290
2018-01-02 15:00:00+05:30,271.05,271.05,270.8,270.8,102
2018-01-02 15:15:00+05:30,270.8,270.95,268.0,269.0,2684
2018-01-02 15:30:00+05:30,269.0,269.0,266.95,267.0,6269
2018-01-03 09:30:00+05:30,267.0,271.2,267.0,269.0,2227
2018-01-03 09:45:00+05:30,269.0,269.0,267.05,268.7,803
2018-01-03 10:00:00+05:30,268.7,269.5,267.3,268.9,2847
2018-01-03 10:15:00+05:30,268.9,269.45,267.85,267.85,390
2018-01-03 10:30:00+05:30,268.05,268.45,267.4,267.4,341
2018-01-03 10:45:00+05:30,267.95,269.45,267.95,268.3,1469
2018-01-03 11:00:00+05:30,268.3,268.4,265.05,268.0,8780
2018-01-03 11:15:00+05:30,268.0,271.0,268.0,270.5,3132
2018-01-03 11:30:00+05:30,270.5,272.0,269.8,272.0,2022
2018-01-03 11:45:00+05:30,272.0,273.0,271.6,272.5,2134
2018-01-03 12:00:00+05:30,272.5,273.3,271.75,272.5,1535
2018-01-03 12:15:00+05:30,272.5,274.9,272.5,273.25,2936
2018-01-03 12:30:00+05:30,273.25,274.5,272.5,274.4,4893
2018-01-03 12:45:00+05:30,274.4,274.5,273.25,273.25,4383
2018-01-03 13:00:00+05:30,273.25,274.45,273.25,273.25,641
2018-01-03 13:15:00+05:30,273.25,273.25,272.6,272.6,521
2018-01-03 13:30:00+05:30,272.6,272.65,272.6,272.65,10
2018-01-03 13:45:00+05:30,272.65,273.7,272.65,273.1,219
2018-01-03 14:00:00+05:30,273.1,274.0,273.1,274.0,1078
2018-01-03 14:15:00+05:30,274.0,274.0,273.5,273.5,1222
2018-01-03 14:30:00+05:30,273.5,274.0,273.5,273.75,411
2018-01-03 14:45:00+05:30,274.1,274.5,273.6,273.6,3541
2018-01-03 15:00:00+05:30,274.0,274.5,273.6,273.6,4897
2018-01-03 15:15:00+05:30,273.6,274.5,273.0,273.0,3099
2018-01-03 15:30:00+05:30,273.0,273.35,270.5,273.35,572
2018-01-04 09:30:00+05:30,270.0,273.9,270.0,273.9,2695
2018-01-04 09:45:00+05:30,273.9,273.9,270.05,272.2,2946
2018-01-04 10:00:00+05:30,272.2,274.0,272.2,274.0,1062
2018-01-04 10:15:00+05:30,274.45,274.5,273.8,274.5,376
2018-01-04 10:30:00+05:30,274.5,274.5,273.0,273.0,379
2018-01-04 10:45:00+05:30,273.0,273.95,272.0,273.95,1921
2018-01-04 11:00:00+05:30,273.3,273.9,273.15,273.15,113
2018-01-04 11:15:00+05:30,273.15,273.15,272.05,272.95,282
2018-01-04 11:30:00+05:30,272.95,273.0,272.95,273.0,8
2018-01-04 11:45:00+05:30,273.0,273.8,272.05,272.05,479
2018-01-04 12:00:00+05:30,272.05,272.2,272.05,272.05,465
2018-01-04 12:15:00+05:30,272.05,272.55,272.05,272.5,1140
2018-01-04 12:30:00+05:30,272.55,275.0,272.55,272.85,2991
2018-01-04 12:45:00+05:30,272.85,274.85,272.85,274.85,40
2018-01-04 13:00:00+05:30,274.85,274.9,273.05,274.9,624
2018-01-04 13:15:00+05:30,275.0,275.05,274.4,275.0,1070
2018-01-04 13:30:00+05:30,275.0,279.0,275.0,279.0,4172
2018-01-04 13:45:00+05:30,279.0,281.0,278.95,280.0,6106
2018-01-04 14:00:00+05:30,280.0,280.0,279.0,279.5,5430
2018-01-04 14:15:00+05:30,279.5,280.5,278.1,278.1,1495
2018-01-04 14:30:00+05:30,278.1,281.45,278.0,281.45,1161
2018-01-04 14:45:00+05:30,281.45,281.5,280.05,281.0,1505
2018-01-04 15:00:00+05:30,281.0,282.0,279.55,280.0,6421
2018-01-04 15:15:00+05:30,280.0,283.15,278.35,283.0,195199
2018-01-04 15:30:00+05:30,283.0,284.8,282.0,283.0,4577
2018-01-05 09:30:00+05:30,281.65,291.0,282.0,290.0,6909
2018-01-05 09:45:00+05:30,290.0,293.0,290.0,292.1,5145
2018-01-05 10:00:00+05:30,292.1,296.6,292.0,296.5,9276
2018-01-05 10:15:00+05:30,296.5,300.0,294.4,294.95,16116
2018-01-05 10:30:00+05:30,295.0,296.15,292.0,294.5,8298
2018-01-05 10:45:00+05:30,294.5,295.95,294.5,295.85,2088
2018-01-05 11:00:00+05:30,295.85,295.85,294.5,294.9,1335
2018-01-05 11:15:00+05:30,294.9,295.05,292.0,293.0,2921
2018-01-05 11:30:00+05:30,293.0,293.0,292.05,293.0,1408
2018-01-05 11:45:00+05:30,293.0,293.0,292.05,292.25,1269
2018-01-05 12:00:00+05:30,292.25,294.4,292.0,294.4,1570
2018-01-05 12:15:00+05:30,294.4,294.85,292.65,294.85,571
2018-01-05 12:30:00+05:30,294.85,295.15,293.5,293.5,524
2018-01-05 12:45:00+05:30,294.0,294.0,292.05,292.05,1904
2018-01-05 13:00:00+05:30,292.05,292.1,292.0,292.05,13418
2018-01-05 13:15:00+05:30,292.05,294.8,292.05,294.05,601
2018-01-05 13:30:00+05:30,294.05,297.6,294.05,297.0,3078
2018-01-05 13:45:00+05:30,296.85,297.6,296.0,296.0,1775
