datetime,open,high,low,close,volume
2018-07-02 09:30:00+05:30,5.65,5.7,5.63,5.68,129000
2018-07-02 09:45:00+05:30,5.68,5.68,5.66,5.66,91470
2018-07-02 10:00:00+05:30,5.66,5.68,5.61,5.61,131600
2018-07-02 10:15:00+05:30,5.62,5.62,5.59,5.59,95920
2018-07-02 10:30:00+05:30,5.59,5.6,5.58,5.59,48180
2018-07-02 10:45:00+05:30,5.59,5.59,5.56,5.58,53780
2018-07-02 11:00:00+05:30,5.58,5.64,5.58,5.64,110810
2018-07-02 11:15:00+05:30,5.64,5.64,5.59,5.6,47650
2018-07-02 11:30:00+05:30,5.6,5.64,5.58,5.64,76850
2018-07-02 11:45:00+05:30,5.64,5.67,5.6,5.66,50950
2018-07-02 12:00:00+05:30,5.66,5.68,5.64,5.66,35470
2018-07-02 12:15:00+05:30,5.67,5.67,5.65,5.66,35650
2018-07-02 12:30:00+05:30,5.66,5.66,5.61,5.61,59340
2018-07-02 12:45:00+05:30,5.61,5.62,5.61,5.61,17290
2018-07-02 13:00:00+05:30,5.61,5.62,5.58,5.6,88110
2018-07-02 13:15:00+05:30,5.6,5.62,5.59,5.59,16110
2018-07-02 13:30:00+05:30,5.6,5.61,5.59,5.59,55820
2018-07-02 13:45:00+05:30,5.6,5.62,5.59,5.62,44570
2018-07-02 14:00:00+05:30,5.62,5.63,5.6,5.6,35910
2018-07-02 14:15:00+05:30,5.6,5.61,5.59,5.61,54840
2018-07-02 14:30:00+05:30,5.61,5.63,5.6,5.61,67210
2018-07-02 14:45:00+05:30,5.62,5.67,5.61,5.65,94090
2018-07-02 15:00:00+05:30,5.65,5.67,5.61,5.62,52510
2018-07-02 15:15:00+05:30,5.62,5.68,5.61,5.68,136410
2018-07-02 15:30:00+05:30,5.68,5.69,5.65,5.69,152160
2018-07-03 09:30:00+05:30,5.66,5.66,5.57,5.6,131800
2018-07-03 09:45:00+05:30,5.6,5.62,5.57,5.6,100070
2018-07-03 10:00:00+05:30,5.6,5.61,5.58,5.59,78000
2018-07-03 10:15:00+05:30,5.59,5.6,5.56,5.58,65020
2018-07-03 10:30:00+05:30,5.57,5.58,5.56,5.57,42990
2018-07-03 10:45:00+05:30,5.57,5.59,5.57,5.58,33280
2018-07-03 11:00:00+05:30,5.58,5.59,5.58,5.59,36590
2018-07-03 11:15:00+05:30,5.59,5.6,5.58,5.6,19360
2018-07-03 11:30:00+05:30,5.6,5.61,5.6,5.61,42540
2018-07-03 11:45:00+05:30,5.61,5.63,5.6,5.62,96020
2018-07-03 12:00:00+05:30,5.61,5.62,5.6,5.61,8060
2018-07-03 12:15:00+05:30,5.61,5.61,5.58,5.58,70710
2018-07-03 12:30:00+05:30,5.58,5.6,5.58,5.6,42340
2018-07-03 12:45:00+05:30,5.6,5.62,5.58,5.59,54620
2018-07-03 13:00:00+05:30,5.59,5.59,5.57,5.59,42340
2018-07-03 13:15:00+05:30,5.59,5.6,5.57,5.58,27510
2018-07-03 13:30:00+05:30,5.59,5.59,5.56,5.57,24460
2018-07-03 13:45:00+05:30,5.57,5.59,5.56,5.59,38930
2018-07-03 14:00:00+05:30,5.59,5.59,5.57,5.58,21320
2018-07-03 14:15:00+05:30,5.58,5.6,5.57,5.58,26380
2018-07-03 14:30:00+05:30,5.58,5.59,5.57,5.58,54330
2018-07-03 14:45:00+05:30,5.58,5.59,5.58,5.58,14680
2018-07-03 15:00:00+05:30,5.58,5.6,5.57,5.59,150750
2018-07-03 15:15:00+05:30,5.59,5.6,5.57,5.6,156880
2018-07-03 15:30:00+05:30,5.6,5.63,5.59,5.61,220490
2018-07-04 09:30:00+05:30,5.59,5.61,5.53,5.6,116450
2018-07-04 09:45:00+05:30,5.6,5.63,5.58,5.61,45490
2018-07-04 10:00:00+05:30,5.6,5.61,5.58,5.61,79650
2018-07-04 10:15:00+05:30,5.61,5.62,5.59,5.6,80520
2018-07-04 10:30:00+05:30,5.6,5.6,5.58,5.58,22970
2018-07-04 10:45:00+05:30,5.58,5.6,5.58,5.6,25370
2018-07-04 11:00:00+05:30,5.6,5.6,5.58,5.59,35370
2018-07-04 11:15:00+05:30,5.59,5.59,5.55,5.56,51010
2018-07-04 11:30:00+05:30,5.56,5.57,5.55,5.57,35980
2018-07-04 11:45:00+05:30,5.57,5.58,5.56,5.58,34520
2018-07-04 12:00:00+05:30,5.58,5.58,5.56,5.57,46930
2018-07-04 12:15:00+05:30,5.57,5.57,5.53,5.55,59720
2018-07-04 12:30:00+05:30,5.55,5.56,5.53,5.54,24840
2018-07-04 12:45:00+05:30,5.54,5.56,5.54,5.55,33150
2018-07-04 13:00:00+05:30,5.55,5.57,5.54,5.56,39100
2018-07-04 13:15:00+05:30,5.56,5.56,5.54,5.54,24550
2018-07-04 13:30:00+05:30,5.54,5.56,5.52,5.54,71840
2018-07-04 13:45:00+05:30,5.54,5.57,5.54,5.56,27310
2018-07-04 14:00:00+05:30,5.56,5.56,5.53,5.56,24090
2018-07-04 14:15:00+05:30,5.55,5.56,5.54,5.54,15650
2018-07-04 14:30:00+05:30,5.54,5.55,5.53,5.54,30140
2018-07-04 14:45:00+05:30,5.55,5.56,5.54,5.56,62100
2018-07-04 15:00:00+05:30,5.56,5.57,5.54,5.55,48240
2018-07-04 15:15:00+05:30,5.55,5.57,5.55,5.57,75040
2018-07-04 15:30:00+05:30,5.57,5.57,5.53,5.53,133340
2018-07-05 09:30:00+05:30,5.55,5.58,5.51,5.54,143200
2018-07-05 09:45:00+05:30,5.53,5.58,5.51,5.56,138230
2018-07-05 10:00:00+05:30,5.56,5.59,5.54,5.54,74750
2018-07-05 10:15:00+05:30,5.54,5.56,5.52,5.55,47830
2018-07-05 10:30:00+05:30,5.55,5.55,5.52,5.54,47380
2018-07-05 10:45:00+05:30,5.54,5.55,5.52,5.53,18740
2018-07-05 11:00:00+05:30,5.53,5.54,5.52,5.53,43000
2018-07-05 11:15:00+05:30,5.53,5.55,5.53,5.54,28420
2018-07-05 11:30:00+05:30,5.54,5.57,5.53,5.55,55820
2018-07-05 11:45:00+05:30,5.55,5.55,5.54,5.55,3810
2018-07-05 12:00:00+05:30,5.55,5.55,5.52,5.53,51930
2018-07-05 12:15:00+05:30,5.55,5.56,5.53,5.56,37970
2018-07-05 12:30:00+05:30,5.56,5.56,5.54,5.56,9400
2018-07-05 12:45:00+05:30,5.56,5.56,5.55,5.56,46560
2018-07-05 13:00:00+05:30,5.56,5.58,5.56,5.58,47140
2018-07-05 13:15:00+05:30,5.58,5.58,5.55,5.55,48010
2018-07-05 13:30:00+05:30,5.56,5.58,5.56,5.58,33530
2018-07-05 13:45:00+05:30,5.58,5.58,5.55,5.55,13820
2018-07-05 14:00:00+05:30,5.55,5.56,5.55,5.55,20220
2018-07-05 14:15:00+05:30,5.56,5.57,5.55,5.57,13460
2018-07-05 14:30:00+05:30,5.57,5.58,5.54,5.56,45850
2018-07-05 14:45:00+05:30,5.56,5.56,5.54,5.55,31190
2018-07-05 15:00:00+05:30,5.55,5.56,5.53,5.55,51710
2018-07-05 15:15:00+05:30,5.55,5.56,5.51,5.52,182340
2018-07-05 15:30:00+05:30,5.52,5.57,5.52,5.57,120130
2018-07-06 09:30:00+05:30,5.53,5.54,5.5,5.53,81320
2018-07-06 09:45:00+05:30,5.53,5.59,5.53,5.57,153830
2018-07-06 10:00:00+05:30,5.58,5.64,5.56,5.57,266470
2018-07-06 10:15:00+05:30,5.57,5.57,5.56,5.57,50620
2018-07-06 10:30:00+05:30,5.56,5.58,5.56,5.58,63410
2018-07-06 10:45:00+05:30,5.58,5.59,5.57,5.57,74690
2018-07-06 11:00:00+05:30,5.57,5.59,5.56,5.56,65080
2018-07-06 11:15:00+05:30,5.56,5.57,5.54,5.54,80770
2018-07-06 11:30:00+05:30,5.54,5.56,5.53,5.55,86340
2018-07-06 11:45:00+05:30,5.55,5.57,5.52,5.52,79260
2018-07-06 12:00:00+05:30,5.52,5.55,5.52,5.54,5060
2018-07-06 12:15:00+05:30,5.54,5.54,5.52,5.52,25520
