datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,30.0,30.8,30.1,30.6,412216
2018-01-01 09:45:00+05:30,30.55,30.8,30.45,30.75,200430
2018-01-01 10:00:00+05:30,30.65,30.7,30.55,30.7,130877
2018-01-01 10:15:00+05:30,30.7,30.85,30.6,30.85,168680
2018-01-01 10:30:00+05:30,30.85,30.85,30.65,30.75,122957
2018-01-01 10:45:00+05:30,30.75,30.75,30.6,30.6,78591
2018-01-01 11:00:00+05:30,30.6,30.65,30.55,30.65,54730
2018-01-01 11:15:00+05:30,30.6,30.65,30.55,30.55,49045
2018-01-01 11:30:00+05:30,30.6,30.6,30.55,30.6,25154
2018-01-01 11:45:00+05:30,30.6,30.65,30.55,30.6,31011
2018-01-01 12:00:00+05:30,30.6,30.65,30.2,30.4,172935
2018-01-01 12:15:00+05:30,30.4,30.5,30.35,30.45,27671
2018-01-01 12:30:00+05:30,30.5,30.6,30.45,30.55,28156
2018-01-01 12:45:00+05:30,30.5,30.5,30.4,30.45,23601
2018-01-01 13:00:00+05:30,30.45,30.55,30.4,30.45,25321
2018-01-01 13:15:00+05:30,30.45,30.55,30.45,30.5,23456
2018-01-01 13:30:00+05:30,30.5,30.5,30.4,30.45,56770
2018-01-01 13:45:00+05:30,30.45,30.5,30.4,30.5,10270
2018-01-01 14:00:00+05:30,30.5,30.5,30.4,30.5,30857
2018-01-01 14:15:00+05:30,30.5,30.5,30.4,30.5,37301
2018-01-01 14:30:00+05:30,30.5,30.6,30.45,30.55,23874
2018-01-01 14:45:00+05:30,30.55,30.65,30.5,30.6,42816
2018-01-01 15:00:00+05:30,30.6,30.6,30.4,30.4,44031
2018-01-01 15:15:00+05:30,30.4,30.65,30.35,30.55,162156
2018-01-01 15:30:00+05:30,30.55,30.75,30.55,30.6,193569
2018-01-02 09:30:00+05:30,30.7,31.1,30.3,30.55,203298
2018-01-02 09:45:00+05:30,30.6,30.6,30.25,30.35,79368
2018-01-02 10:00:00+05:30,30.4,30.4,30.2,30.25,39500
2018-01-02 10:15:00+05:30,30.25,30.3,30.15,30.15,32691
2018-01-02 10:30:00+05:30,30.15,30.3,30.05,30.25,51287
2018-01-02 10:45:00+05:30,30.2,30.3,30.2,30.25,47116
2018-01-02 11:00:00+05:30,30.3,30.35,30.25,30.3,15639
2018-01-02 11:15:00+05:30,30.3,30.4,30.3,30.4,9469
2018-01-02 11:30:00+05:30,30.4,30.4,30.3,30.35,18130
2018-01-02 11:45:00+05:30,30.35,30.4,30.25,30.4,16869
2018-01-02 12:00:00+05:30,30.4,30.4,30.3,30.35,4663
2018-01-02 12:15:00+05:30,30.35,30.35,30.3,30.35,3886
2018-01-02 12:30:00+05:30,30.35,30.4,30.3,30.35,19983
2018-01-02 12:45:00+05:30,30.35,30.4,30.35,30.35,6091
2018-01-02 13:00:00+05:30,30.35,30.4,30.35,30.35,5961
2018-01-02 13:15:00+05:30,30.4,30.4,30.3,30.35,12149
2018-01-02 13:30:00+05:30,30.35,30.35,30.3,30.35,3461
2018-01-02 13:45:00+05:30,30.35,30.4,30.3,30.4,9100
2018-01-02 14:00:00+05:30,30.4,30.4,30.3,30.3,2690
2018-01-02 14:15:00+05:30,30.3,30.35,30.25,30.25,19791
2018-01-02 14:30:00+05:30,30.25,30.35,30.25,30.35,8788
2018-01-02 14:45:00+05:30,30.3,30.35,30.15,30.25,40146
2018-01-02 15:00:00+05:30,30.25,30.3,30.2,30.25,76430
2018-01-02 15:15:00+05:30,30.25,30.3,30.2,30.25,16342
2018-01-02 15:30:00+05:30,30.25,30.4,30.25,30.3,42612
2018-01-03 09:30:00+05:30,30.35,30.6,30.3,30.3,35886
2018-01-03 09:45:00+05:30,30.3,30.4,30.1,30.25,59057
2018-01-03 10:00:00+05:30,30.25,30.3,30.15,30.25,13140
2018-01-03 10:15:00+05:30,30.25,30.25,30.2,30.25,16131
2018-01-03 10:30:00+05:30,30.25,30.25,30.2,30.2,33396
2018-01-03 10:45:00+05:30,30.2,30.3,30.2,30.25,5473
2018-01-03 11:00:00+05:30,30.25,30.35,30.25,30.25,10647
2018-01-03 11:15:00+05:30,30.3,30.4,30.3,30.4,14043
2018-01-03 11:30:00+05:30,30.4,30.4,30.3,30.3,5846
2018-01-03 11:45:00+05:30,30.3,30.35,30.25,30.25,15302
2018-01-03 12:00:00+05:30,30.25,30.3,30.25,30.25,2597
2018-01-03 12:15:00+05:30,30.25,30.3,30.25,30.25,2316
2018-01-03 12:30:00+05:30,30.25,30.35,30.25,30.35,17463
2018-01-03 12:45:00+05:30,30.35,31.4,30.25,30.7,575046
2018-01-03 13:00:00+05:30,30.7,30.75,30.6,30.7,23587
2018-01-03 13:15:00+05:30,30.7,30.75,30.5,30.5,61829
2018-01-03 13:30:00+05:30,30.5,30.55,30.45,30.5,20389
2018-01-03 13:45:00+05:30,30.5,30.65,30.45,30.5,20900
2018-01-03 14:00:00+05:30,30.5,30.55,30.5,30.55,10088
2018-01-03 14:15:00+05:30,30.55,30.55,30.45,30.45,28258
2018-01-03 14:30:00+05:30,30.5,30.5,30.35,30.4,32673
2018-01-03 14:45:00+05:30,30.4,30.4,30.35,30.35,18104
2018-01-03 15:00:00+05:30,30.35,30.4,30.3,30.4,17199
2018-01-03 15:15:00+05:30,30.4,30.5,30.3,30.4,90556
2018-01-03 15:30:00+05:30,30.4,30.5,30.35,30.35,137325
2018-01-04 09:30:00+05:30,31.95,33.2,31.9,33.0,1583245
2018-01-04 09:45:00+05:30,33.1,33.9,33.0,33.3,1179061
2018-01-04 10:00:00+05:30,33.3,33.3,32.75,32.8,556541
2018-01-04 10:15:00+05:30,32.8,33.1,32.75,32.85,263653
2018-01-04 10:30:00+05:30,32.8,32.95,32.75,32.85,141677
2018-01-04 10:45:00+05:30,32.85,32.9,32.75,32.75,131232
2018-01-04 11:00:00+05:30,32.75,32.85,32.65,32.75,233836
2018-01-04 11:15:00+05:30,32.85,33.0,32.75,32.85,229522
2018-01-04 11:30:00+05:30,32.85,33.1,32.8,33.1,230582
2018-01-04 11:45:00+05:30,33.1,33.15,32.9,32.95,269547
2018-01-04 12:00:00+05:30,32.95,33.0,32.85,33.0,114155
2018-01-04 12:15:00+05:30,33.0,33.1,32.9,33.0,239269
2018-01-04 12:30:00+05:30,33.0,33.1,32.9,33.0,142356
2018-01-04 12:45:00+05:30,33.0,33.4,32.95,33.2,415428
2018-01-04 13:00:00+05:30,33.2,33.25,33.1,33.1,311802
2018-01-04 13:15:00+05:30,33.1,33.25,33.1,33.25,266973
2018-01-04 13:30:00+05:30,33.25,33.35,33.15,33.2,182847
2018-01-04 13:45:00+05:30,33.15,33.25,33.1,33.1,83561
2018-01-04 14:00:00+05:30,33.1,33.15,32.85,32.85,211865
2018-01-04 14:15:00+05:30,32.85,33.05,32.85,33.0,127623
2018-01-04 14:30:00+05:30,33.0,33.0,32.9,32.9,57485
2018-01-04 14:45:00+05:30,32.95,33.2,32.9,33.1,226847
2018-01-04 15:00:00+05:30,33.1,33.15,32.95,33.05,173227
2018-01-04 15:15:00+05:30,33.05,33.4,33.05,33.3,399957
2018-01-04 15:30:00+05:30,33.35,33.5,33.1,33.25,794311
2018-01-05 09:30:00+05:30,33.85,34.15,33.3,33.55,433579
2018-01-05 09:45:00+05:30,33.45,33.6,32.9,32.9,249021
2018-01-05 10:00:00+05:30,32.95,33.35,32.95,33.1,180317
2018-01-05 10:15:00+05:30,33.1,33.25,33.05,33.25,74744
2018-01-05 10:30:00+05:30,33.25,33.25,33.15,33.15,50849
2018-01-05 10:45:00+05:30,33.15,33.25,33.1,33.1,87896
2018-01-05 11:00:00+05:30,33.1,33.15,33.0,33.05,40185
2018-01-05 11:15:00+05:30,33.05,33.05,32.95,32.95,54403
2018-01-05 11:30:00+05:30,32.95,33.3,32.95,33.15,71585
2018-01-05 11:45:00+05:30,33.15,33.25,33.1,33.15,42578
2018-01-05 12:00:00+05:30,33.15,33.2,33.0,33.05,57035
2018-01-05 12:15:00+05:30,33.05,33.1,33.0,33.05,84540
2018-01-05 12:30:00+05:30,33.05,33.1,33.0,33.1,28404
2018-01-05 12:45:00+05:30,33.1,33.1,33.0,33.05,17404
2018-01-05 13:00:00+05:30,33.05,33.1,33.0,33.05,53121
2018-01-05 13:15:00+05:30,33.05,33.05,33.0,33.0,11349
2018-01-05 13:30:00+05:30,33.0,33.1,33.0,33.0,13335
2018-01-05 13:45:00+05:30,33.0,33.05,33.0,33.05,28006
2018-01-05 14:00:00+05:30,33.05,33.05,32.95,33.0,15207
2018-01-05 14:15:00+05:30,33.0,33.05,32.95,32.95,42124
2018-01-05 14:30:00+05:30,32.95,33.0,32.85,32.9,26301
2018-01-05 14:45:00+05:30,32.9,32.95,32.8,32.8,32033
2018-01-05 15:00:00+05:30,32.8,32.9,32.8,32.85,31020
2018-01-05 15:15:00+05:30,32.85,32.9,32.8,32.9,69035
2018-01-05 15:30:00+05:30,32.85,32.95,32.55,32.8,168991
2018-01-08 09:30:00+05:30,33.0,33.2,33.0,33.1,78938
2018-01-08 09:45:00+05:30,33.1,33.15,32.9,32.95,61986
2018-01-08 10:00:00+05:30,32.95,33.0,32.9,32.95,26994
2018-01-08 10:15:00+05:30,32.95,32.95,32.8,32.9,81044
2018-01-08 10:30:00+05:30,32.9,32.9,32.8,32.9,30856
2018-01-08 10:45:00+05:30,32.9,32.9,32.8,32.85,28298
2018-01-08 11:00:00+05:30,32.85,32.9,32.85,32.85,17661
2018-01-08 11:15:00+05:30,32.85,32.9,32.8,32.85,19791
2018-01-08 11:30:00+05:30,32.85,32.95,32.85,32.9,23655
2018-01-08 11:45:00+05:30,32.9,32.95,32.85,32.85,43406
2018-01-08 12:00:00+05:30,32.85,32.9,32.85,32.85,31441
2018-01-08 12:15:00+05:30,32.85,32.9,32.7,32.75,52963
2018-01-08 12:30:00+05:30,32.75,32.9,32.75,32.85,19472
2018-01-08 12:45:00+05:30,32.85,32.85,32.75,32.85,18682
2018-01-08 13:00:00+05:30,32.85,32.85,32.75,32.75,8428
2018-01-08 13:15:00+05:30,32.75,32.8,32.75,32.75,18587
2018-01-08 13:30:00+05:30,32.75,32.8,32.7,32.75,17437
2018-01-08 13:45:00+05:30,32.75,32.75,32.7,32.75,7485
2018-01-08 14:00:00+05:30,32.75,32.8,32.7,32.75,24508
2018-01-08 14:15:00+05:30,32.75,32.8,32.75,32.8,10155
2018-01-08 14:30:00+05:30,32.8,32.8,32.6,32.7,33809
2018-01-08 14:45:00+05:30,32.65,32.75,32.65,32.65,22629
2018-01-08 15:00:00+05:30,32.65,32.75,32.65,32.65,19275
2018-01-08 15:15:00+05:30,32.65,32.7,32.55,32.55,54198
2018-01-08 15:30:00+05:30,32.65,32.65,32.5,32.65,99701
2018-01-09 09:30:00+05:30,32.6,32.75,32.25,32.35,112933
2018-01-09 09:45:00+05:30,32.35,32.4,32.25,32.25,35901
2018-01-09 10:00:00+05:30,32.25,32.35,32.25,32.3,42271
2018-01-09 10:15:00+05:30,32.35,32.4,32.3,32.4,22491
2018-01-09 10:30:00+05:30,32.4,32.5,32.35,32.4,63731
2018-01-09 10:45:00+05:30,32.45,32.5,32.4,32.45,38587
2018-01-09 11:00:00+05:30,32.45,32.45,32.35,32.4,7904
2018-01-09 11:15:00+05:30,32.4,32.45,32.35,32.4,20547
2018-01-09 11:30:00+05:30,32.4,32.4,32.35,32.4,9487
2018-01-09 11:45:00+05:30,32.35,32.4,32.35,32.4,20586
2018-01-09 12:00:00+05:30,32.4,32.4,32.3,32.4,15306
2018-01-09 12:15:00+05:30,32.4,32.4,32.1,32.1,34322
2018-01-09 12:30:00+05:30,32.1,32.2,32.05,32.1,27750
2018-01-09 12:45:00+05:30,32.1,32.5,32.1,32.3,97525
2018-01-09 13:00:00+05:30,32.3,32.4,32.3,32.4,14937
2018-01-09 13:15:00+05:30,32.4,32.45,32.35,32.35,30169
2018-01-09 13:30:00+05:30,32.35,32.4,32.2,32.25,18971
2018-01-09 13:45:00+05:30,32.25,32.4,32.25,32.35,33532
2018-01-09 14:00:00+05:30,32.3,32.35,32.25,32.3,11750
2018-01-09 14:15:00+05:30,32.3,32.35,32.3,32.3,41472
2018-01-09 14:30:00+05:30,32.3,32.35,32.25,32.3,11633
2018-01-09 14:45:00+05:30,32.25,32.3,32.2,32.25,10529
2018-01-09 15:00:00+05:30,32.25,32.45,32.2,32.4,34306
2018-01-09 15:15:00+05:30,32.4,32.4,32.25,32.25,14772
2018-01-09 15:30:00+05:30,32.3,32.35,32.05,32.1,72775
2018-01-10 09:30:00+05:30,32.1,32.25,32.0,32.1,51077
2018-01-10 09:45:00+05:30,32.05,32.1,32.0,32.05,30273
2018-01-10 10:00:00+05:30,32.05,32.05,32.0,32.0,17721
2018-01-10 10:15:00+05:30,32.0,32.05,32.0,32.0,13928
2018-01-10 10:30:00+05:30,32.0,32.1,32.0,32.0,13108
2018-01-10 10:45:00+05:30,32.0,32.05,32.0,32.0,9061
2018-01-10 11:00:00+05:30,32.0,32.05,31.9,32.0,14405
