datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,215.67,218.08,215.0,217.5,2916
2018-01-01 09:45:00+05:30,217.5,217.73,216.68,217.12,1058
2018-01-01 10:00:00+05:30,217.12,217.5,216.68,217.49,926
2018-01-01 10:15:00+05:30,217.49,217.5,216.95,217.17,372
2018-01-01 10:30:00+05:30,217.17,217.22,215.31,216.67,1968
2018-01-01 10:45:00+05:30,216.67,217.16,216.53,216.98,478
2018-01-01 11:00:00+05:30,216.98,217.0,215.08,215.9,4212
2018-01-01 11:15:00+05:30,215.9,216.17,215.17,215.67,482
2018-01-01 11:30:00+05:30,215.67,216.06,215.25,216.06,180
2018-01-01 11:45:00+05:30,216.05,216.06,215.67,215.67,350
2018-01-01 12:00:00+05:30,215.67,216.06,215.5,216.0,252
2018-01-01 12:15:00+05:30,216.0,216.05,215.83,216.05,140
2018-01-01 12:30:00+05:30,216.04,216.04,215.84,216.0,90
2018-01-01 12:45:00+05:30,216.0,216.0,215.34,215.34,380
2018-01-01 13:00:00+05:30,215.34,216.0,215.34,215.53,602
2018-01-01 13:15:00+05:30,215.53,215.79,215.32,215.59,1086
2018-01-01 13:30:00+05:30,215.59,215.59,215.42,215.42,286
2018-01-01 13:45:00+05:30,215.59,215.59,215.0,215.32,686
2018-01-01 14:00:00+05:30,215.38,215.5,214.71,215.5,688
2018-01-01 14:15:00+05:30,215.5,215.5,213.72,214.89,1130
2018-01-01 14:30:00+05:30,215.11,215.5,215.11,215.5,400
2018-01-01 14:45:00+05:30,215.5,215.5,214.23,214.67,228
2018-01-01 15:00:00+05:30,214.67,215.66,214.17,214.5,890
2018-01-01 15:15:00+05:30,214.5,214.66,211.83,212.83,3018
2018-01-01 15:30:00+05:30,213.0,214.37,210.88,212.89,2844
2018-01-02 09:30:00+05:30,217.47,217.47,215.33,215.33,4808
2018-01-02 09:45:00+05:30,215.42,215.58,212.0,212.36,4490
2018-01-02 10:00:00+05:30,212.36,213.82,212.17,212.17,2682
2018-01-02 10:15:00+05:30,212.17,212.38,211.22,211.89,2688
2018-01-02 10:30:00+05:30,212.08,212.49,211.67,212.45,3058
2018-01-02 10:45:00+05:30,212.45,212.8,211.96,212.08,580
2018-01-02 11:00:00+05:30,212.08,212.08,210.83,210.93,2104
2018-01-02 11:15:00+05:30,210.93,211.32,210.83,211.17,978
2018-01-02 11:30:00+05:30,211.17,211.33,208.87,209.17,8120
2018-01-02 11:45:00+05:30,208.67,210.38,208.67,210.17,2180
2018-01-02 12:00:00+05:30,210.17,211.97,209.74,211.41,7792
2018-01-02 12:15:00+05:30,211.41,214.0,211.34,213.0,4478
2018-01-02 12:30:00+05:30,213.0,213.62,212.5,213.34,304
2018-01-02 12:45:00+05:30,213.34,213.5,212.56,212.56,764
2018-01-02 13:00:00+05:30,212.56,213.17,212.5,213.17,1764
2018-01-02 13:15:00+05:30,213.17,213.17,212.56,212.93,308
2018-01-02 13:30:00+05:30,212.93,213.31,212.35,212.48,1102
2018-01-02 13:45:00+05:30,212.48,212.74,212.05,212.74,534
2018-01-02 14:00:00+05:30,212.5,212.92,211.7,211.7,700
2018-01-02 14:15:00+05:30,211.47,211.47,210.33,211.33,1632
2018-01-02 14:30:00+05:30,211.33,211.58,211.17,211.58,534
2018-01-02 14:45:00+05:30,211.58,211.67,210.42,211.13,942
2018-01-02 15:00:00+05:30,211.13,211.67,211.13,211.5,2060
2018-01-02 15:15:00+05:30,211.5,212.83,211.03,211.64,2866
2018-01-02 15:30:00+05:30,211.64,214.18,211.18,213.67,3690
2018-01-03 09:30:00+05:30,214.71,214.71,212.3,213.33,1778
2018-01-03 09:45:00+05:30,213.33,213.67,213.33,213.36,408
2018-01-03 10:00:00+05:30,213.36,214.08,213.36,213.92,892
2018-01-03 10:15:00+05:30,213.92,214.71,213.4,213.4,1244
2018-01-03 10:30:00+05:30,213.42,213.67,212.68,213.33,464
2018-01-03 10:45:00+05:30,213.6,213.6,212.42,212.42,358
2018-01-03 11:00:00+05:30,212.42,212.83,211.5,212.64,1150
2018-01-03 11:15:00+05:30,212.64,212.83,212.33,212.67,354
2018-01-03 11:30:00+05:30,212.67,212.77,212.18,212.5,282
2018-01-03 11:45:00+05:30,212.5,213.67,212.5,213.17,3636
2018-01-03 12:00:00+05:30,213.17,213.63,213.17,213.5,242
2018-01-03 12:15:00+05:30,213.33,213.67,211.58,211.84,1724
2018-01-03 12:30:00+05:30,211.84,212.79,210.58,211.28,4278
2018-01-03 12:45:00+05:30,211.28,211.66,210.33,211.18,1172
2018-01-03 13:00:00+05:30,211.18,211.57,210.55,211.18,360
2018-01-03 13:15:00+05:30,211.18,211.99,210.88,211.67,470
2018-01-03 13:30:00+05:30,211.67,211.79,210.85,211.24,224
2018-01-03 13:45:00+05:30,211.24,211.47,210.83,211.38,302
2018-01-03 14:00:00+05:30,211.38,211.38,210.11,211.28,1866
2018-01-03 14:15:00+05:30,211.28,211.28,210.33,210.83,376
2018-01-03 14:30:00+05:30,210.83,210.99,210.18,210.98,1212
2018-01-03 14:45:00+05:30,210.98,211.0,210.33,210.73,476
2018-01-03 15:00:00+05:30,210.73,210.83,209.67,210.16,2208
2018-01-03 15:15:00+05:30,210.16,210.63,209.5,209.73,1156
2018-01-03 15:30:00+05:30,209.73,210.0,208.02,208.33,5908
2018-01-04 09:30:00+05:30,210.06,210.49,207.59,208.33,3624
2018-01-04 09:45:00+05:30,208.33,208.33,205.19,205.47,4552
2018-01-04 10:00:00+05:30,205.47,206.83,205.34,206.29,2996
2018-01-04 10:15:00+05:30,206.29,206.66,203.99,205.83,5856
2018-01-04 10:30:00+05:30,205.83,205.83,205.37,205.66,1016
2018-01-04 10:45:00+05:30,205.66,205.83,204.0,204.83,8290
2018-01-04 11:00:00+05:30,204.83,205.58,204.0,204.42,5164
2018-01-04 11:15:00+05:30,204.42,205.33,204.42,204.93,922
2018-01-04 11:30:00+05:30,204.93,205.0,204.67,204.97,690
2018-01-04 11:45:00+05:30,204.97,204.99,203.83,204.0,1724
2018-01-04 12:00:00+05:30,204.0,204.17,203.33,203.56,3146
2018-01-04 12:15:00+05:30,203.67,203.84,203.62,203.84,1266
2018-01-04 12:30:00+05:30,204.1,204.99,204.08,204.53,1366
2018-01-04 12:45:00+05:30,204.69,205.57,204.01,205.49,1970
2018-01-04 13:00:00+05:30,205.49,205.5,205.0,205.5,1134
2018-01-04 13:15:00+05:30,205.5,206.83,205.5,206.67,2666
2018-01-04 13:30:00+05:30,206.82,206.83,205.83,205.83,1526
2018-01-04 13:45:00+05:30,205.83,206.08,205.83,205.84,2164
2018-01-04 14:00:00+05:30,205.84,207.0,205.83,206.99,1732
2018-01-04 14:15:00+05:30,206.99,207.17,206.5,206.82,1462
2018-01-04 14:30:00+05:30,206.82,207.15,206.73,206.83,804
2018-01-04 14:45:00+05:30,206.83,209.91,206.67,208.14,7310
2018-01-04 15:00:00+05:30,208.1,208.1,204.18,204.38,7546
2018-01-04 15:15:00+05:30,204.38,209.16,204.38,208.66,6786
2018-01-04 15:30:00+05:30,208.67,209.88,208.33,209.17,5180
2018-01-05 09:30:00+05:30,210.23,210.5,209.07,210.5,2008
2018-01-05 09:45:00+05:30,210.5,212.0,210.5,210.5,2008
2018-01-05 10:00:00+05:30,210.5,210.83,209.67,209.67,3038
2018-01-05 10:15:00+05:30,209.67,211.16,209.67,210.99,802
2018-01-05 10:30:00+05:30,210.99,211.0,210.18,210.5,528
