datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,25.0,25.0,24.6,24.9,57870
2018-01-01 09:45:00+05:30,24.9,24.95,24.85,24.9,53109
2018-01-01 10:00:00+05:30,24.9,24.9,24.6,24.6,23620
2018-01-01 10:15:00+05:30,24.55,24.75,24.55,24.7,28102
2018-01-01 10:30:00+05:30,24.7,24.7,24.45,24.5,17014
2018-01-01 10:45:00+05:30,24.5,24.65,24.5,24.55,7065
2018-01-01 11:00:00+05:30,24.55,24.7,24.55,24.7,19775
2018-01-01 11:15:00+05:30,24.7,24.7,24.6,24.7,13999
2018-01-01 11:30:00+05:30,24.7,24.7,24.6,24.65,6426
2018-01-01 11:45:00+05:30,24.65,24.75,24.65,24.75,37327
2018-01-01 12:00:00+05:30,24.65,24.75,24.6,24.6,20407
2018-01-01 12:15:00+05:30,24.6,24.65,24.45,24.55,18241
2018-01-01 12:30:00+05:30,24.55,24.6,24.5,24.55,13383
2018-01-01 12:45:00+05:30,24.55,24.65,24.5,24.55,8536
2018-01-01 13:00:00+05:30,24.55,24.65,24.55,24.65,4730
2018-01-01 13:15:00+05:30,24.65,24.7,24.6,24.6,7550
2018-01-01 13:30:00+05:30,24.6,24.7,24.45,24.6,31934
2018-01-01 13:45:00+05:30,24.6,24.65,24.5,24.6,8170
2018-01-01 14:00:00+05:30,24.6,24.6,24.5,24.55,1676
2018-01-01 14:15:00+05:30,24.55,24.65,24.55,24.6,8223
2018-01-01 14:30:00+05:30,24.65,24.65,24.6,24.65,5626
2018-01-01 14:45:00+05:30,24.6,24.7,24.5,24.55,38299
2018-01-01 15:00:00+05:30,24.55,24.6,24.3,24.3,25247
2018-01-01 15:15:00+05:30,24.25,24.3,24.0,24.1,95578
2018-01-01 15:30:00+05:30,24.1,24.2,24.05,24.05,47475
2018-01-02 09:30:00+05:30,24.25,24.4,24.2,24.35,15444
2018-01-02 09:45:00+05:30,24.35,24.45,23.85,23.95,63633
2018-01-02 10:00:00+05:30,23.95,23.95,23.7,23.85,50519
2018-01-02 10:15:00+05:30,23.85,24.15,23.75,23.75,54914
2018-01-02 10:30:00+05:30,23.75,23.8,23.6,23.65,55539
2018-01-02 10:45:00+05:30,23.75,24.0,23.65,23.9,60237
2018-01-02 11:00:00+05:30,23.9,23.95,23.65,23.75,20905
2018-01-02 11:15:00+05:30,23.75,23.75,23.65,23.75,45489
2018-01-02 11:30:00+05:30,23.75,23.75,23.6,23.6,18173
2018-01-02 11:45:00+05:30,23.6,23.7,23.6,23.6,21796
2018-01-02 12:00:00+05:30,23.6,23.75,23.55,23.6,39297
2018-01-02 12:15:00+05:30,23.6,23.6,23.4,23.5,40170
2018-01-02 12:30:00+05:30,23.5,23.6,23.5,23.5,4479
2018-01-02 12:45:00+05:30,23.5,23.6,23.5,23.6,10600
2018-01-02 13:00:00+05:30,23.6,23.65,23.55,23.65,12386
2018-01-02 13:15:00+05:30,23.65,23.7,23.6,23.7,7383
2018-01-02 13:30:00+05:30,23.7,23.75,23.5,23.6,25152
2018-01-02 13:45:00+05:30,23.65,23.7,23.55,23.7,3894
2018-01-02 14:00:00+05:30,23.7,23.7,23.6,23.7,11670
2018-01-02 14:15:00+05:30,23.7,23.7,23.45,23.5,202542
2018-01-02 14:30:00+05:30,23.5,23.6,23.45,23.55,6712
2018-01-02 14:45:00+05:30,23.55,23.55,23.4,23.55,20945
2018-01-02 15:00:00+05:30,23.55,23.6,23.45,23.5,15070
2018-01-02 15:15:00+05:30,23.5,23.6,23.5,23.6,19277
2018-01-02 15:30:00+05:30,23.6,23.7,23.5,23.7,53530
2018-01-03 09:30:00+05:30,23.65,23.95,23.6,23.95,30406
2018-01-03 09:45:00+05:30,23.95,23.95,23.7,23.9,21131
2018-01-03 10:00:00+05:30,23.9,23.95,23.85,23.85,14718
2018-01-03 10:15:00+05:30,23.85,24.65,23.85,24.6,82612
2018-01-03 10:30:00+05:30,24.6,24.6,24.2,24.35,63349
2018-01-03 10:45:00+05:30,24.4,24.6,24.3,24.35,43922
2018-01-03 11:00:00+05:30,24.35,24.5,24.35,24.45,10453
2018-01-03 11:15:00+05:30,24.45,24.45,24.3,24.35,8730
2018-01-03 11:30:00+05:30,24.35,24.4,23.9,23.95,81676
2018-01-03 11:45:00+05:30,23.95,24.05,23.85,24.0,55674
2018-01-03 12:00:00+05:30,24.0,24.0,23.9,24.0,20500
2018-01-03 12:15:00+05:30,24.0,24.0,23.9,24.0,13628
2018-01-03 12:30:00+05:30,24.0,24.0,23.9,24.0,17402
2018-01-03 12:45:00+05:30,23.9,24.05,23.9,24.0,18023
2018-01-03 13:00:00+05:30,24.0,24.0,23.9,24.0,11003
2018-01-03 13:15:00+05:30,24.0,24.0,23.8,23.9,16798
2018-01-03 13:30:00+05:30,23.9,23.95,23.75,23.8,26015
2018-01-03 13:45:00+05:30,23.8,23.85,23.8,23.85,3011
2018-01-03 14:00:00+05:30,23.85,23.95,23.85,23.85,5162
2018-01-03 14:15:00+05:30,23.85,23.9,23.8,23.9,21602
2018-01-03 14:30:00+05:30,23.9,23.9,23.75,23.75,11745
2018-01-03 14:45:00+05:30,23.75,23.8,23.7,23.75,24989
2018-01-03 15:00:00+05:30,23.75,23.85,23.7,23.8,19400
2018-01-03 15:15:00+05:30,23.8,23.9,23.75,23.8,31198
2018-01-03 15:30:00+05:30,23.8,23.8,23.45,23.55,137910
2018-01-04 09:30:00+05:30,23.7,23.9,23.65,23.8,43800
2018-01-04 09:45:00+05:30,23.8,23.85,23.75,23.8,13136
2018-01-04 10:00:00+05:30,23.8,23.85,23.75,23.85,19559
2018-01-04 10:15:00+05:30,23.85,24.45,23.85,24.1,176354
2018-01-04 10:30:00+05:30,24.1,24.2,24.05,24.1,28237
2018-01-04 10:45:00+05:30,24.15,24.15,24.0,24.15,11668
2018-01-04 11:00:00+05:30,24.15,24.2,24.0,24.2,12927
2018-01-04 11:15:00+05:30,24.05,24.2,24.05,24.2,22541
2018-01-04 11:30:00+05:30,24.2,24.25,24.1,24.15,19816
2018-01-04 11:45:00+05:30,24.15,24.25,24.1,24.15,11514
2018-01-04 12:00:00+05:30,24.15,24.3,24.1,24.1,19954
