datetime,open,high,low,close,volume
2020-01-01 09:30:00+05:30,62.76,63.38,62.66,63.36,98560
2020-01-01 09:45:00+05:30,63.36,63.43,63.02,63.11,29250
2020-01-01 10:00:00+05:30,63.11,63.11,62.96,63.11,7555
2020-01-01 10:15:00+05:30,63.11,63.11,62.79,62.91,12405
2020-01-01 10:30:00+05:30,62.91,62.93,62.41,62.6,42395
2020-01-01 10:45:00+05:30,62.58,62.58,62.16,62.36,76310
2020-01-01 11:00:00+05:30,62.36,62.44,62.27,62.27,18845
2020-01-01 11:15:00+05:30,62.22,62.37,62.14,62.33,94515
2020-01-01 11:30:00+05:30,62.33,62.33,62.13,62.2,22120
2020-01-01 11:45:00+05:30,62.2,62.39,62.15,62.3,17250
2020-01-01 12:00:00+05:30,62.3,62.4,62.13,62.31,46305
2020-01-01 12:15:00+05:30,62.31,62.39,62.18,62.31,16475
2020-01-01 12:30:00+05:30,62.31,62.4,62.17,62.29,12135
2020-01-01 12:45:00+05:30,62.29,62.39,62.27,62.27,21475
2020-01-01 13:00:00+05:30,62.31,62.31,62.22,62.22,32270
2020-01-01 13:15:00+05:30,62.22,62.37,62.1,62.22,19595
2020-01-01 13:30:00+05:30,62.22,62.22,62.16,62.22,38615
2020-01-01 13:45:00+05:30,62.22,62.22,62.09,62.1,26165
2020-01-01 14:00:00+05:30,62.1,62.22,62.09,62.2,18025
2020-01-01 14:15:00+05:30,62.2,62.2,62.09,62.14,9870
2020-01-01 14:30:00+05:30,62.14,62.4,62.13,62.13,25765
2020-01-01 14:45:00+05:30,62.13,62.22,62.13,62.18,6955
2020-01-01 15:00:00+05:30,62.21,62.4,62.16,62.22,43830
2020-01-01 15:15:00+05:30,62.22,62.31,62.11,62.16,35770
2020-01-01 15:30:00+05:30,62.16,62.22,62.04,62.16,62575
2020-01-02 09:30:00+05:30,62.46,62.46,62.16,62.19,11965
2020-01-02 09:45:00+05:30,62.19,62.56,62.12,62.42,35160
2020-01-02 10:00:00+05:30,62.42,62.56,62.42,62.53,14165
2020-01-02 10:15:00+05:30,62.53,62.66,62.53,62.58,20240
2020-01-02 10:30:00+05:30,62.65,62.76,62.6,62.64,28265
2020-01-02 10:45:00+05:30,62.84,62.88,62.64,62.82,28750
2020-01-02 11:00:00+05:30,62.82,63.0,62.82,62.91,10345
2020-01-02 11:15:00+05:30,62.96,63.09,62.53,62.53,68680
2020-01-02 11:30:00+05:30,62.53,62.83,62.4,62.76,42790
2020-01-02 11:45:00+05:30,62.82,62.96,62.76,62.88,19300
2020-01-02 12:00:00+05:30,62.88,63.02,62.88,63.02,38935
2020-01-02 12:15:00+05:30,63.02,63.1,62.99,62.99,27420
2020-01-02 12:30:00+05:30,62.99,63.09,62.99,63.0,6720
2020-01-02 12:45:00+05:30,63.06,63.08,62.99,63.0,11975
2020-01-02 13:00:00+05:30,63.0,63.02,62.99,62.99,25530
2020-01-02 13:15:00+05:30,62.99,63.0,62.76,62.78,93695
2020-01-02 13:30:00+05:30,62.84,62.94,62.8,62.86,8965
2020-01-02 13:45:00+05:30,62.86,63.02,62.84,63.01,5435
2020-01-02 14:00:00+05:30,63.01,63.01,62.93,62.97,102155
2020-01-02 14:15:00+05:30,62.97,63.04,62.93,62.93,11390
2020-01-02 14:30:00+05:30,63.0,63.21,62.94,63.06,228605
2020-01-02 14:45:00+05:30,63.11,63.24,62.96,63.09,70375
2020-01-02 15:00:00+05:30,63.09,63.2,62.67,62.93,76870
2020-01-02 15:15:00+05:30,62.93,63.11,62.79,62.83,51950
2020-01-02 15:30:00+05:30,62.76,62.84,62.57,62.76,114860
2020-01-03 09:30:00+05:30,62.59,62.96,62.59,62.79,44060
2020-01-03 09:45:00+05:30,62.83,62.95,62.53,62.94,42255
2020-01-03 10:00:00+05:30,62.94,63.07,62.91,62.94,41865
2020-01-03 10:15:00+05:30,62.92,63.02,62.86,62.91,13655
2020-01-03 10:30:00+05:30,62.91,63.02,62.86,62.91,17945
2020-01-03 10:45:00+05:30,62.91,63.01,62.22,62.3,141450
2020-01-03 11:00:00+05:30,62.27,62.57,62.23,62.51,45385
2020-01-03 11:15:00+05:30,62.51,62.52,62.35,62.46,15400
2020-01-03 11:30:00+05:30,62.46,62.65,62.44,62.64,19375
2020-01-03 11:45:00+05:30,62.64,62.66,62.41,62.52,27430
2020-01-03 12:00:00+05:30,62.52,62.63,62.36,62.6,17375
2020-01-03 12:15:00+05:30,62.6,62.93,62.32,62.4,53470
2020-01-03 12:30:00+05:30,62.4,62.57,62.14,62.47,53860
2020-01-03 12:45:00+05:30,62.52,62.62,62.41,62.62,13100
2020-01-03 13:00:00+05:30,62.62,62.64,62.52,62.64,3525
2020-01-03 13:15:00+05:30,62.64,62.74,62.38,62.59,13125
2020-01-03 13:30:00+05:30,62.59,62.78,62.46,62.67,17555
2020-01-03 13:45:00+05:30,62.65,62.71,62.51,62.57,9655
2020-01-03 14:00:00+05:30,62.57,62.58,62.51,62.58,9580
2020-01-03 14:15:00+05:30,62.58,62.58,62.49,62.57,7590
2020-01-03 14:30:00+05:30,62.57,62.58,62.35,62.49,20640
2020-01-03 14:45:00+05:30,62.49,62.56,62.33,62.56,14975
2020-01-03 15:00:00+05:30,62.56,62.64,62.49,62.57,15200
2020-01-03 15:15:00+05:30,62.59,62.66,62.4,62.43,322800
2020-01-03 15:30:00+05:30,62.52,62.66,62.32,62.58,39390
2020-01-06 09:30:00+05:30,62.4,62.4,61.42,61.51,58305
2020-01-06 09:45:00+05:30,61.51,61.61,60.87,61.51,93080
2020-01-06 10:00:00+05:30,61.51,61.75,61.33,61.74,28560
2020-01-06 10:15:00+05:30,61.69,62.08,61.69,62.04,35520
2020-01-06 10:30:00+05:30,62.04,62.08,61.88,62.0,18405
2020-01-06 10:45:00+05:30,62.0,62.13,62.0,62.12,15630
2020-01-06 11:00:00+05:30,62.12,62.13,62.04,62.1,8230
2020-01-06 11:15:00+05:30,62.1,62.2,62.04,62.09,7550
2020-01-06 11:30:00+05:30,62.09,62.13,61.9,62.04,7565
2020-01-06 11:45:00+05:30,62.04,62.04,61.81,61.83,15190
2020-01-06 12:00:00+05:30,61.83,61.89,61.7,61.84,22475
2020-01-06 12:15:00+05:30,61.84,61.84,61.7,61.7,15045
2020-01-06 12:30:00+05:30,61.7,62.0,61.7,61.95,7135
2020-01-06 12:45:00+05:30,61.95,62.09,61.9,62.09,6105
2020-01-06 13:00:00+05:30,62.11,62.11,61.7,61.86,39590
2020-01-06 13:15:00+05:30,61.86,61.96,61.75,61.94,2885
2020-01-06 13:30:00+05:30,61.94,61.94,61.77,61.9,6390
2020-01-06 13:45:00+05:30,61.9,62.03,61.79,62.0,23055
2020-01-06 14:00:00+05:30,62.0,62.0,61.84,61.96,7180
2020-01-06 14:15:00+05:30,61.96,62.0,61.78,61.84,3760
2020-01-06 14:30:00+05:30,61.84,62.04,61.79,61.98,30365
2020-01-06 14:45:00+05:30,62.04,62.37,62.04,62.22,63575
2020-01-06 15:00:00+05:30,62.22,62.32,61.96,62.04,39955
2020-01-06 15:15:00+05:30,62.04,62.04,61.92,61.98,11675
2020-01-06 15:30:00+05:30,61.98,62.36,61.92,62.31,188170
2020-01-07 09:30:00+05:30,61.87,62.57,61.87,62.38,35995
2020-01-07 09:45:00+05:30,62.38,62.6,62.33,62.49,60715
2020-01-07 10:00:00+05:30,62.49,62.57,61.99,62.09,85425
2020-01-07 10:15:00+05:30,62.09,62.09,61.42,61.45,127175
2020-01-07 10:30:00+05:30,61.45,61.59,61.31,61.33,131570
2020-01-07 10:45:00+05:30,61.33,61.76,61.33,61.66,39855
2020-01-07 11:00:00+05:30,61.66,61.76,61.66,61.76,16265
2020-01-07 11:15:00+05:30,61.76,61.76,61.6,61.68,26345
2020-01-07 11:30:00+05:30,61.68,61.69,61.57,61.68,31075
2020-01-07 11:45:00+05:30,61.68,61.68,61.51,61.51,33465
2020-01-07 12:00:00+05:30,61.51,61.72,61.51,61.72,28735
2020-01-07 12:15:00+05:30,61.72,61.76,61.42,61.46,25510
2020-01-07 12:30:00+05:30,61.46,61.46,61.39,61.4,16085
2020-01-07 12:45:00+05:30,61.4,61.69,61.4,61.69,35995
2020-01-07 13:00:00+05:30,61.69,61.97,61.66,61.83,36710
2020-01-07 13:15:00+05:30,61.83,62.0,61.8,61.98,42610
2020-01-07 13:30:00+05:30,61.98,62.0,61.91,61.91,26620
2020-01-07 13:45:00+05:30,61.91,62.01,61.63,61.73,87280
2020-01-07 14:00:00+05:30,61.75,62.13,61.73,62.08,29280
2020-01-07 14:15:00+05:30,62.08,62.08,61.73,62.03,22570
2020-01-07 14:30:00+05:30,62.03,62.05,61.85,61.88,21790
2020-01-07 14:45:00+05:30,61.88,62.04,61.81,61.84,20640
2020-01-07 15:00:00+05:30,61.84,62.04,61.83,61.95,39510
2020-01-07 15:15:00+05:30,61.95,61.96,61.7,61.78,71480
2020-01-07 15:30:00+05:30,61.78,61.78,61.4,61.4,185730
2020-01-08 09:30:00+05:30,61.33,61.4,61.04,61.32,72905
2020-01-08 09:45:00+05:30,61.32,61.33,61.21,61.33,42305
2020-01-08 10:00:00+05:30,61.33,62.13,61.31,61.98,68960
2020-01-08 10:15:00+05:30,61.98,62.29,61.93,62.09,46575
2020-01-08 10:30:00+05:30,62.09,62.4,62.04,62.14,180210
2020-01-08 10:45:00+05:30,62.14,62.31,62.11,62.13,44100
2020-01-08 11:00:00+05:30,62.13,62.22,62.1,62.13,13005
2020-01-08 11:15:00+05:30,62.13,62.28,62.02,62.1,74565
2020-01-08 11:30:00+05:30,62.1,62.21,61.69,61.77,34150
2020-01-08 11:45:00+05:30,61.77,61.78,61.45,61.52,24940
2020-01-08 12:00:00+05:30,61.52,61.77,61.4,61.69,32925
2020-01-08 12:15:00+05:30,61.69,62.04,61.68,61.94,49615
2020-01-08 12:30:00+05:30,61.94,62.38,61.94,62.37,127225
2020-01-08 12:45:00+05:30,62.37,62.38,62.07,62.25,26915
2020-01-08 13:00:00+05:30,62.25,62.31,62.05,62.24,23305
2020-01-08 13:15:00+05:30,62.24,62.31,62.19,62.22,18155
2020-01-08 13:30:00+05:30,62.22,62.36,62.1,62.35,11925
2020-01-08 13:45:00+05:30,62.35,62.38,62.25,62.35,11425
2020-01-08 14:00:00+05:30,62.35,62.48,62.29,62.37,220460
2020-01-08 14:15:00+05:30,62.37,62.38,62.25,62.33,19190
2020-01-08 14:30:00+05:30,62.33,62.4,62.27,62.33,10540
2020-01-08 14:45:00+05:30,62.33,62.57,62.24,62.57,183830
2020-01-08 15:00:00+05:30,62.57,62.84,62.49,62.68,100815
2020-01-08 15:15:00+05:30,62.68,62.68,62.41,62.49,91000
2020-01-08 15:30:00+05:30,62.49,63.11,61.83,62.58,201150
2020-01-09 09:30:00+05:30,62.93,63.07,62.65,62.98,42620
2020-01-09 09:45:00+05:30,62.98,63.02,62.67,62.93,50190
2020-01-09 10:00:00+05:30,62.93,62.94,62.67,62.78,27810
2020-01-09 10:15:00+05:30,62.78,63.36,62.76,63.24,158360
2020-01-09 10:30:00+05:30,63.24,64.18,63.16,63.36,373250
2020-01-09 10:45:00+05:30,63.36,63.43,63.26,63.4,112320
2020-01-09 11:00:00+05:30,63.4,63.41,63.22,63.34,19435
2020-01-09 11:15:00+05:30,63.34,63.34,63.25,63.29,16690
2020-01-09 11:30:00+05:30,63.29,63.29,63.07,63.22,94925
2020-01-09 11:45:00+05:30,63.22,63.33,63.16,63.28,26445
2020-01-09 12:00:00+05:30,63.28,63.32,63.11,63.17,106575
2020-01-09 12:15:00+05:30,63.17,63.42,63.16,63.32,39730
2020-01-09 12:30:00+05:30,63.32,63.4,63.24,63.37,12250
2020-01-09 12:45:00+05:30,63.37,63.53,63.36,63.52,27900
