datetime,open,high,low,close,volume
2018-01-01 09:30:00+05:30,331.0,331.55,328.0,328.3,190992
2018-01-01 09:45:00+05:30,328.35,328.4,326.75,327.05,218608
2018-01-01 10:00:00+05:30,327.2,327.4,326.15,326.2,174494
2018-01-01 10:15:00+05:30,326.2,327.4,325.6,326.6,151486
2018-01-01 10:30:00+05:30,326.6,327.1,326.55,327.1,66534
2018-01-01 10:45:00+05:30,327.1,327.25,326.5,327.0,48715
2018-01-01 11:00:00+05:30,327.0,328.0,326.75,327.4,148961
2018-01-01 11:15:00+05:30,327.4,327.65,327.0,327.5,68178
2018-01-01 11:30:00+05:30,327.5,330.7,327.4,329.1,384406
2018-01-01 11:45:00+05:30,329.15,331.0,329.1,330.85,136442
2018-01-01 12:00:00+05:30,330.95,330.95,329.35,329.9,124835
2018-01-01 12:15:00+05:30,329.95,332.25,329.75,331.6,339988
2018-01-01 12:30:00+05:30,331.65,331.7,330.0,330.0,152451
2018-01-01 12:45:00+05:30,329.75,330.9,329.7,330.8,82554
2018-01-01 13:00:00+05:30,330.8,330.85,328.75,330.0,112987
2018-01-01 13:15:00+05:30,330.0,330.3,329.4,329.6,54901
2018-01-01 13:30:00+05:30,329.6,329.9,327.75,328.95,139653
2018-01-01 13:45:00+05:30,329.0,329.0,328.0,328.0,63656
2018-01-01 14:00:00+05:30,328.0,328.9,327.6,328.8,84580
2018-01-01 14:15:00+05:30,328.8,329.75,328.65,329.4,82155
2018-01-01 14:30:00+05:30,329.4,329.6,329.0,329.3,49735
2018-01-01 14:45:00+05:30,329.35,333.3,328.9,332.55,357095
2018-01-01 15:00:00+05:30,332.55,332.7,326.0,326.4,632154
2018-01-01 15:15:00+05:30,326.4,327.35,324.55,327.35,1013071
2018-01-01 15:30:00+05:30,327.35,327.35,323.55,324.6,842844
2018-01-02 09:30:00+05:30,328.0,328.35,326.1,327.35,680153
2018-01-02 09:45:00+05:30,327.35,327.7,323.6,324.6,708742
2018-01-02 10:00:00+05:30,324.6,324.9,322.4,323.25,339198
2018-01-02 10:15:00+05:30,323.2,323.3,318.7,320.6,457069
2018-01-02 10:30:00+05:30,320.45,321.4,320.35,321.4,167843
2018-01-02 10:45:00+05:30,321.4,323.0,321.25,321.8,233872
2018-01-02 11:00:00+05:30,321.8,323.0,321.65,322.7,151815
2018-01-02 11:15:00+05:30,322.7,323.5,322.5,323.15,235408
2018-01-02 11:30:00+05:30,323.1,323.15,322.2,322.9,104348
2018-01-02 11:45:00+05:30,322.75,323.45,322.55,323.15,116674
2018-01-02 12:00:00+05:30,323.2,323.45,322.5,323.05,98333
2018-01-02 12:15:00+05:30,323.05,325.4,322.9,323.9,284522
2018-01-02 12:30:00+05:30,323.9,325.9,323.85,325.15,187268
2018-01-02 12:45:00+05:30,325.15,326.9,324.55,326.65,314678
2018-01-02 13:00:00+05:30,326.55,326.8,325.55,325.9,188523
2018-01-02 13:15:00+05:30,325.85,326.45,325.5,326.05,151885
2018-01-02 13:30:00+05:30,326.05,326.35,325.4,326.25,88041
2018-01-02 13:45:00+05:30,326.25,326.5,325.4,325.65,82922
2018-01-02 14:00:00+05:30,325.7,328.25,325.55,326.2,469932
2018-01-02 14:15:00+05:30,326.2,326.3,325.15,325.6,212914
2018-01-02 14:30:00+05:30,325.65,325.95,324.75,325.1,136270
2018-01-02 14:45:00+05:30,325.1,325.9,323.8,324.85,214419
2018-01-02 15:00:00+05:30,324.95,327.75,324.95,327.25,311122
2018-01-02 15:15:00+05:30,327.3,328.75,326.9,327.85,452909
2018-01-02 15:30:00+05:30,327.85,328.1,327.0,327.05,323053
2018-01-03 09:30:00+05:30,330.35,333.6,330.1,332.95,822629
2018-01-03 09:45:00+05:30,332.95,333.3,331.7,333.15,427683
